,,,,,,,,,
,Year,T.S.,Category1,Category2,Category3,Category4,Category5,Non-Major,Major
,1940,3,1,5,0,0,0,6,0
,1941,2,1,0,2,1,0,1,3
,1942,7,1,2,1,0,0,3,1
,1943,5,0,3,1,1,0,3,2
,1944,6,4,2,1,2,0,6,3
,1945,5,1,2,1,1,0,3,2
,1946,4,1,2,0,0,0,3,0
,1947,5,1,2,1,1,0,3,2
,1948,4,2,0,2,2,0,2,4
,1949,9,2,3,1,1,0,5,2
,1950,5,1,4,3,3,0,5,6
,1951,4,4,1,1,2,0,5,3
,1952,6,0,3,1,1,0,3,2
,1953,7,4,0,2,0,1,4,3
,1954,9,2,2,2,1,0,4,3
,1955,4,2,4,1,2,1,6,4
,1956,8,2,1,1,0,0,3,1
,1957,5,1,0,1,1,0,1,2
,1958,5,1,3,0,3,0,4,3
,1959,7,5,0,1,1,0,5,2
,1960,4,2,0,1,1,0,2,2
,1961,3,1,0,3,2,2,1,7
,1962,2,0,2,1,0,0,2,1
,1963,2,2,3,1,1,0,5,2
,1964,6,0,0,2,4,0,0,6
,1965,2,2,1,0,1,0,3,1
,1966,4,4,0,2,1,0,4,3
,1967,2,3,1,0,0,1,4,1
,1968,3,5,0,0,0,0,5,0
,1969,6,5,2,4,0,1,7,5
,1970,5,2,1,2,0,0,3,2
,1971,7,4,1,0,0,1,5,1
,1972,7,2,1,0,0,0,3,0
,1973,4,3,0,1,0,0,3,1
,1974,7,1,1,1,1,0,2,2
,1975,3,1,2,2,1,0,3,3
,1976,4,0,2,2,0,0,2,2
,1977,1,4,0,0,0,1,4,1
,1978,6,2,1,0,2,0,3,2
,1979,3,2,1,0,1,1,3,2
,1980,2,4,3,1,0,1,7,2
,1981,5,3,1,2,1,0,4,3
,1982,3,1,0,0,1,0,1,1
,1983,1,2,0,1,0,0,2,1
,1984,8,3,1,0,1,0,4,1
,1985,4,4,0,2,1,0,4,3
,1986,2,3,1,0,0,0,4,0
,1987,4,2,0,1,0,0,2,1
,1988,7,2,0,0,2,1,2,3
,1989,4,3,2,0,1,1,5,2
,1990,6,5,2,1,0,0,7,1
,1991,3,1,1,1,1,0,2,2
,1992,2,1,2,0,0,1,3,1
,1993,3,2,1,1,0,0,3,1
,1994,4,2,1,0,0,0,3,0
,1995,8,3,3,2,3,0,6,5
,1996,4,3,0,4,2,0,3,6
,1997,4,2,0,1,0,0,2,1
,1998,4,3,4,1,1,1,7,3
,1999,4,0,3,0,5,0,3,5
,2000,6,4,1,1,2,0,5,3
,2001,6,4,1,2,2,0,5,4
,2002,8,1,1,1,1,0,2,2
,2003,9,3,1,1,1,1,4,3
,2004,5,2,1,1,3,1,3,5
,2005,12,7,1,2,1,4,8,7
,2006,6,3,0,2,0,0,3,2
,2007,8,4,0,0,0,2,4,2
,2008,8,2,1,1,4,0,3,5
,2009,6,0,1,1,1,0,1,2
,2010,7,3,4,1,4,0,7,5
,2011,11,3,0,2,2,0,3,4
,2012,9,5,2,2,0,0,7,2
,2013,11,2,0,0,0,0,2,0
,2014,2,3,1,1,1,0,4,2
,2015,7,2,0,1,1,0,2,2
,2016,8,3,0,2,1,1,3,4
,2017,7,2,2,2,2,1,4,5
,2018,7,3,3,0,1,1,6,2
,,,,,,,,,
