Track,for,Alberto,2018,,,,
Date,Time,Latitude,,Longitude,,,
MM/DD/Year,HH:MM:SS,(deg),,(deg),,,
5/25/2018,19:45:06,18.746,N,86.284,W,3.18,-0.15
5/25/2018,19:47:05,18.746,N,86.28,W,3.18,-0.15
5/25/2018,19:49:05,18.746,N,86.277,W,3.18,-0.15
5/25/2018,19:51:06,18.746,N,86.273,W,3.18,-0.15
5/25/2018,19:53:06,18.746,N,86.269,W,3.18,-0.15
5/25/2018,19:55:05,18.746,N,86.266,W,3.18,-0.15
5/25/2018,19:57:05,18.746,N,86.262,W,3.18,-0.15
5/25/2018,19:59:06,18.745,N,86.259,W,3.18,-0.15
5/25/2018,20:01:06,18.745,N,86.255,W,3.18,-0.15
5/25/2018,20:03:05,18.745,N,86.251,W,3.18,-0.15
5/25/2018,20:05:05,18.745,N,86.248,W,3.18,-0.15
5/25/2018,20:07:06,18.745,N,86.244,W,3.18,-0.15
5/25/2018,20:09:05,18.745,N,86.24,W,3.18,-0.14
5/25/2018,20:11:05,18.744,N,86.237,W,3.18,-0.14
5/25/2018,20:13:06,18.744,N,86.233,W,3.18,-0.14
5/25/2018,20:15:06,18.744,N,86.230,W,3.18,-0.14
5/25/2018,20:17:05,18.744,N,86.226,W,3.18,-0.14
5/25/2018,20:19:05,18.744,N,86.222,W,3.17,-0.14
5/25/2018,20:21:06,18.744,N,86.219,W,3.17,-0.14
5/25/2018,20:23:06,18.744,N,86.215,W,3.17,-0.13
5/25/2018,20:25:05,18.743,N,86.211,W,3.17,-0.13
5/25/2018,20:27:05,18.743,N,86.208,W,3.17,-0.13
5/25/2018,20:29:06,18.743,N,86.204,W,3.17,-0.13
5/25/2018,20:31:06,18.743,N,86.201,W,3.17,-0.12
5/25/2018,20:33:05,18.743,N,86.197,W,3.17,-0.12
5/25/2018,20:35:05,18.743,N,86.193,W,3.17,-0.12
5/25/2018,20:37:06,18.743,N,86.19,W,3.17,-0.12
5/25/2018,20:39:05,18.742,N,86.186,W,3.17,-0.11
5/25/2018,20:41:05,18.742,N,86.183,W,3.17,-0.11
5/25/2018,20:43:06,18.742,N,86.179,W,3.17,-0.11
5/25/2018,20:45:06,18.742,N,86.175,W,3.17,-0.1
5/25/2018,20:47:05,18.742,N,86.172,W,3.17,-0.1
5/25/2018,20:49:05,18.742,N,86.168,W,3.17,-0.1
5/25/2018,20:51:06,18.742,N,86.165,W,3.17,-0.09
5/25/2018,20:53:06,18.742,N,86.161,W,3.17,-0.09
5/25/2018,20:55:05,18.742,N,86.157,W,3.16,-0.09
5/25/2018,20:57:05,18.741,N,86.154,W,3.16,-0.08
5/25/2018,20:59:06,18.741,N,86.15,W,3.16,-0.08
5/25/2018,21:01:06,18.741,N,86.146,W,3.16,-0.07
5/25/2018,21:03:05,18.741,N,86.143,W,3.16,-0.07
5/25/2018,21:05:05,18.741,N,86.139,W,3.16,-0.06
5/25/2018,21:07:06,18.741,N,86.136,W,3.16,-0.06
5/25/2018,21:09:05,18.741,N,86.132,W,3.16,-0.05
5/25/2018,21:11:05,18.741,N,86.128,W,3.16,-0.05
5/25/2018,21:13:06,18.741,N,86.125,W,3.16,-0.04
5/25/2018,21:15:06,18.741,N,86.121,W,3.16,-0.04
5/25/2018,21:17:05,18.741,N,86.118,W,3.15,-0.03
5/25/2018,21:19:05,18.741,N,86.114,W,3.15,-0.03
5/25/2018,21:21:06,18.741,N,86.111,W,3.15,-0.02
5/25/2018,21:23:06,18.741,N,86.107,W,3.15,-0.02
5/25/2018,21:25:05,18.741,N,86.103,W,3.15,-0.01
5/25/2018,21:27:05,18.741,N,86.1,W,3.15,-0.01
5/25/2018,21:29:06,18.741,N,86.096,W,3.15,0
5/25/2018,21:31:06,18.741,N,86.093,W,3.15,0.01
5/25/2018,21:33:05,18.741,N,86.089,W,3.15,0.01
5/25/2018,21:35:05,18.741,N,86.085,W,3.14,0.02
5/25/2018,21:37:06,18.741,N,86.082,W,3.14,0.03
5/25/2018,21:39:05,18.741,N,86.078,W,3.14,0.03
5/25/2018,21:41:05,18.741,N,86.075,W,3.14,0.04
5/25/2018,21:43:06,18.741,N,86.071,W,3.14,0.05
5/25/2018,21:45:06,18.741,N,86.067,W,3.14,0.05
5/25/2018,21:47:05,18.741,N,86.064,W,3.14,0.06
5/25/2018,21:49:05,18.741,N,86.06,W,3.14,0.07
5/25/2018,21:51:06,18.741,N,86.057,W,3.13,0.07
5/25/2018,21:53:06,18.741,N,86.053,W,3.13,0.08
5/25/2018,21:55:05,18.741,N,86.05,W,3.13,0.09
5/25/2018,21:57:05,18.741,N,86.046,W,3.13,0.1
5/25/2018,21:59:06,18.742,N,86.043,W,3.13,0.11
5/25/2018,22:01:06,18.742,N,86.039,W,3.13,0.11
5/25/2018,22:03:05,18.742,N,86.035,W,3.12,0.12
5/25/2018,22:05:05,18.742,N,86.032,W,3.12,0.13
5/25/2018,22:07:06,18.742,N,86.028,W,3.12,0.14
5/25/2018,22:09:05,18.742,N,86.025,W,3.12,0.15
5/25/2018,22:11:05,18.742,N,86.021,W,3.12,0.16
5/25/2018,22:13:06,18.743,N,86.018,W,3.12,0.16
5/25/2018,22:15:06,18.743,N,86.014,W,3.11,0.17
5/25/2018,22:17:05,18.743,N,86.011,W,3.11,0.18
5/25/2018,22:19:05,18.743,N,86.007,W,3.11,0.19
5/25/2018,22:21:06,18.743,N,86.003,W,3.11,0.2
5/25/2018,22:23:06,18.744,N,86,W,3.11,0.21
5/25/2018,22:25:05,18.744,N,85.996,W,3.11,0.22
5/25/2018,22:27:05,18.744,N,85.993,W,3.1,0.23
5/25/2018,22:29:06,18.744,N,85.989,W,3.1,0.24
5/25/2018,22:31:06,18.745,N,85.986,W,3.1,0.25
5/25/2018,22:33:05,18.745,N,85.982,W,3.1,0.26
5/25/2018,22:35:05,18.745,N,85.979,W,3.1,0.27
5/25/2018,22:37:06,18.745,N,85.975,W,3.09,0.28
5/25/2018,22:39:05,18.746,N,85.972,W,3.09,0.29
5/25/2018,22:41:05,18.746,N,85.968,W,3.09,0.3
5/25/2018,22:43:06,18.746,N,85.965,W,3.09,0.31
5/25/2018,22:45:06,18.747,N,85.961,W,3.09,0.32
5/25/2018,22:47:05,18.747,N,85.958,W,3.08,0.33
5/25/2018,22:49:05,18.747,N,85.954,W,3.08,0.34
5/25/2018,22:51:06,18.748,N,85.951,W,3.08,0.36
5/25/2018,22:53:06,18.748,N,85.947,W,3.08,0.37
5/25/2018,22:55:05,18.749,N,85.943,W,3.07,0.38
5/25/2018,22:57:05,18.749,N,85.94,W,3.07,0.39
5/25/2018,22:59:06,18.749,N,85.936,W,3.07,0.4
5/25/2018,23:01:06,18.75,N,85.933,W,3.07,0.41
5/25/2018,23:03:05,18.75,N,85.929,W,3.07,0.43
5/25/2018,23:05:05,18.751,N,85.926,W,3.06,0.44
5/25/2018,23:07:06,18.751,N,85.923,W,3.06,0.45
5/25/2018,23:09:05,18.752,N,85.919,W,3.06,0.46
5/25/2018,23:11:05,18.752,N,85.916,W,3.06,0.47
5/25/2018,23:13:06,18.753,N,85.912,W,3.05,0.49
5/25/2018,23:15:06,18.753,N,85.909,W,3.05,0.5
5/25/2018,23:17:05,18.754,N,85.905,W,3.05,0.51
5/25/2018,23:19:05,18.754,N,85.902,W,3.05,0.53
5/25/2018,23:21:06,18.755,N,85.898,W,3.04,0.54
5/25/2018,23:23:06,18.756,N,85.895,W,3.04,0.55
5/25/2018,23:25:05,18.756,N,85.891,W,3.04,0.56
5/25/2018,23:27:05,18.757,N,85.888,W,3.04,0.58
5/25/2018,23:29:06,18.757,N,85.884,W,3.03,0.59
5/25/2018,23:31:06,18.758,N,85.881,W,3.03,0.61
5/25/2018,23:33:05,18.759,N,85.877,W,3.03,0.62
5/25/2018,23:35:05,18.759,N,85.874,W,3.03,0.63
5/25/2018,23:37:06,18.76,N,85.87,W,3.02,0.65
5/25/2018,23:39:05,18.761,N,85.867,W,3.02,0.66
5/25/2018,23:41:05,18.762,N,85.864,W,3.02,0.68
5/25/2018,23:43:06,18.762,N,85.86,W,3.01,0.69
5/25/2018,23:45:06,18.763,N,85.857,W,3.01,0.7
5/25/2018,23:47:05,18.764,N,85.853,W,3.01,0.72
5/25/2018,23:49:05,18.765,N,85.85,W,3.01,0.73
5/25/2018,23:51:06,18.765,N,85.846,W,3,0.75
5/25/2018,23:53:06,18.766,N,85.843,W,3,0.76
5/25/2018,23:55:05,18.767,N,85.84,W,3,0.78
5/25/2018,23:57:05,18.768,N,85.836,W,2.99,0.79
5/25/2018,23:59:06,18.769,N,85.833,W,2.99,0.81
5/26/2018,0:01:06,18.77,N,85.829,W,2.99,0.83
5/26/2018,0:03:05,18.771,N,85.826,W,2.99,0.84
5/26/2018,0:05:05,18.771,N,85.823,W,2.98,0.86
5/26/2018,0:07:06,18.772,N,85.819,W,2.98,0.87
5/26/2018,0:09:05,18.773,N,85.816,W,2.98,0.89
5/26/2018,0:11:05,18.774,N,85.812,W,2.97,0.9
