Track,for,Katrina,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/23/2005,18:49:02,23.239,N,75.328,W,5
8/23/2005,18:51:03,23.241,N,75.333,W,5
8/23/2005,18:53:03,23.244,N,75.338,W,5
8/23/2005,18:55:02,23.246,N,75.343,W,5
8/23/2005,18:57:03,23.248,N,75.348,W,5
8/23/2005,18:59:03,23.251,N,75.353,W,5
8/23/2005,19:01:02,23.253,N,75.358,W,5
8/23/2005,19:03:02,23.256,N,75.363,W,5
8/23/2005,19:05:03,23.258,N,75.368,W,5
8/23/2005,19:07:03,23.261,N,75.373,W,5
8/23/2005,19:09:02,23.263,N,75.378,W,5
8/23/2005,19:11:02,23.265,N,75.383,W,5
8/23/2005,19:13:03,23.268,N,75.388,W,5
8/23/2005,19:15:03,23.27,N,75.392,W,5
8/23/2005,19:17:02,23.273,N,75.397,W,5
8/23/2005,19:19:02,23.275,N,75.402,W,5
8/23/2005,19:21:03,23.277,N,75.407,W,5
8/23/2005,19:23:03,23.28,N,75.411,W,5
8/23/2005,19:25:02,23.282,N,75.416,W,5
8/23/2005,19:27:03,23.284,N,75.42,W,5
8/23/2005,19:29:03,23.287,N,75.424,W,5
8/23/2005,19:31:02,23.289,N,75.429,W,5
8/23/2005,19:33:02,23.292,N,75.433,W,5
8/23/2005,19:35:03,23.294,N,75.437,W,5
8/23/2005,19:37:03,23.296,N,75.441,W,5
8/23/2005,19:39:02,23.298,N,75.445,W,5
8/23/2005,19:41:02,23.301,N,75.448,W,5
8/23/2005,19:43:03,23.303,N,75.452,W,5
8/23/2005,19:45:03,23.305,N,75.455,W,5
8/23/2005,19:47:02,23.308,N,75.459,W,5
8/23/2005,19:49:02,23.31,N,75.462,W,5
8/23/2005,19:51:03,23.312,N,75.465,W,5
8/23/2005,19:53:03,23.314,N,75.468,W,5
8/23/2005,19:55:02,23.316,N,75.471,W,5
8/23/2005,19:57:03,23.319,N,75.473,W,5
8/23/2005,19:59:03,23.321,N,75.476,W,5
8/23/2005,20:01:02,23.323,N,75.478,W,5
8/23/2005,20:03:02,23.325,N,75.48,W,5
8/23/2005,20:05:03,23.327,N,75.482,W,5
8/23/2005,20:07:03,23.329,N,75.484,W,5
8/23/2005,20:09:02,23.331,N,75.485,W,5
8/23/2005,20:11:02,23.333,N,75.487,W,5
8/23/2005,20:13:03,23.335,N,75.488,W,5
8/23/2005,20:15:03,23.337,N,75.489,W,5
8/23/2005,20:17:02,23.339,N,75.49,W,5
8/23/2005,20:19:02,23.341,N,75.49,W,5
8/23/2005,20:21:03,23.343,N,75.49,W,5
8/23/2005,20:23:03,23.345,N,75.491,W,5
8/23/2005,20:25:02,23.347,N,75.49,W,5
8/23/2005,20:27:03,23.349,N,75.49,W,5
8/23/2005,20:29:03,23.35,N,75.489,W,5
8/23/2005,20:31:02,23.352,N,75.489,W,5
8/23/2005,20:33:02,23.354,N,75.488,W,5
8/23/2005,20:35:03,23.356,N,75.486,W,5
8/23/2005,20:37:03,23.357,N,75.485,W,5
8/23/2005,20:39:02,23.359,N,75.483,W,5
