Track,for,Allison,2001,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/5/2001,11:53:59,27.473,N,94.984,W
6/5/2001,11:56:00,27.482,N,94.989,W
6/5/2001,11:57:59,27.491,N,94.995,W
6/5/2001,12:00:00,27.5,N,95,W
6/5/2001,12:02:00,27.509,N,95.005,W
6/5/2001,12:03:59,27.518,N,95.011,W
6/5/2001,12:06:00,27.527,N,95.016,W
6/5/2001,12:07:59,27.536,N,95.022,W
6/5/2001,12:10:00,27.545,N,95.027,W
6/5/2001,12:11:59,27.554,N,95.032,W
6/5/2001,12:14:00,27.563,N,95.038,W
6/5/2001,12:15:59,27.572,N,95.043,W
6/5/2001,12:18:00,27.581,N,95.048,W
6/5/2001,12:19:59,27.59,N,95.054,W
6/5/2001,12:22:00,27.599,N,95.059,W
6/5/2001,12:23:59,27.609,N,95.064,W
6/5/2001,12:26:00,27.618,N,95.07,W
6/5/2001,12:27:59,27.626,N,95.075,W
6/5/2001,12:30:00,27.635,N,95.08,W
6/5/2001,12:32:00,27.644,N,95.086,W
6/5/2001,12:33:59,27.653,N,95.091,W
6/5/2001,12:36:00,27.662,N,95.096,W
6/5/2001,12:37:59,27.671,N,95.102,W
6/5/2001,12:40:00,27.68,N,95.107,W
6/5/2001,12:41:59,27.689,N,95.112,W
6/5/2001,12:44:00,27.698,N,95.117,W
6/5/2001,12:45:59,27.707,N,95.122,W
6/5/2001,12:48:00,27.716,N,95.128,W
6/5/2001,12:49:59,27.724,N,95.133,W
6/5/2001,12:52:00,27.733,N,95.138,W
6/5/2001,12:53:59,27.742,N,95.143,W
6/5/2001,12:56:00,27.751,N,95.148,W
6/5/2001,12:57:59,27.759,N,95.153,W
6/5/2001,13:00:00,27.768,N,95.158,W
6/5/2001,13:02:00,27.777,N,95.164,W
6/5/2001,13:03:59,27.785,N,95.169,W
6/5/2001,13:06:00,27.794,N,95.174,W
6/5/2001,13:07:59,27.803,N,95.179,W
6/5/2001,13:10:00,27.811,N,95.183,W
6/5/2001,13:11:59,27.82,N,95.188,W
6/5/2001,13:14:00,27.828,N,95.193,W
6/5/2001,13:15:59,27.837,N,95.198,W
6/5/2001,13:18:00,27.845,N,95.203,W
6/5/2001,13:19:59,27.854,N,95.208,W
6/5/2001,13:22:00,27.862,N,95.213,W
6/5/2001,13:23:59,27.87,N,95.217,W
6/5/2001,13:26:00,27.879,N,95.222,W
6/5/2001,13:27:59,27.887,N,95.227,W
6/5/2001,13:30:00,27.895,N,95.232,W
6/5/2001,13:32:00,27.903,N,95.236,W
6/5/2001,13:33:59,27.911,N,95.241,W
6/5/2001,13:36:00,27.92,N,95.245,W
6/5/2001,13:37:59,27.928,N,95.25,W
6/5/2001,13:40:00,27.936,N,95.254,W
6/5/2001,13:41:59,27.944,N,95.259,W
6/5/2001,13:44:00,27.952,N,95.263,W
6/5/2001,13:45:59,27.96,N,95.268,W
6/5/2001,13:48:00,27.967,N,95.272,W
6/5/2001,13:49:59,27.975,N,95.276,W
6/5/2001,13:52:00,27.983,N,95.281,W
6/5/2001,13:53:59,27.991,N,95.285,W
6/5/2001,13:56:00,27.998,N,95.289,W
6/5/2001,13:57:59,28.006,N,95.293,W
6/5/2001,14:00:00,28.014,N,95.297,W
6/5/2001,14:02:00,28.021,N,95.301,W
6/5/2001,14:03:59,28.029,N,95.306,W
6/5/2001,14:06:00,28.036,N,95.309,W
6/5/2001,14:07:59,28.044,N,95.313,W
6/5/2001,14:10:00,28.051,N,95.317,W
6/5/2001,14:11:59,28.058,N,95.321,W
6/5/2001,14:14:00,28.065,N,95.325,W
6/5/2001,14:15:59,28.073,N,95.329,W
6/5/2001,14:18:00,28.08,N,95.332,W
6/5/2001,14:19:59,28.087,N,95.336,W
6/5/2001,14:22:00,28.094,N,95.34,W
6/5/2001,14:23:59,28.101,N,95.343,W
6/5/2001,14:26:00,28.107,N,95.347,W
6/5/2001,14:27:59,28.114,N,95.35,W
6/5/2001,14:30:00,28.121,N,95.354,W
6/5/2001,14:32:00,28.128,N,95.357,W
6/5/2001,14:33:59,28.134,N,95.36,W
6/5/2001,14:36:00,28.141,N,95.363,W
6/5/2001,14:37:59,28.147,N,95.366,W
6/5/2001,14:40:00,28.154,N,95.37,W
6/5/2001,14:41:59,28.16,N,95.373,W
6/5/2001,14:44:00,28.166,N,95.376,W
6/5/2001,14:45:59,28.173,N,95.379,W
6/5/2001,14:48:00,28.179,N,95.381,W
6/5/2001,14:49:59,28.185,N,95.384,W
6/5/2001,14:52:00,28.191,N,95.387,W
6/5/2001,14:53:59,28.197,N,95.39,W
6/5/2001,14:56:00,28.203,N,95.392,W
6/5/2001,14:57:59,28.209,N,95.395,W
6/5/2001,15:00:00,28.214,N,95.397,W
6/5/2001,15:02:00,28.22,N,95.4,W
6/5/2001,15:03:59,28.226,N,95.402,W
6/5/2001,15:06:00,28.231,N,95.405,W
6/5/2001,15:07:59,28.236,N,95.407,W
