Track,for,Jerry,2001,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/7/2001,11:53:59,11.697,N,57.667,W
10/7/2001,11:56:00,11.698,N,57.678,W
10/7/2001,11:57:59,11.699,N,57.689,W
10/7/2001,12:00:00,11.7,N,57.7,W
10/7/2001,12:02:00,11.701,N,57.711,W
10/7/2001,12:03:59,11.702,N,57.722,W
10/7/2001,12:06:00,11.703,N,57.733,W
10/7/2001,12:07:59,11.705,N,57.745,W
10/7/2001,12:10:00,11.706,N,57.756,W
10/7/2001,12:11:59,11.707,N,57.767,W
10/7/2001,12:14:00,11.708,N,57.778,W
10/7/2001,12:15:59,11.709,N,57.789,W
10/7/2001,12:18:00,11.711,N,57.8,W
10/7/2001,12:19:59,11.712,N,57.811,W
10/7/2001,12:22:00,11.713,N,57.822,W
10/7/2001,12:23:59,11.714,N,57.834,W
10/7/2001,12:26:00,11.715,N,57.845,W
10/7/2001,12:27:59,11.716,N,57.856,W
10/7/2001,12:30:00,11.718,N,57.867,W
10/7/2001,12:32:00,11.719,N,57.878,W
10/7/2001,12:33:59,11.72,N,57.889,W
10/7/2001,12:36:00,11.721,N,57.9,W
10/7/2001,12:37:59,11.722,N,57.911,W
10/7/2001,12:40:00,11.724,N,57.922,W
10/7/2001,12:41:59,11.725,N,57.933,W
10/7/2001,12:44:00,11.726,N,57.945,W
10/7/2001,12:45:59,11.727,N,57.956,W
10/7/2001,12:48:00,11.728,N,57.967,W
10/7/2001,12:49:59,11.73,N,57.978,W
10/7/2001,12:52:00,11.731,N,57.989,W
10/7/2001,12:53:59,11.732,N,58,W
10/7/2001,12:56:00,11.733,N,58.011,W
10/7/2001,12:57:59,11.735,N,58.022,W
10/7/2001,13:00:00,11.736,N,58.033,W
10/7/2001,13:02:00,11.737,N,58.044,W
10/7/2001,13:03:59,11.739,N,58.055,W
10/7/2001,13:06:00,11.74,N,58.066,W
10/7/2001,13:07:59,11.741,N,58.077,W
10/7/2001,13:10:00,11.742,N,58.088,W
10/7/2001,13:11:59,11.744,N,58.099,W
10/7/2001,13:14:00,11.745,N,58.11,W
10/7/2001,13:15:59,11.746,N,58.121,W
10/7/2001,13:18:00,11.748,N,58.132,W
10/7/2001,13:19:59,11.749,N,58.143,W
10/7/2001,13:22:00,11.751,N,58.154,W
10/7/2001,13:23:59,11.752,N,58.165,W
10/7/2001,13:26:00,11.753,N,58.176,W
10/7/2001,13:27:59,11.755,N,58.187,W
10/7/2001,13:30:00,11.756,N,58.197,W
10/7/2001,13:32:00,11.758,N,58.208,W
10/7/2001,13:33:59,11.759,N,58.219,W
10/7/2001,13:36:00,11.76,N,58.23,W
10/7/2001,13:37:59,11.762,N,58.241,W
10/7/2001,13:40:00,11.763,N,58.252,W
10/7/2001,13:41:59,11.765,N,58.263,W
10/7/2001,13:44:00,11.766,N,58.273,W
10/7/2001,13:45:59,11.768,N,58.284,W
10/7/2001,13:48:00,11.769,N,58.295,W
10/7/2001,13:49:59,11.771,N,58.306,W
10/7/2001,13:52:00,11.772,N,58.317,W
10/7/2001,13:53:59,11.774,N,58.327,W
10/7/2001,13:56:00,11.776,N,58.338,W
10/7/2001,13:57:59,11.777,N,58.349,W
10/7/2001,14:00:00,11.779,N,58.359,W
10/7/2001,14:02:00,11.78,N,58.37,W
10/7/2001,14:03:59,11.782,N,58.381,W
10/7/2001,14:06:00,11.784,N,58.391,W
10/7/2001,14:07:59,11.785,N,58.402,W
10/7/2001,14:10:00,11.787,N,58.413,W
10/7/2001,14:11:59,11.789,N,58.423,W
10/7/2001,14:14:00,11.79,N,58.434,W
10/7/2001,14:15:59,11.792,N,58.445,W
10/7/2001,14:18:00,11.794,N,58.455,W
10/7/2001,14:19:59,11.796,N,58.466,W
10/7/2001,14:22:00,11.797,N,58.476,W
10/7/2001,14:23:59,11.799,N,58.487,W
10/7/2001,14:26:00,11.801,N,58.497,W
10/7/2001,14:27:59,11.803,N,58.508,W
10/7/2001,14:30:00,11.805,N,58.518,W
10/7/2001,14:32:00,11.807,N,58.529,W
10/7/2001,14:33:59,11.808,N,58.539,W
10/7/2001,14:36:00,11.81,N,58.549,W
10/7/2001,14:37:59,11.812,N,58.56,W
10/7/2001,14:40:00,11.814,N,58.57,W
10/7/2001,14:41:59,11.816,N,58.581,W
10/7/2001,14:44:00,11.818,N,58.591,W
10/7/2001,14:45:59,11.82,N,58.601,W
10/7/2001,14:48:00,11.822,N,58.611,W
10/7/2001,14:49:59,11.824,N,58.622,W
10/7/2001,14:52:00,11.826,N,58.632,W
10/7/2001,14:53:59,11.828,N,58.642,W
10/7/2001,14:56:00,11.83,N,58.652,W
10/7/2001,14:57:59,11.833,N,58.663,W
10/7/2001,15:00:00,11.835,N,58.673,W
10/7/2001,15:02:00,11.837,N,58.683,W
10/7/2001,15:03:59,11.839,N,58.693,W
10/7/2001,15:06:00,11.841,N,58.703,W
10/7/2001,15:07:59,11.844,N,58.713,W
