Track,for,Bill,2003,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/29/2003,5:54:00,21.975,N,89.991,W
6/29/2003,5:56:00,21.984,N,89.994,W
6/29/2003,5:58:00,21.992,N,89.997,W
6/29/2003,6:00:00,22,N,90,W
6/29/2003,6:01:59,22.008,N,90.003,W
6/29/2003,6:03:59,22.016,N,90.006,W
6/29/2003,6:05:59,22.025,N,90.009,W
6/29/2003,6:07:59,22.033,N,90.012,W
6/29/2003,6:09:59,22.041,N,90.015,W
6/29/2003,6:11:59,22.049,N,90.018,W
6/29/2003,6:13:59,22.057,N,90.021,W
6/29/2003,6:16:00,22.066,N,90.024,W
6/29/2003,6:18:00,22.074,N,90.027,W
6/29/2003,6:20:00,22.082,N,90.03,W
6/29/2003,6:22:00,22.09,N,90.033,W
6/29/2003,6:24:00,22.098,N,90.036,W
6/29/2003,6:26:00,22.107,N,90.039,W
6/29/2003,6:28:00,22.115,N,90.042,W
6/29/2003,6:30:00,22.123,N,90.045,W
6/29/2003,6:31:59,22.131,N,90.048,W
6/29/2003,6:33:59,22.139,N,90.051,W
6/29/2003,6:35:59,22.148,N,90.054,W
6/29/2003,6:37:59,22.156,N,90.057,W
6/29/2003,6:39:59,22.164,N,90.06,W
6/29/2003,6:41:59,22.172,N,90.063,W
6/29/2003,6:43:59,22.18,N,90.066,W
6/29/2003,6:46:00,22.189,N,90.068,W
6/29/2003,6:48:00,22.197,N,90.071,W
6/29/2003,6:50:00,22.205,N,90.074,W
6/29/2003,6:52:00,22.213,N,90.077,W
6/29/2003,6:54:00,22.221,N,90.08,W
6/29/2003,6:56:00,22.229,N,90.083,W
6/29/2003,6:58:00,22.238,N,90.086,W
6/29/2003,7:00:00,22.246,N,90.089,W
6/29/2003,7:01:59,22.254,N,90.092,W
6/29/2003,7:03:59,22.262,N,90.095,W
6/29/2003,7:05:59,22.27,N,90.098,W
6/29/2003,7:07:59,22.278,N,90.101,W
6/29/2003,7:09:59,22.287,N,90.104,W
6/29/2003,7:11:59,22.295,N,90.107,W
6/29/2003,7:13:59,22.303,N,90.11,W
6/29/2003,7:16:00,22.311,N,90.113,W
6/29/2003,7:18:00,22.319,N,90.116,W
6/29/2003,7:20:00,22.327,N,90.119,W
6/29/2003,7:22:00,22.335,N,90.122,W
6/29/2003,7:24:00,22.344,N,90.125,W
6/29/2003,7:26:00,22.352,N,90.128,W
6/29/2003,7:28:00,22.36,N,90.131,W
6/29/2003,7:30:00,22.368,N,90.134,W
6/29/2003,7:31:59,22.376,N,90.137,W
6/29/2003,7:33:59,22.384,N,90.139,W
6/29/2003,7:35:59,22.392,N,90.142,W
6/29/2003,7:37:59,22.4,N,90.145,W
6/29/2003,7:39:59,22.409,N,90.148,W
6/29/2003,7:41:59,22.417,N,90.151,W
6/29/2003,7:43:59,22.425,N,90.154,W
6/29/2003,7:46:00,22.433,N,90.157,W
6/29/2003,7:48:00,22.441,N,90.16,W
6/29/2003,7:50:00,22.449,N,90.163,W
6/29/2003,7:52:00,22.457,N,90.166,W
6/29/2003,7:54:00,22.465,N,90.169,W
6/29/2003,7:56:00,22.473,N,90.172,W
6/29/2003,7:58:00,22.481,N,90.175,W
6/29/2003,8:00:00,22.489,N,90.177,W
6/29/2003,8:02:00,22.497,N,90.18,W
6/29/2003,8:03:59,22.506,N,90.183,W
6/29/2003,8:06:00,22.514,N,90.186,W
6/29/2003,8:07:59,22.522,N,90.189,W
6/29/2003,8:10:00,22.53,N,90.192,W
6/29/2003,8:11:59,22.538,N,90.195,W
6/29/2003,8:14:00,22.546,N,90.198,W
6/29/2003,8:15:59,22.554,N,90.201,W
6/29/2003,8:18:00,22.562,N,90.204,W
6/29/2003,8:19:59,22.57,N,90.207,W
6/29/2003,8:22:00,22.578,N,90.209,W
6/29/2003,8:23:59,22.586,N,90.212,W
6/29/2003,8:26:00,22.594,N,90.215,W
6/29/2003,8:27:59,22.602,N,90.218,W
6/29/2003,8:30:00,22.61,N,90.221,W
6/29/2003,8:32:00,22.618,N,90.224,W
6/29/2003,8:33:59,22.626,N,90.227,W
6/29/2003,8:36:00,22.634,N,90.23,W
6/29/2003,8:37:59,22.642,N,90.232,W
6/29/2003,8:40:00,22.65,N,90.235,W
6/29/2003,8:41:59,22.658,N,90.238,W
6/29/2003,8:44:00,22.665,N,90.241,W
6/29/2003,8:45:59,22.673,N,90.244,W
6/29/2003,8:48:00,22.681,N,90.247,W
6/29/2003,8:49:59,22.689,N,90.25,W
6/29/2003,8:52:00,22.697,N,90.252,W
6/29/2003,8:53:59,22.705,N,90.255,W
6/29/2003,8:56:00,22.713,N,90.258,W
6/29/2003,8:57:59,22.721,N,90.261,W
6/29/2003,9:00:00,22.729,N,90.264,W
6/29/2003,9:02:00,22.737,N,90.267,W
6/29/2003,9:03:59,22.745,N,90.269,W
6/29/2003,9:06:00,22.752,N,90.272,W
6/29/2003,9:07:59,22.76,N,90.275,W
