Track,for,Larry,2003,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/30/2003,5:52:20,21.402,N,91.49,W
9/30/2003,5:54:20,21.401,N,91.493,W
9/30/2003,5:56:20,21.401,N,91.497,W
9/30/2003,5:58:20,21.4,N,91.5,W
9/30/2003,6:00:20,21.399,N,91.503,W
9/30/2003,6:02:20,21.399,N,91.507,W
9/30/2003,6:04:20,21.398,N,91.51,W
9/30/2003,6:06:19,21.398,N,91.514,W
9/30/2003,6:08:19,21.397,N,91.517,W
9/30/2003,6:10:19,21.396,N,91.521,W
9/30/2003,6:12:19,21.396,N,91.524,W
9/30/2003,6:14:19,21.395,N,91.528,W
9/30/2003,6:16:19,21.395,N,91.531,W
9/30/2003,6:18:19,21.394,N,91.535,W
9/30/2003,6:20:20,21.393,N,91.538,W
9/30/2003,6:22:20,21.393,N,91.541,W
9/30/2003,6:24:20,21.392,N,91.545,W
9/30/2003,6:26:20,21.392,N,91.548,W
9/30/2003,6:28:20,21.391,N,91.552,W
9/30/2003,6:30:20,21.39,N,91.555,W
9/30/2003,6:32:20,21.39,N,91.559,W
9/30/2003,6:34:20,21.389,N,91.562,W
9/30/2003,6:36:19,21.389,N,91.566,W
9/30/2003,6:38:19,21.388,N,91.569,W
9/30/2003,6:40:19,21.387,N,91.572,W
9/30/2003,6:42:19,21.387,N,91.576,W
9/30/2003,6:44:19,21.386,N,91.579,W
9/30/2003,6:46:19,21.386,N,91.583,W
9/30/2003,6:48:19,21.385,N,91.586,W
9/30/2003,6:50:20,21.384,N,91.59,W
9/30/2003,6:52:20,21.384,N,91.593,W
9/30/2003,6:54:20,21.383,N,91.597,W
9/30/2003,6:56:20,21.383,N,91.6,W
9/30/2003,6:58:20,21.382,N,91.603,W
9/30/2003,7:00:20,21.381,N,91.607,W
9/30/2003,7:02:20,21.381,N,91.61,W
9/30/2003,7:04:20,21.38,N,91.614,W
9/30/2003,7:06:19,21.38,N,91.617,W
9/30/2003,7:08:19,21.379,N,91.621,W
9/30/2003,7:10:19,21.378,N,91.624,W
9/30/2003,7:12:19,21.378,N,91.628,W
9/30/2003,7:14:19,21.377,N,91.631,W
9/30/2003,7:16:19,21.377,N,91.634,W
9/30/2003,7:18:19,21.376,N,91.638,W
9/30/2003,7:20:20,21.375,N,91.641,W
9/30/2003,7:22:20,21.375,N,91.645,W
9/30/2003,7:24:20,21.374,N,91.648,W
9/30/2003,7:26:20,21.374,N,91.652,W
9/30/2003,7:28:20,21.373,N,91.655,W
9/30/2003,7:30:20,21.373,N,91.658,W
9/30/2003,7:32:20,21.372,N,91.662,W
9/30/2003,7:34:20,21.371,N,91.665,W
9/30/2003,7:36:19,21.371,N,91.669,W
9/30/2003,7:38:19,21.37,N,91.672,W
9/30/2003,7:40:19,21.37,N,91.676,W
9/30/2003,7:42:19,21.369,N,91.679,W
9/30/2003,7:44:19,21.368,N,91.682,W
9/30/2003,7:46:19,21.368,N,91.686,W
9/30/2003,7:48:19,21.367,N,91.689,W
9/30/2003,7:50:20,21.367,N,91.693,W
9/30/2003,7:52:20,21.366,N,91.696,W
9/30/2003,7:54:20,21.365,N,91.699,W
9/30/2003,7:56:20,21.365,N,91.703,W
9/30/2003,7:58:20,21.364,N,91.706,W
9/30/2003,8:00:19,21.364,N,91.71,W
9/30/2003,8:02:20,21.363,N,91.713,W
9/30/2003,8:04:19,21.363,N,91.717,W
9/30/2003,8:06:19,21.362,N,91.72,W
9/30/2003,8:08:20,21.361,N,91.723,W
9/30/2003,8:10:19,21.361,N,91.727,W
9/30/2003,8:12:20,21.36,N,91.73,W
9/30/2003,8:14:19,21.36,N,91.734,W
9/30/2003,8:16:20,21.359,N,91.737,W
9/30/2003,8:18:19,21.358,N,91.74,W
9/30/2003,8:20:20,21.358,N,91.744,W
9/30/2003,8:22:19,21.357,N,91.747,W
9/30/2003,8:24:20,21.357,N,91.75,W
9/30/2003,8:26:19,21.356,N,91.754,W
9/30/2003,8:28:20,21.356,N,91.757,W
9/30/2003,8:30:19,21.355,N,91.761,W
9/30/2003,8:32:20,21.354,N,91.764,W
9/30/2003,8:34:19,21.354,N,91.767,W
9/30/2003,8:36:19,21.353,N,91.771,W
9/30/2003,8:38:20,21.353,N,91.774,W
9/30/2003,8:40:19,21.352,N,91.778,W
9/30/2003,8:42:20,21.352,N,91.781,W
9/30/2003,8:44:19,21.351,N,91.784,W
9/30/2003,8:46:20,21.35,N,91.788,W
9/30/2003,8:48:19,21.35,N,91.791,W
9/30/2003,8:50:20,21.349,N,91.794,W
9/30/2003,8:52:19,21.349,N,91.798,W
9/30/2003,8:54:20,21.348,N,91.801,W
9/30/2003,8:56:19,21.348,N,91.804,W
9/30/2003,8:58:20,21.347,N,91.808,W
9/30/2003,9:00:19,21.346,N,91.811,W
9/30/2003,9:02:20,21.346,N,91.814,W
9/30/2003,9:04:19,21.345,N,91.818,W
9/30/2003,9:06:19,21.345,N,91.821,W
