Track,for,Alex,2004,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/30/2004,17:37:14,27.019,N,74.871,W
7/30/2004,17:39:15,27.03,N,74.881,W
7/30/2004,17:41:15,27.04,N,74.89,W
7/30/2004,17:43:14,27.05,N,74.9,W
7/30/2004,17:45:15,27.06,N,74.91,W
7/30/2004,17:47:15,27.07,N,74.919,W
7/30/2004,17:49:14,27.081,N,74.929,W
7/30/2004,17:51:14,27.091,N,74.938,W
7/30/2004,17:53:15,27.101,N,74.948,W
7/30/2004,17:55:15,27.111,N,74.957,W
7/30/2004,17:57:14,27.122,N,74.967,W
7/30/2004,17:59:14,27.132,N,74.976,W
7/30/2004,18:01:15,27.142,N,74.986,W
7/30/2004,18:03:15,27.152,N,74.995,W
7/30/2004,18:05:14,27.163,N,75.005,W
7/30/2004,18:07:14,27.173,N,75.015,W
7/30/2004,18:09:15,27.183,N,75.024,W
7/30/2004,18:11:15,27.193,N,75.034,W
7/30/2004,18:13:14,27.203,N,75.043,W
7/30/2004,18:15:15,27.214,N,75.053,W
7/30/2004,18:17:15,27.224,N,75.062,W
7/30/2004,18:19:14,27.234,N,75.072,W
7/30/2004,18:21:14,27.244,N,75.081,W
7/30/2004,18:23:15,27.255,N,75.091,W
7/30/2004,18:25:15,27.265,N,75.1,W
7/30/2004,18:27:14,27.275,N,75.11,W
7/30/2004,18:29:14,27.285,N,75.119,W
7/30/2004,18:31:15,27.295,N,75.129,W
7/30/2004,18:33:15,27.306,N,75.138,W
7/30/2004,18:35:14,27.316,N,75.148,W
7/30/2004,18:37:14,27.326,N,75.157,W
7/30/2004,18:39:15,27.336,N,75.167,W
7/30/2004,18:41:15,27.346,N,75.176,W
7/30/2004,18:43:14,27.357,N,75.186,W
7/30/2004,18:45:15,27.367,N,75.195,W
7/30/2004,18:47:15,27.377,N,75.205,W
7/30/2004,18:49:14,27.387,N,75.214,W
7/30/2004,18:51:14,27.397,N,75.224,W
7/30/2004,18:53:15,27.407,N,75.233,W
7/30/2004,18:55:15,27.418,N,75.243,W
7/30/2004,18:57:14,27.428,N,75.252,W
7/30/2004,18:59:14,27.438,N,75.262,W
7/30/2004,19:01:15,27.448,N,75.271,W
7/30/2004,19:03:15,27.458,N,75.281,W
7/30/2004,19:05:14,27.468,N,75.29,W
7/30/2004,19:07:14,27.479,N,75.3,W
7/30/2004,19:09:15,27.489,N,75.309,W
7/30/2004,19:11:15,27.499,N,75.319,W
7/30/2004,19:13:14,27.509,N,75.328,W
7/30/2004,19:15:15,27.519,N,75.337,W
7/30/2004,19:17:15,27.529,N,75.347,W
7/30/2004,19:19:14,27.539,N,75.356,W
7/30/2004,19:21:14,27.55,N,75.366,W
7/30/2004,19:23:15,27.56,N,75.375,W
7/30/2004,19:25:15,27.57,N,75.384,W
7/30/2004,19:27:14,27.58,N,75.394,W
7/30/2004,19:29:14,27.59,N,75.403,W
7/30/2004,19:31:15,27.6,N,75.413,W
7/30/2004,19:33:15,27.61,N,75.422,W
7/30/2004,19:35:14,27.62,N,75.431,W
7/30/2004,19:37:14,27.63,N,75.441,W
7/30/2004,19:39:15,27.64,N,75.45,W
7/30/2004,19:41:15,27.65,N,75.46,W
7/30/2004,19:43:14,27.661,N,75.469,W
7/30/2004,19:45:15,27.671,N,75.478,W
7/30/2004,19:47:15,27.681,N,75.488,W
7/30/2004,19:49:14,27.691,N,75.497,W
7/30/2004,19:51:14,27.701,N,75.506,W
7/30/2004,19:53:15,27.711,N,75.516,W
7/30/2004,19:55:15,27.721,N,75.525,W
7/30/2004,19:57:14,27.731,N,75.534,W
7/30/2004,19:59:14,27.741,N,75.543,W
7/30/2004,20:01:15,27.751,N,75.553,W
7/30/2004,20:03:15,27.761,N,75.562,W
7/30/2004,20:05:14,27.771,N,75.571,W
7/30/2004,20:07:14,27.781,N,75.58,W
7/30/2004,20:09:15,27.791,N,75.59,W
7/30/2004,20:11:15,27.801,N,75.599,W
7/30/2004,20:13:14,27.811,N,75.608,W
7/30/2004,20:15:15,27.821,N,75.617,W
7/30/2004,20:17:15,27.831,N,75.627,W
7/30/2004,20:19:14,27.841,N,75.636,W
7/30/2004,20:21:14,27.851,N,75.645,W
7/30/2004,20:23:15,27.86,N,75.654,W
7/30/2004,20:25:15,27.87,N,75.663,W
7/30/2004,20:27:14,27.88,N,75.673,W
7/30/2004,20:29:14,27.89,N,75.682,W
7/30/2004,20:31:15,27.9,N,75.691,W
7/30/2004,20:33:15,27.91,N,75.7,W
7/30/2004,20:35:14,27.92,N,75.709,W
7/30/2004,20:37:14,27.93,N,75.718,W
7/30/2004,20:39:15,27.94,N,75.728,W
7/30/2004,20:41:15,27.949,N,75.737,W
7/30/2004,20:43:14,27.959,N,75.746,W
7/30/2004,20:45:15,27.969,N,75.755,W
7/30/2004,20:47:15,27.979,N,75.764,W
7/30/2004,20:49:14,27.989,N,75.773,W
7/30/2004,20:51:14,27.999,N,75.782,W
