Track,for,Beta,2005,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/28/2005,5:54:00,12.291,N,81.102,W
10/28/2005,5:56:00,12.294,N,81.101,W
10/28/2005,5:58:00,12.297,N,81.101,W
10/28/2005,6:00:00,12.3,N,81.1,W
10/28/2005,6:01:59,12.303,N,81.099,W
10/28/2005,6:03:59,12.306,N,81.099,W
10/28/2005,6:05:59,12.309,N,81.098,W
10/28/2005,6:07:59,12.312,N,81.097,W
10/28/2005,6:09:59,12.315,N,81.096,W
10/28/2005,6:11:59,12.318,N,81.096,W
10/28/2005,6:13:59,12.321,N,81.095,W
10/28/2005,6:16:00,12.324,N,81.094,W
10/28/2005,6:18:00,12.327,N,81.093,W
10/28/2005,6:20:00,12.33,N,81.093,W
10/28/2005,6:22:00,12.333,N,81.092,W
10/28/2005,6:24:00,12.335,N,81.091,W
10/28/2005,6:26:00,12.338,N,81.091,W
10/28/2005,6:28:00,12.341,N,81.09,W
10/28/2005,6:30:00,12.344,N,81.089,W
10/28/2005,6:31:59,12.347,N,81.088,W
10/28/2005,6:33:59,12.35,N,81.088,W
10/28/2005,6:35:59,12.353,N,81.087,W
10/28/2005,6:37:59,12.356,N,81.086,W
10/28/2005,6:39:59,12.359,N,81.085,W
10/28/2005,6:41:59,12.362,N,81.085,W
10/28/2005,6:43:59,12.365,N,81.084,W
10/28/2005,6:46:00,12.368,N,81.083,W
10/28/2005,6:48:00,12.371,N,81.083,W
10/28/2005,6:50:00,12.374,N,81.082,W
10/28/2005,6:52:00,12.377,N,81.081,W
10/28/2005,6:54:00,12.38,N,81.08,W
10/28/2005,6:56:00,12.383,N,81.08,W
10/28/2005,6:58:00,12.386,N,81.079,W
10/28/2005,7:00:00,12.389,N,81.078,W
10/28/2005,7:01:59,12.392,N,81.077,W
10/28/2005,7:03:59,12.394,N,81.077,W
10/28/2005,7:05:59,12.397,N,81.076,W
10/28/2005,7:07:59,12.4,N,81.075,W
10/28/2005,7:09:59,12.403,N,81.075,W
10/28/2005,7:11:59,12.406,N,81.074,W
10/28/2005,7:13:59,12.409,N,81.073,W
10/28/2005,7:16:00,12.412,N,81.073,W
10/28/2005,7:18:00,12.415,N,81.072,W
10/28/2005,7:20:00,12.418,N,81.071,W
10/28/2005,7:22:00,12.421,N,81.07,W
10/28/2005,7:24:00,12.424,N,81.07,W
10/28/2005,7:26:00,12.427,N,81.069,W
10/28/2005,7:28:00,12.43,N,81.068,W
10/28/2005,7:30:00,12.433,N,81.068,W
10/28/2005,7:31:59,12.436,N,81.067,W
10/28/2005,7:33:59,12.438,N,81.066,W
10/28/2005,7:35:59,12.441,N,81.066,W
10/28/2005,7:37:59,12.444,N,81.065,W
10/28/2005,7:39:59,12.447,N,81.064,W
10/28/2005,7:41:59,12.45,N,81.063,W
10/28/2005,7:43:59,12.453,N,81.063,W
10/28/2005,7:46:00,12.456,N,81.062,W
10/28/2005,7:48:00,12.459,N,81.061,W
10/28/2005,7:50:00,12.462,N,81.061,W
10/28/2005,7:52:00,12.465,N,81.06,W
10/28/2005,7:54:00,12.468,N,81.059,W
10/28/2005,7:56:00,12.47,N,81.059,W
10/28/2005,7:58:00,12.473,N,81.058,W
10/28/2005,8:00:00,12.476,N,81.057,W
10/28/2005,8:02:00,12.479,N,81.057,W
10/28/2005,8:03:59,12.482,N,81.056,W
10/28/2005,8:06:00,12.485,N,81.055,W
10/28/2005,8:07:59,12.488,N,81.055,W
10/28/2005,8:10:00,12.491,N,81.054,W
10/28/2005,8:11:59,12.494,N,81.053,W
10/28/2005,8:14:00,12.496,N,81.053,W
10/28/2005,8:15:59,12.499,N,81.052,W
10/28/2005,8:18:00,12.502,N,81.051,W
10/28/2005,8:19:59,12.505,N,81.051,W
10/28/2005,8:22:00,12.508,N,81.05,W
10/28/2005,8:23:59,12.511,N,81.049,W
10/28/2005,8:26:00,12.514,N,81.049,W
10/28/2005,8:27:59,12.517,N,81.048,W
10/28/2005,8:30:00,12.519,N,81.047,W
10/28/2005,8:32:00,12.522,N,81.047,W
10/28/2005,8:33:59,12.525,N,81.046,W
10/28/2005,8:36:00,12.528,N,81.046,W
10/28/2005,8:37:59,12.531,N,81.045,W
10/28/2005,8:40:00,12.534,N,81.044,W
10/28/2005,8:41:59,12.537,N,81.044,W
10/28/2005,8:44:00,12.539,N,81.043,W
10/28/2005,8:45:59,12.542,N,81.042,W
10/28/2005,8:48:00,12.545,N,81.042,W
10/28/2005,8:49:59,12.548,N,81.041,W
10/28/2005,8:52:00,12.551,N,81.041,W
10/28/2005,8:53:59,12.554,N,81.04,W
10/28/2005,8:56:00,12.556,N,81.039,W
10/28/2005,8:57:59,12.559,N,81.039,W
10/28/2005,9:00:00,12.562,N,81.038,W
10/28/2005,9:02:00,12.565,N,81.038,W
10/28/2005,9:03:59,12.568,N,81.037,W
10/28/2005,9:06:00,12.571,N,81.036,W
10/28/2005,9:07:59,12.573,N,81.036,W
