Track,for,Cindy,2005,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/3/2005,19:50:33,18.434,N,87.038,W
7/3/2005,19:52:33,18.437,N,87.041,W
7/3/2005,19:54:32,18.44,N,87.044,W
7/3/2005,19:56:32,18.443,N,87.047,W
7/3/2005,19:58:33,18.446,N,87.05,W
7/3/2005,20:00:33,18.449,N,87.053,W
7/3/2005,20:02:32,18.452,N,87.056,W
7/3/2005,20:04:33,18.455,N,87.059,W
7/3/2005,20:06:33,18.457,N,87.062,W
7/3/2005,20:08:32,18.46,N,87.065,W
7/3/2005,20:10:32,18.463,N,87.068,W
7/3/2005,20:12:33,18.466,N,87.071,W
7/3/2005,20:14:33,18.469,N,87.073,W
7/3/2005,20:16:32,18.472,N,87.076,W
7/3/2005,20:18:32,18.475,N,87.079,W
7/3/2005,20:20:33,18.477,N,87.082,W
7/3/2005,20:22:33,18.48,N,87.085,W
7/3/2005,20:24:32,18.483,N,87.088,W
7/3/2005,20:26:32,18.486,N,87.09,W
7/3/2005,20:28:33,18.489,N,87.093,W
7/3/2005,20:30:33,18.491,N,87.096,W
7/3/2005,20:32:32,18.494,N,87.098,W
7/3/2005,20:34:33,18.497,N,87.101,W
7/3/2005,20:36:33,18.5,N,87.104,W
7/3/2005,20:38:32,18.502,N,87.106,W
7/3/2005,20:40:32,18.505,N,87.109,W
7/3/2005,20:42:33,18.508,N,87.111,W
7/3/2005,20:44:33,18.51,N,87.114,W
7/3/2005,20:46:32,18.513,N,87.116,W
7/3/2005,20:48:32,18.516,N,87.119,W
7/3/2005,20:50:33,18.518,N,87.121,W
7/3/2005,20:52:33,18.521,N,87.123,W
7/3/2005,20:54:32,18.523,N,87.125,W
7/3/2005,20:56:32,18.526,N,87.128,W
7/3/2005,20:58:33,18.528,N,87.13,W
7/3/2005,21:00:33,18.531,N,87.132,W
7/3/2005,21:02:32,18.533,N,87.134,W
7/3/2005,21:04:33,18.536,N,87.136,W
7/3/2005,21:06:33,18.538,N,87.137,W
7/3/2005,21:08:32,18.541,N,87.139,W
7/3/2005,21:10:32,18.543,N,87.141,W
7/3/2005,21:12:33,18.545,N,87.143,W
7/3/2005,21:14:33,18.548,N,87.144,W
7/3/2005,21:16:32,18.55,N,87.146,W
7/3/2005,21:18:32,18.552,N,87.147,W
7/3/2005,21:20:33,18.554,N,87.149,W
7/3/2005,21:22:33,18.556,N,87.15,W
7/3/2005,21:24:32,18.559,N,87.151,W
7/3/2005,21:26:32,18.561,N,87.152,W
7/3/2005,21:28:33,18.563,N,87.154,W
7/3/2005,21:30:33,18.565,N,87.155,W
7/3/2005,21:32:32,18.567,N,87.155,W
7/3/2005,21:34:33,18.569,N,87.156,W
7/3/2005,21:36:33,18.571,N,87.157,W
7/3/2005,21:38:32,18.572,N,87.158,W
7/3/2005,21:40:32,18.574,N,87.158,W
7/3/2005,21:42:33,18.576,N,87.159,W
7/3/2005,21:44:33,18.578,N,87.159,W
7/3/2005,21:46:32,18.58,N,87.159,W
7/3/2005,21:48:32,18.581,N,87.159,W
7/3/2005,21:50:33,18.583,N,87.159,W
7/3/2005,21:52:33,18.584,N,87.159,W
7/3/2005,21:54:32,18.586,N,87.159,W
7/3/2005,21:56:32,18.587,N,87.159,W
7/3/2005,21:58:33,18.589,N,87.159,W
7/3/2005,22:00:33,18.59,N,87.158,W
7/3/2005,22:02:32,18.592,N,87.158,W
7/3/2005,22:04:33,18.593,N,87.157,W
7/3/2005,22:06:33,18.594,N,87.156,W
7/3/2005,22:08:32,18.595,N,87.155,W
7/3/2005,22:10:32,18.596,N,87.154,W
7/3/2005,22:12:33,18.597,N,87.153,W
7/3/2005,22:14:33,18.599,N,87.152,W
7/3/2005,22:16:32,18.599,N,87.15,W
7/3/2005,22:18:32,18.6,N,87.149,W
7/3/2005,22:20:33,18.601,N,87.147,W
7/3/2005,22:22:33,18.602,N,87.145,W
7/3/2005,22:24:32,18.603,N,87.143,W
7/3/2005,22:26:32,18.604,N,87.141,W
7/3/2005,22:28:33,18.604,N,87.139,W
7/3/2005,22:30:33,18.605,N,87.136,W
7/3/2005,22:31:40,18.605,N,87.135,W
7/3/2005,22:33:40,18.607,N,87.135,W
7/3/2005,22:35:39,18.608,N,87.135,W
7/3/2005,22:37:39,18.61,N,87.135,W
7/3/2005,22:39:40,18.612,N,87.136,W
7/3/2005,22:41:40,18.614,N,87.136,W
7/3/2005,22:43:39,18.616,N,87.136,W
7/3/2005,22:45:39,18.617,N,87.136,W
7/3/2005,22:47:40,18.619,N,87.136,W
7/3/2005,22:49:40,18.621,N,87.136,W
7/3/2005,22:51:39,18.623,N,87.137,W
7/3/2005,22:53:39,18.625,N,87.137,W
7/3/2005,22:55:40,18.626,N,87.137,W
7/3/2005,22:57:39,18.628,N,87.137,W
7/3/2005,22:59:39,18.63,N,87.137,W
7/3/2005,23:01:40,18.632,N,87.138,W
7/3/2005,23:03:40,18.634,N,87.138,W
