Track,for,Nate,2005,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/7/2005,23:54:00,29.596,N,65.708,W
9/7/2005,23:56:00,29.597,N,65.706,W
9/7/2005,23:58:00,29.599,N,65.703,W
9/8/2005,0:00:00,29.6,N,65.7,W
9/8/2005,0:02:00,29.601,N,65.697,W
9/8/2005,0:04:00,29.603,N,65.694,W
9/8/2005,0:06:00,29.604,N,65.692,W
9/8/2005,0:08:00,29.606,N,65.689,W
9/8/2005,0:10:00,29.607,N,65.686,W
9/8/2005,0:12:00,29.608,N,65.683,W
9/8/2005,0:14:00,29.61,N,65.68,W
9/8/2005,0:16:00,29.611,N,65.678,W
9/8/2005,0:18:00,29.613,N,65.675,W
9/8/2005,0:20:00,29.614,N,65.672,W
9/8/2005,0:22:00,29.615,N,65.669,W
9/8/2005,0:24:00,29.617,N,65.666,W
9/8/2005,0:26:00,29.618,N,65.664,W
9/8/2005,0:28:00,29.62,N,65.661,W
9/8/2005,0:30:00,29.621,N,65.658,W
9/8/2005,0:32:00,29.622,N,65.655,W
9/8/2005,0:34:00,29.624,N,65.652,W
9/8/2005,0:36:00,29.625,N,65.649,W
9/8/2005,0:38:00,29.627,N,65.647,W
9/8/2005,0:40:00,29.628,N,65.644,W
9/8/2005,0:42:00,29.63,N,65.641,W
9/8/2005,0:44:00,29.631,N,65.638,W
9/8/2005,0:46:00,29.633,N,65.635,W
9/8/2005,0:48:00,29.634,N,65.632,W
9/8/2005,0:50:00,29.635,N,65.63,W
9/8/2005,0:52:00,29.637,N,65.627,W
9/8/2005,0:54:00,29.638,N,65.624,W
9/8/2005,0:56:00,29.64,N,65.621,W
9/8/2005,0:58:00,29.641,N,65.618,W
9/8/2005,1:00:00,29.643,N,65.615,W
9/8/2005,1:02:00,29.644,N,65.612,W
9/8/2005,1:04:00,29.646,N,65.609,W
9/8/2005,1:06:00,29.647,N,65.606,W
9/8/2005,1:08:00,29.649,N,65.604,W
9/8/2005,1:10:00,29.65,N,65.601,W
9/8/2005,1:12:00,29.652,N,65.598,W
9/8/2005,1:14:00,29.653,N,65.595,W
9/8/2005,1:16:00,29.655,N,65.592,W
9/8/2005,1:18:00,29.656,N,65.589,W
9/8/2005,1:20:00,29.658,N,65.586,W
9/8/2005,1:22:00,29.659,N,65.583,W
9/8/2005,1:24:00,29.661,N,65.58,W
9/8/2005,1:26:00,29.662,N,65.577,W
9/8/2005,1:28:00,29.664,N,65.574,W
9/8/2005,1:30:00,29.665,N,65.571,W
9/8/2005,1:32:00,29.667,N,65.568,W
9/8/2005,1:34:00,29.669,N,65.565,W
9/8/2005,1:36:00,29.67,N,65.562,W
9/8/2005,1:38:00,29.672,N,65.559,W
9/8/2005,1:40:00,29.673,N,65.556,W
9/8/2005,1:42:00,29.675,N,65.553,W
9/8/2005,1:44:00,29.677,N,65.55,W
9/8/2005,1:46:00,29.678,N,65.547,W
9/8/2005,1:48:00,29.68,N,65.543,W
9/8/2005,1:50:00,29.681,N,65.54,W
9/8/2005,1:52:00,29.683,N,65.537,W
9/8/2005,1:54:00,29.685,N,65.534,W
9/8/2005,1:56:00,29.686,N,65.531,W
9/8/2005,1:58:00,29.688,N,65.528,W
9/8/2005,2:00:00,29.69,N,65.525,W
9/8/2005,2:02:00,29.691,N,65.521,W
9/8/2005,2:04:00,29.693,N,65.518,W
9/8/2005,2:06:00,29.695,N,65.515,W
9/8/2005,2:08:00,29.697,N,65.512,W
9/8/2005,2:10:00,29.698,N,65.509,W
9/8/2005,2:12:00,29.7,N,65.505,W
9/8/2005,2:14:00,29.702,N,65.502,W
9/8/2005,2:16:00,29.704,N,65.499,W
9/8/2005,2:18:00,29.705,N,65.495,W
9/8/2005,2:20:00,29.707,N,65.492,W
9/8/2005,2:22:00,29.709,N,65.489,W
9/8/2005,2:24:00,29.711,N,65.486,W
9/8/2005,2:26:00,29.713,N,65.482,W
9/8/2005,2:28:00,29.715,N,65.479,W
9/8/2005,2:30:00,29.716,N,65.475,W
9/8/2005,2:32:00,29.718,N,65.472,W
9/8/2005,2:34:00,29.72,N,65.469,W
9/8/2005,2:36:00,29.722,N,65.465,W
9/8/2005,2:38:00,29.724,N,65.462,W
9/8/2005,2:40:00,29.726,N,65.458,W
9/8/2005,2:42:00,29.728,N,65.455,W
9/8/2005,2:44:00,29.73,N,65.451,W
9/8/2005,2:46:00,29.732,N,65.448,W
9/8/2005,2:48:00,29.734,N,65.444,W
9/8/2005,2:50:00,29.736,N,65.441,W
9/8/2005,2:52:00,29.738,N,65.437,W
9/8/2005,2:54:00,29.74,N,65.434,W
9/8/2005,2:56:00,29.742,N,65.43,W
9/8/2005,2:58:00,29.744,N,65.426,W
9/8/2005,3:00:00,29.746,N,65.423,W
9/8/2005,3:02:00,29.748,N,65.419,W
9/8/2005,3:04:00,29.75,N,65.415,W
9/8/2005,3:06:00,29.752,N,65.412,W
9/8/2005,3:08:00,29.754,N,65.408,W
