Track,for,Chris,2006,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/1/2006,5:54:00,16.793,N,58.885,W
8/1/2006,5:56:00,16.796,N,58.89,W
8/1/2006,5:58:00,16.798,N,58.895,W
8/1/2006,6:00:00,16.8,N,58.9,W
8/1/2006,6:01:59,16.802,N,58.905,W
8/1/2006,6:03:59,16.804,N,58.91,W
8/1/2006,6:05:59,16.807,N,58.915,W
8/1/2006,6:07:59,16.809,N,58.92,W
8/1/2006,6:09:59,16.811,N,58.925,W
8/1/2006,6:11:59,16.813,N,58.93,W
8/1/2006,6:13:59,16.816,N,58.935,W
8/1/2006,6:16:00,16.818,N,58.94,W
8/1/2006,6:18:00,16.82,N,58.945,W
8/1/2006,6:20:00,16.822,N,58.95,W
8/1/2006,6:22:00,16.824,N,58.954,W
8/1/2006,6:24:00,16.827,N,58.959,W
8/1/2006,6:26:00,16.829,N,58.964,W
8/1/2006,6:28:00,16.831,N,58.969,W
8/1/2006,6:30:00,16.833,N,58.974,W
8/1/2006,6:31:59,16.835,N,58.979,W
8/1/2006,6:33:59,16.838,N,58.984,W
8/1/2006,6:35:59,16.84,N,58.989,W
8/1/2006,6:37:59,16.842,N,58.994,W
8/1/2006,6:39:59,16.844,N,58.999,W
8/1/2006,6:41:59,16.847,N,59.004,W
8/1/2006,6:43:59,16.849,N,59.009,W
8/1/2006,6:46:00,16.851,N,59.014,W
8/1/2006,6:48:00,16.853,N,59.019,W
8/1/2006,6:50:00,16.855,N,59.024,W
8/1/2006,6:52:00,16.858,N,59.029,W
8/1/2006,6:54:00,16.86,N,59.034,W
8/1/2006,6:56:00,16.862,N,59.039,W
8/1/2006,6:58:00,16.864,N,59.044,W
8/1/2006,7:00:00,16.867,N,59.049,W
8/1/2006,7:01:59,16.869,N,59.054,W
8/1/2006,7:03:59,16.871,N,59.058,W
8/1/2006,7:05:59,16.873,N,59.063,W
8/1/2006,7:07:59,16.875,N,59.068,W
8/1/2006,7:09:59,16.878,N,59.073,W
8/1/2006,7:11:59,16.88,N,59.078,W
8/1/2006,7:13:59,16.882,N,59.083,W
8/1/2006,7:16:00,16.884,N,59.088,W
8/1/2006,7:18:00,16.886,N,59.093,W
8/1/2006,7:20:00,16.889,N,59.098,W
8/1/2006,7:22:00,16.891,N,59.103,W
8/1/2006,7:24:00,16.893,N,59.108,W
8/1/2006,7:26:00,16.895,N,59.113,W
8/1/2006,7:28:00,16.898,N,59.118,W
8/1/2006,7:30:00,16.9,N,59.123,W
8/1/2006,7:31:59,16.902,N,59.128,W
8/1/2006,7:33:59,16.904,N,59.133,W
8/1/2006,7:35:59,16.906,N,59.138,W
8/1/2006,7:37:59,16.909,N,59.143,W
8/1/2006,7:39:59,16.911,N,59.148,W
8/1/2006,7:41:59,16.913,N,59.153,W
8/1/2006,7:43:59,16.915,N,59.158,W
8/1/2006,7:46:00,16.918,N,59.163,W
8/1/2006,7:48:00,16.92,N,59.168,W
8/1/2006,7:50:00,16.922,N,59.173,W
8/1/2006,7:52:00,16.924,N,59.177,W
8/1/2006,7:54:00,16.926,N,59.182,W
8/1/2006,7:56:00,16.929,N,59.187,W
8/1/2006,7:58:00,16.931,N,59.192,W
8/1/2006,8:00:00,16.933,N,59.197,W
8/1/2006,8:02:00,16.935,N,59.202,W
8/1/2006,8:03:59,16.937,N,59.207,W
8/1/2006,8:06:00,16.94,N,59.212,W
8/1/2006,8:07:59,16.942,N,59.217,W
8/1/2006,8:10:00,16.944,N,59.222,W
8/1/2006,8:11:59,16.946,N,59.227,W
8/1/2006,8:14:00,16.949,N,59.232,W
8/1/2006,8:15:59,16.951,N,59.237,W
8/1/2006,8:18:00,16.953,N,59.242,W
8/1/2006,8:19:59,16.955,N,59.247,W
8/1/2006,8:22:00,16.957,N,59.252,W
8/1/2006,8:23:59,16.96,N,59.257,W
8/1/2006,8:26:00,16.962,N,59.262,W
8/1/2006,8:27:59,16.964,N,59.267,W
8/1/2006,8:30:00,16.966,N,59.272,W
8/1/2006,8:32:00,16.969,N,59.277,W
8/1/2006,8:33:59,16.971,N,59.282,W
8/1/2006,8:36:00,16.973,N,59.287,W
8/1/2006,8:37:59,16.975,N,59.292,W
8/1/2006,8:40:00,16.977,N,59.297,W
8/1/2006,8:41:59,16.98,N,59.302,W
8/1/2006,8:44:00,16.982,N,59.307,W
8/1/2006,8:45:59,16.984,N,59.312,W
8/1/2006,8:48:00,16.986,N,59.317,W
8/1/2006,8:49:59,16.989,N,59.322,W
8/1/2006,8:52:00,16.991,N,59.327,W
8/1/2006,8:53:59,16.993,N,59.332,W
8/1/2006,8:56:00,16.995,N,59.337,W
8/1/2006,8:57:59,16.997,N,59.342,W
8/1/2006,9:00:00,17,N,59.347,W
8/1/2006,9:02:00,17.002,N,59.352,W
8/1/2006,9:03:59,17.004,N,59.357,W
8/1/2006,9:06:00,17.006,N,59.362,W
8/1/2006,9:07:59,17.009,N,59.367,W
