Track,for,Gordon,2006,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/11/2006,11:53:59,20.891,N,56.285,W
9/11/2006,11:56:00,20.894,N,56.29,W
9/11/2006,11:57:59,20.897,N,56.295,W
9/11/2006,12:00:00,20.9,N,56.3,W
9/11/2006,12:02:00,20.903,N,56.305,W
9/11/2006,12:03:59,20.906,N,56.31,W
9/11/2006,12:06:00,20.909,N,56.315,W
9/11/2006,12:07:59,20.912,N,56.32,W
9/11/2006,12:10:00,20.915,N,56.325,W
9/11/2006,12:11:59,20.918,N,56.33,W
9/11/2006,12:14:00,20.921,N,56.335,W
9/11/2006,12:15:59,20.924,N,56.34,W
9/11/2006,12:18:00,20.927,N,56.345,W
9/11/2006,12:19:59,20.93,N,56.35,W
9/11/2006,12:22:00,20.933,N,56.355,W
9/11/2006,12:23:59,20.936,N,56.36,W
9/11/2006,12:26:00,20.939,N,56.365,W
9/11/2006,12:27:59,20.942,N,56.37,W
9/11/2006,12:30:00,20.945,N,56.375,W
9/11/2006,12:32:00,20.948,N,56.38,W
9/11/2006,12:33:59,20.951,N,56.385,W
9/11/2006,12:36:00,20.954,N,56.39,W
9/11/2006,12:37:59,20.957,N,56.394,W
9/11/2006,12:40:00,20.96,N,56.399,W
9/11/2006,12:41:59,20.963,N,56.404,W
9/11/2006,12:44:00,20.966,N,56.409,W
9/11/2006,12:45:59,20.969,N,56.414,W
9/11/2006,12:48:00,20.972,N,56.419,W
9/11/2006,12:49:59,20.975,N,56.424,W
9/11/2006,12:52:00,20.978,N,56.429,W
9/11/2006,12:53:59,20.981,N,56.434,W
9/11/2006,12:56:00,20.984,N,56.439,W
9/11/2006,12:57:59,20.987,N,56.444,W
9/11/2006,13:00:00,20.99,N,56.449,W
9/11/2006,13:02:00,20.993,N,56.454,W
9/11/2006,13:03:59,20.996,N,56.459,W
9/11/2006,13:06:00,20.999,N,56.464,W
9/11/2006,13:07:59,21.002,N,56.469,W
9/11/2006,13:10:00,21.005,N,56.473,W
9/11/2006,13:11:59,21.008,N,56.478,W
9/11/2006,13:14:00,21.011,N,56.483,W
9/11/2006,13:15:59,21.014,N,56.488,W
9/11/2006,13:18:00,21.017,N,56.493,W
9/11/2006,13:19:59,21.02,N,56.498,W
9/11/2006,13:22:00,21.023,N,56.503,W
9/11/2006,13:23:59,21.026,N,56.508,W
9/11/2006,13:26:00,21.029,N,56.513,W
9/11/2006,13:27:59,21.032,N,56.517,W
9/11/2006,13:30:00,21.035,N,56.522,W
9/11/2006,13:32:00,21.038,N,56.527,W
9/11/2006,13:33:59,21.041,N,56.532,W
9/11/2006,13:36:00,21.044,N,56.537,W
9/11/2006,13:37:59,21.047,N,56.542,W
9/11/2006,13:40:00,21.05,N,56.546,W
9/11/2006,13:41:59,21.053,N,56.551,W
9/11/2006,13:44:00,21.056,N,56.556,W
9/11/2006,13:45:59,21.059,N,56.561,W
9/11/2006,13:48:00,21.062,N,56.566,W
9/11/2006,13:49:59,21.065,N,56.57,W
9/11/2006,13:52:00,21.068,N,56.575,W
9/11/2006,13:53:59,21.071,N,56.58,W
9/11/2006,13:56:00,21.074,N,56.585,W
9/11/2006,13:57:59,21.077,N,56.59,W
9/11/2006,14:00:00,21.08,N,56.594,W
9/11/2006,14:02:00,21.083,N,56.599,W
9/11/2006,14:03:59,21.085,N,56.604,W
9/11/2006,14:06:00,21.088,N,56.608,W
9/11/2006,14:07:59,21.091,N,56.613,W
9/11/2006,14:10:00,21.094,N,56.618,W
9/11/2006,14:11:59,21.097,N,56.623,W
9/11/2006,14:14:00,21.1,N,56.627,W
9/11/2006,14:15:59,21.103,N,56.632,W
9/11/2006,14:18:00,21.106,N,56.637,W
9/11/2006,14:19:59,21.109,N,56.641,W
9/11/2006,14:22:00,21.112,N,56.646,W
9/11/2006,14:23:59,21.115,N,56.651,W
9/11/2006,14:26:00,21.117,N,56.655,W
9/11/2006,14:27:59,21.12,N,56.66,W
9/11/2006,14:30:00,21.123,N,56.665,W
9/11/2006,14:32:00,21.126,N,56.669,W
9/11/2006,14:33:59,21.129,N,56.674,W
9/11/2006,14:36:00,21.132,N,56.678,W
9/11/2006,14:37:59,21.135,N,56.683,W
9/11/2006,14:40:00,21.138,N,56.688,W
9/11/2006,14:41:59,21.141,N,56.692,W
9/11/2006,14:44:00,21.143,N,56.697,W
9/11/2006,14:45:59,21.146,N,56.701,W
9/11/2006,14:48:00,21.149,N,56.706,W
9/11/2006,14:49:59,21.152,N,56.71,W
9/11/2006,14:52:00,21.155,N,56.715,W
9/11/2006,14:53:59,21.158,N,56.719,W
9/11/2006,14:56:00,21.16,N,56.724,W
9/11/2006,14:57:59,21.163,N,56.728,W
9/11/2006,15:00:00,21.166,N,56.733,W
9/11/2006,15:02:00,21.169,N,56.737,W
9/11/2006,15:03:59,21.172,N,56.742,W
9/11/2006,15:06:00,21.175,N,56.746,W
9/11/2006,15:07:59,21.177,N,56.751,W
