Track,for,Barry,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/1/2007,5:54:00,21.183,N,85.8,W
6/1/2007,5:56:00,21.188,N,85.8,W
6/1/2007,5:58:00,21.194,N,85.8,W
6/1/2007,6:00:00,21.2,N,85.8,W
6/1/2007,6:01:59,21.206,N,85.8,W
6/1/2007,6:03:59,21.212,N,85.8,W
6/1/2007,6:05:59,21.217,N,85.8,W
6/1/2007,6:07:59,21.223,N,85.8,W
6/1/2007,6:09:59,21.229,N,85.8,W
6/1/2007,6:11:59,21.235,N,85.8,W
6/1/2007,6:13:59,21.241,N,85.8,W
6/1/2007,6:16:00,21.247,N,85.8,W
6/1/2007,6:18:00,21.252,N,85.8,W
6/1/2007,6:20:00,21.258,N,85.8,W
6/1/2007,6:22:00,21.264,N,85.8,W
6/1/2007,6:24:00,21.27,N,85.8,W
6/1/2007,6:26:00,21.276,N,85.8,W
6/1/2007,6:28:00,21.281,N,85.8,W
6/1/2007,6:30:00,21.287,N,85.801,W
6/1/2007,6:31:59,21.293,N,85.801,W
6/1/2007,6:33:59,21.299,N,85.801,W
6/1/2007,6:35:59,21.305,N,85.801,W
6/1/2007,6:37:59,21.311,N,85.801,W
6/1/2007,6:39:59,21.316,N,85.801,W
6/1/2007,6:41:59,21.322,N,85.801,W
6/1/2007,6:43:59,21.328,N,85.801,W
6/1/2007,6:46:00,21.334,N,85.801,W
6/1/2007,6:48:00,21.34,N,85.801,W
6/1/2007,6:50:00,21.346,N,85.801,W
6/1/2007,6:52:00,21.351,N,85.801,W
6/1/2007,6:54:00,21.357,N,85.801,W
6/1/2007,6:56:00,21.363,N,85.801,W
6/1/2007,6:58:00,21.369,N,85.801,W
6/1/2007,7:00:00,21.375,N,85.801,W
6/1/2007,7:01:59,21.381,N,85.801,W
6/1/2007,7:03:59,21.387,N,85.801,W
6/1/2007,7:05:59,21.392,N,85.801,W
6/1/2007,7:07:59,21.398,N,85.801,W
6/1/2007,7:09:59,21.404,N,85.801,W
6/1/2007,7:11:59,21.41,N,85.801,W
6/1/2007,7:13:59,21.416,N,85.801,W
6/1/2007,7:16:00,21.422,N,85.801,W
6/1/2007,7:18:00,21.427,N,85.801,W
6/1/2007,7:20:00,21.433,N,85.801,W
6/1/2007,7:22:00,21.439,N,85.801,W
6/1/2007,7:24:00,21.445,N,85.801,W
6/1/2007,7:26:00,21.451,N,85.801,W
6/1/2007,7:28:00,21.457,N,85.801,W
6/1/2007,7:30:00,21.463,N,85.801,W
6/1/2007,7:31:59,21.469,N,85.802,W
6/1/2007,7:33:59,21.474,N,85.802,W
6/1/2007,7:35:59,21.48,N,85.802,W
6/1/2007,7:37:59,21.486,N,85.802,W
6/1/2007,7:39:59,21.492,N,85.802,W
6/1/2007,7:41:59,21.498,N,85.802,W
6/1/2007,7:43:59,21.504,N,85.802,W
6/1/2007,7:46:00,21.51,N,85.802,W
6/1/2007,7:48:00,21.516,N,85.802,W
6/1/2007,7:50:00,21.522,N,85.802,W
6/1/2007,7:52:00,21.527,N,85.802,W
6/1/2007,7:54:00,21.533,N,85.802,W
6/1/2007,7:56:00,21.539,N,85.802,W
6/1/2007,7:58:00,21.545,N,85.802,W
6/1/2007,8:00:00,21.551,N,85.802,W
6/1/2007,8:02:00,21.557,N,85.802,W
6/1/2007,8:03:59,21.563,N,85.802,W
6/1/2007,8:06:00,21.569,N,85.802,W
6/1/2007,8:07:59,21.575,N,85.802,W
6/1/2007,8:10:00,21.581,N,85.802,W
6/1/2007,8:11:59,21.587,N,85.802,W
6/1/2007,8:14:00,21.593,N,85.802,W
6/1/2007,8:15:59,21.599,N,85.802,W
6/1/2007,8:18:00,21.604,N,85.802,W
6/1/2007,8:19:59,21.61,N,85.802,W
6/1/2007,8:22:00,21.616,N,85.802,W
6/1/2007,8:23:59,21.622,N,85.802,W
6/1/2007,8:26:00,21.628,N,85.802,W
6/1/2007,8:27:59,21.634,N,85.802,W
6/1/2007,8:30:00,21.64,N,85.802,W
6/1/2007,8:32:00,21.646,N,85.802,W
6/1/2007,8:33:59,21.652,N,85.802,W
6/1/2007,8:36:00,21.658,N,85.802,W
6/1/2007,8:37:59,21.664,N,85.802,W
6/1/2007,8:40:00,21.67,N,85.802,W
6/1/2007,8:41:59,21.676,N,85.802,W
6/1/2007,8:44:00,21.682,N,85.802,W
6/1/2007,8:45:59,21.688,N,85.802,W
6/1/2007,8:48:00,21.694,N,85.802,W
6/1/2007,8:49:59,21.7,N,85.802,W
6/1/2007,8:52:00,21.706,N,85.802,W
6/1/2007,8:53:59,21.712,N,85.802,W
6/1/2007,8:56:00,21.718,N,85.802,W
6/1/2007,8:57:59,21.724,N,85.802,W
6/1/2007,9:00:00,21.73,N,85.802,W
6/1/2007,9:02:00,21.736,N,85.802,W
6/1/2007,9:03:59,21.742,N,85.802,W
6/1/2007,9:06:00,21.748,N,85.802,W
6/1/2007,9:07:59,21.755,N,85.802,W
