Track,for,Gabrielle,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/4/2007,23:53:59,29.4,N,69.897,W
9/4/2007,23:55:59,29.4,N,69.898,W
9/4/2007,23:58:00,29.4,N,69.899,W
9/5/2007,0:00:00,29.4,N,69.9,W
9/5/2007,0:02:00,29.4,N,69.901,W
9/5/2007,0:04:00,29.4,N,69.902,W
9/5/2007,0:06:00,29.4,N,69.903,W
9/5/2007,0:08:00,29.4,N,69.904,W
9/5/2007,0:10:00,29.4,N,69.905,W
9/5/2007,0:12:00,29.4,N,69.906,W
9/5/2007,0:14:00,29.4,N,69.907,W
9/5/2007,0:16:00,29.4,N,69.907,W
9/5/2007,0:18:00,29.4,N,69.908,W
9/5/2007,0:20:00,29.4,N,69.909,W
9/5/2007,0:22:00,29.4,N,69.91,W
9/5/2007,0:24:00,29.4,N,69.911,W
9/5/2007,0:26:00,29.401,N,69.912,W
9/5/2007,0:28:00,29.401,N,69.913,W
9/5/2007,0:30:00,29.401,N,69.914,W
9/5/2007,0:32:00,29.401,N,69.915,W
9/5/2007,0:34:00,29.401,N,69.916,W
9/5/2007,0:36:00,29.401,N,69.917,W
9/5/2007,0:38:00,29.401,N,69.918,W
9/5/2007,0:40:00,29.401,N,69.919,W
9/5/2007,0:42:00,29.401,N,69.92,W
9/5/2007,0:44:00,29.401,N,69.92,W
9/5/2007,0:46:00,29.401,N,69.921,W
9/5/2007,0:48:00,29.401,N,69.922,W
9/5/2007,0:50:00,29.401,N,69.923,W
9/5/2007,0:52:00,29.401,N,69.924,W
9/5/2007,0:54:00,29.401,N,69.925,W
9/5/2007,0:56:00,29.401,N,69.926,W
9/5/2007,0:58:00,29.401,N,69.927,W
9/5/2007,1:00:00,29.401,N,69.928,W
9/5/2007,1:01:59,29.401,N,69.929,W
9/5/2007,1:04:00,29.401,N,69.93,W
9/5/2007,1:06:00,29.401,N,69.931,W
9/5/2007,1:07:59,29.401,N,69.932,W
9/5/2007,1:09:59,29.401,N,69.933,W
9/5/2007,1:12:00,29.401,N,69.933,W
9/5/2007,1:14:00,29.401,N,69.934,W
9/5/2007,1:15:59,29.402,N,69.935,W
9/5/2007,1:17:59,29.402,N,69.936,W
9/5/2007,1:20:00,29.402,N,69.937,W
9/5/2007,1:22:00,29.402,N,69.938,W
9/5/2007,1:23:59,29.402,N,69.939,W
9/5/2007,1:25:59,29.402,N,69.94,W
9/5/2007,1:28:00,29.402,N,69.941,W
9/5/2007,1:30:00,29.402,N,69.942,W
9/5/2007,1:31:59,29.402,N,69.943,W
9/5/2007,1:34:00,29.402,N,69.944,W
9/5/2007,1:36:00,29.402,N,69.945,W
9/5/2007,1:38:00,29.402,N,69.946,W
9/5/2007,1:39:59,29.402,N,69.946,W
9/5/2007,1:42:00,29.402,N,69.947,W
9/5/2007,1:44:00,29.402,N,69.948,W
9/5/2007,1:46:00,29.402,N,69.949,W
9/5/2007,1:47:59,29.402,N,69.95,W
9/5/2007,1:50:00,29.402,N,69.951,W
9/5/2007,1:52:00,29.402,N,69.952,W
9/5/2007,1:54:00,29.402,N,69.953,W
9/5/2007,1:55:59,29.402,N,69.954,W
9/5/2007,1:58:00,29.402,N,69.955,W
9/5/2007,2:00:00,29.402,N,69.956,W
9/5/2007,2:01:59,29.402,N,69.957,W
9/5/2007,2:03:59,29.402,N,69.958,W
9/5/2007,2:05:59,29.403,N,69.959,W
9/5/2007,2:08:00,29.403,N,69.959,W
9/5/2007,2:10:00,29.403,N,69.96,W
9/5/2007,2:12:00,29.403,N,69.961,W
9/5/2007,2:14:00,29.403,N,69.962,W
9/5/2007,2:15:59,29.403,N,69.963,W
9/5/2007,2:17:59,29.403,N,69.964,W
9/5/2007,2:19:59,29.403,N,69.965,W
9/5/2007,2:21:59,29.403,N,69.966,W
9/5/2007,2:24:00,29.403,N,69.967,W
9/5/2007,2:26:00,29.403,N,69.968,W
9/5/2007,2:28:00,29.403,N,69.969,W
9/5/2007,2:30:00,29.403,N,69.97,W
9/5/2007,2:31:59,29.403,N,69.971,W
9/5/2007,2:33:59,29.403,N,69.972,W
9/5/2007,2:35:59,29.403,N,69.972,W
9/5/2007,2:38:00,29.403,N,69.973,W
9/5/2007,2:40:00,29.403,N,69.974,W
9/5/2007,2:42:00,29.403,N,69.975,W
9/5/2007,2:44:00,29.403,N,69.976,W
9/5/2007,2:46:00,29.403,N,69.977,W
9/5/2007,2:47:59,29.403,N,69.978,W
9/5/2007,2:49:59,29.403,N,69.979,W
9/5/2007,2:51:59,29.403,N,69.98,W
9/5/2007,2:54:00,29.403,N,69.981,W
9/5/2007,2:56:00,29.404,N,69.982,W
9/5/2007,2:58:00,29.404,N,69.983,W
9/5/2007,3:00:00,29.404,N,69.984,W
9/5/2007,3:01:59,29.404,N,69.985,W
9/5/2007,3:03:59,29.404,N,69.985,W
9/5/2007,3:05:59,29.404,N,69.986,W
9/5/2007,3:08:00,29.404,N,69.987,W
