Track,for,Bertha,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/11/2008,5:54:00,27.791,N,61.495,W
7/11/2008,5:56:00,27.794,N,61.496,W
7/11/2008,5:58:00,27.797,N,61.498,W
7/11/2008,6:00:00,27.8,N,61.5,W
7/11/2008,6:01:59,27.803,N,61.502,W
7/11/2008,6:03:59,27.806,N,61.504,W
7/11/2008,6:05:59,27.809,N,61.505,W
7/11/2008,6:07:59,27.811,N,61.507,W
7/11/2008,6:09:59,27.814,N,61.509,W
7/11/2008,6:11:59,27.817,N,61.511,W
7/11/2008,6:13:59,27.82,N,61.513,W
7/11/2008,6:16:00,27.823,N,61.514,W
7/11/2008,6:18:00,27.826,N,61.516,W
7/11/2008,6:20:00,27.828,N,61.518,W
7/11/2008,6:22:00,27.831,N,61.52,W
7/11/2008,6:24:00,27.834,N,61.522,W
7/11/2008,6:26:00,27.837,N,61.523,W
7/11/2008,6:28:00,27.84,N,61.525,W
7/11/2008,6:30:00,27.843,N,61.527,W
7/11/2008,6:31:59,27.846,N,61.529,W
7/11/2008,6:33:59,27.848,N,61.531,W
7/11/2008,6:35:59,27.851,N,61.532,W
7/11/2008,6:37:59,27.854,N,61.534,W
7/11/2008,6:39:59,27.857,N,61.536,W
7/11/2008,6:41:59,27.86,N,61.538,W
7/11/2008,6:43:59,27.863,N,61.54,W
7/11/2008,6:46:00,27.865,N,61.541,W
7/11/2008,6:48:00,27.868,N,61.543,W
7/11/2008,6:50:00,27.871,N,61.545,W
7/11/2008,6:52:00,27.874,N,61.547,W
7/11/2008,6:54:00,27.877,N,61.549,W
7/11/2008,6:56:00,27.88,N,61.55,W
7/11/2008,6:58:00,27.882,N,61.552,W
7/11/2008,7:00:00,27.885,N,61.554,W
7/11/2008,7:01:59,27.888,N,61.556,W
7/11/2008,7:03:59,27.891,N,61.557,W
7/11/2008,7:05:59,27.894,N,61.559,W
7/11/2008,7:07:59,27.897,N,61.561,W
7/11/2008,7:09:59,27.9,N,61.563,W
7/11/2008,7:11:59,27.902,N,61.565,W
7/11/2008,7:13:59,27.905,N,61.566,W
7/11/2008,7:16:00,27.908,N,61.568,W
7/11/2008,7:18:00,27.911,N,61.57,W
7/11/2008,7:20:00,27.914,N,61.572,W
7/11/2008,7:22:00,27.917,N,61.574,W
7/11/2008,7:24:00,27.919,N,61.575,W
7/11/2008,7:26:00,27.922,N,61.577,W
7/11/2008,7:28:00,27.925,N,61.579,W
7/11/2008,7:30:00,27.928,N,61.581,W
7/11/2008,7:31:59,27.931,N,61.582,W
7/11/2008,7:33:59,27.934,N,61.584,W
7/11/2008,7:35:59,27.936,N,61.586,W
7/11/2008,7:37:59,27.939,N,61.588,W
7/11/2008,7:39:59,27.942,N,61.589,W
7/11/2008,7:41:59,27.945,N,61.591,W
7/11/2008,7:43:59,27.948,N,61.593,W
7/11/2008,7:46:00,27.951,N,61.595,W
7/11/2008,7:48:00,27.953,N,61.597,W
7/11/2008,7:50:00,27.956,N,61.598,W
7/11/2008,7:52:00,27.959,N,61.6,W
7/11/2008,7:54:00,27.962,N,61.602,W
7/11/2008,7:56:00,27.965,N,61.604,W
7/11/2008,7:58:00,27.967,N,61.605,W
7/11/2008,8:00:00,27.97,N,61.607,W
7/11/2008,8:02:00,27.973,N,61.609,W
7/11/2008,8:03:59,27.976,N,61.611,W
7/11/2008,8:06:00,27.979,N,61.612,W
7/11/2008,8:07:59,27.982,N,61.614,W
7/11/2008,8:10:00,27.984,N,61.616,W
7/11/2008,8:11:59,27.987,N,61.618,W
7/11/2008,8:14:00,27.99,N,61.619,W
7/11/2008,8:15:59,27.993,N,61.621,W
7/11/2008,8:18:00,27.996,N,61.623,W
7/11/2008,8:19:59,27.999,N,61.625,W
7/11/2008,8:22:00,28.001,N,61.626,W
7/11/2008,8:23:59,28.004,N,61.628,W
7/11/2008,8:26:00,28.007,N,61.63,W
7/11/2008,8:27:59,28.01,N,61.632,W
7/11/2008,8:30:00,28.013,N,61.633,W
7/11/2008,8:32:00,28.015,N,61.635,W
7/11/2008,8:33:59,28.018,N,61.637,W
7/11/2008,8:36:00,28.021,N,61.638,W
7/11/2008,8:37:59,28.024,N,61.64,W
7/11/2008,8:40:00,28.027,N,61.642,W
7/11/2008,8:41:59,28.029,N,61.644,W
7/11/2008,8:44:00,28.032,N,61.645,W
7/11/2008,8:45:59,28.035,N,61.647,W
7/11/2008,8:48:00,28.038,N,61.649,W
7/11/2008,8:49:59,28.041,N,61.65,W
7/11/2008,8:52:00,28.043,N,61.652,W
7/11/2008,8:53:59,28.046,N,61.654,W
7/11/2008,8:56:00,28.049,N,61.656,W
7/11/2008,8:57:59,28.052,N,61.657,W
7/11/2008,9:00:00,28.055,N,61.659,W
7/11/2008,9:02:00,28.057,N,61.661,W
7/11/2008,9:03:59,28.06,N,61.662,W
7/11/2008,9:06:00,28.063,N,61.664,W
7/11/2008,9:07:59,28.066,N,61.666,W
