Track,for,Hanna,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/31/2008,5:54:00,23.093,N,68.479,W
8/31/2008,5:56:00,23.095,N,68.486,W
8/31/2008,5:58:00,23.098,N,68.493,W
8/31/2008,6:00:00,23.1,N,68.5,W
8/31/2008,6:01:59,23.102,N,68.507,W
8/31/2008,6:03:59,23.105,N,68.514,W
8/31/2008,6:05:59,23.107,N,68.521,W
8/31/2008,6:07:59,23.11,N,68.528,W
8/31/2008,6:09:59,23.112,N,68.535,W
8/31/2008,6:11:59,23.114,N,68.541,W
8/31/2008,6:13:59,23.117,N,68.548,W
8/31/2008,6:16:00,23.119,N,68.555,W
8/31/2008,6:18:00,23.122,N,68.562,W
8/31/2008,6:20:00,23.124,N,68.569,W
8/31/2008,6:22:00,23.127,N,68.576,W
8/31/2008,6:24:00,23.129,N,68.583,W
8/31/2008,6:26:00,23.131,N,68.59,W
8/31/2008,6:28:00,23.134,N,68.597,W
8/31/2008,6:30:00,23.136,N,68.604,W
8/31/2008,6:31:59,23.139,N,68.611,W
8/31/2008,6:33:59,23.141,N,68.618,W
8/31/2008,6:35:59,23.143,N,68.624,W
8/31/2008,6:37:59,23.146,N,68.631,W
8/31/2008,6:39:59,23.148,N,68.638,W
8/31/2008,6:41:59,23.151,N,68.645,W
8/31/2008,6:43:59,23.153,N,68.652,W
8/31/2008,6:46:00,23.155,N,68.659,W
8/31/2008,6:48:00,23.158,N,68.666,W
8/31/2008,6:50:00,23.16,N,68.673,W
8/31/2008,6:52:00,23.163,N,68.68,W
8/31/2008,6:54:00,23.165,N,68.687,W
8/31/2008,6:56:00,23.168,N,68.694,W
8/31/2008,6:58:00,23.17,N,68.701,W
8/31/2008,7:00:00,23.172,N,68.708,W
8/31/2008,7:01:59,23.175,N,68.715,W
8/31/2008,7:03:59,23.177,N,68.721,W
8/31/2008,7:05:59,23.18,N,68.728,W
8/31/2008,7:07:59,23.182,N,68.735,W
8/31/2008,7:09:59,23.184,N,68.742,W
8/31/2008,7:11:59,23.187,N,68.749,W
8/31/2008,7:13:59,23.189,N,68.756,W
8/31/2008,7:16:00,23.191,N,68.763,W
8/31/2008,7:18:00,23.194,N,68.77,W
8/31/2008,7:20:00,23.196,N,68.777,W
8/31/2008,7:22:00,23.199,N,68.784,W
8/31/2008,7:24:00,23.201,N,68.791,W
8/31/2008,7:26:00,23.203,N,68.798,W
8/31/2008,7:28:00,23.206,N,68.805,W
8/31/2008,7:30:00,23.208,N,68.812,W
8/31/2008,7:31:59,23.211,N,68.819,W
8/31/2008,7:33:59,23.213,N,68.826,W
8/31/2008,7:35:59,23.215,N,68.833,W
8/31/2008,7:37:59,23.218,N,68.84,W
8/31/2008,7:39:59,23.22,N,68.847,W
8/31/2008,7:41:59,23.222,N,68.854,W
8/31/2008,7:43:59,23.225,N,68.861,W
8/31/2008,7:46:00,23.227,N,68.868,W
8/31/2008,7:48:00,23.23,N,68.875,W
8/31/2008,7:50:00,23.232,N,68.882,W
8/31/2008,7:52:00,23.234,N,68.889,W
8/31/2008,7:54:00,23.237,N,68.896,W
8/31/2008,7:56:00,23.239,N,68.903,W
8/31/2008,7:58:00,23.241,N,68.91,W
8/31/2008,8:00:00,23.244,N,68.917,W
8/31/2008,8:02:00,23.246,N,68.924,W
8/31/2008,8:03:59,23.248,N,68.931,W
8/31/2008,8:06:00,23.251,N,68.938,W
8/31/2008,8:07:59,23.253,N,68.945,W
8/31/2008,8:10:00,23.255,N,68.952,W
8/31/2008,8:11:59,23.258,N,68.959,W
8/31/2008,8:14:00,23.26,N,68.966,W
8/31/2008,8:15:59,23.262,N,68.973,W
8/31/2008,8:18:00,23.265,N,68.98,W
8/31/2008,8:19:59,23.267,N,68.987,W
8/31/2008,8:22:00,23.269,N,68.994,W
8/31/2008,8:23:59,23.272,N,69.001,W
8/31/2008,8:26:00,23.274,N,69.008,W
8/31/2008,8:27:59,23.276,N,69.015,W
8/31/2008,8:30:00,23.279,N,69.022,W
8/31/2008,8:32:00,23.281,N,69.029,W
8/31/2008,8:33:59,23.283,N,69.037,W
8/31/2008,8:36:00,23.286,N,69.044,W
8/31/2008,8:37:59,23.288,N,69.051,W
8/31/2008,8:40:00,23.29,N,69.058,W
8/31/2008,8:41:59,23.293,N,69.065,W
8/31/2008,8:44:00,23.295,N,69.072,W
8/31/2008,8:45:59,23.297,N,69.079,W
8/31/2008,8:48:00,23.299,N,69.086,W
8/31/2008,8:49:59,23.302,N,69.093,W
8/31/2008,8:52:00,23.304,N,69.1,W
8/31/2008,8:53:59,23.306,N,69.108,W
8/31/2008,8:56:00,23.309,N,69.115,W
8/31/2008,8:57:59,23.311,N,69.122,W
8/31/2008,9:00:00,23.313,N,69.129,W
8/31/2008,9:02:00,23.315,N,69.136,W
8/31/2008,9:03:59,23.318,N,69.143,W
8/31/2008,9:06:00,23.32,N,69.15,W
8/31/2008,9:07:59,23.322,N,69.158,W
