Track,for,Marco,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/6/2008,5:54:00,18.595,N,92.683,W
10/6/2008,5:56:00,18.597,N,92.688,W
10/6/2008,5:58:00,18.598,N,92.694,W
10/6/2008,6:00:00,18.6,N,92.7,W
10/6/2008,6:01:59,18.602,N,92.706,W
10/6/2008,6:03:59,18.603,N,92.712,W
10/6/2008,6:05:59,18.605,N,92.717,W
10/6/2008,6:07:59,18.606,N,92.723,W
10/6/2008,6:09:59,18.608,N,92.729,W
10/6/2008,6:11:59,18.609,N,92.735,W
10/6/2008,6:13:59,18.611,N,92.741,W
10/6/2008,6:16:00,18.612,N,92.746,W
10/6/2008,6:18:00,18.614,N,92.752,W
10/6/2008,6:20:00,18.615,N,92.758,W
10/6/2008,6:22:00,18.617,N,92.764,W
10/6/2008,6:24:00,18.619,N,92.77,W
10/6/2008,6:26:00,18.62,N,92.776,W
10/6/2008,6:28:00,18.622,N,92.781,W
10/6/2008,6:30:00,18.623,N,92.787,W
10/6/2008,6:31:59,18.625,N,92.793,W
10/6/2008,6:33:59,18.626,N,92.799,W
10/6/2008,6:35:59,18.628,N,92.805,W
10/6/2008,6:37:59,18.629,N,92.81,W
10/6/2008,6:39:59,18.631,N,92.816,W
10/6/2008,6:41:59,18.633,N,92.822,W
10/6/2008,6:43:59,18.634,N,92.828,W
10/6/2008,6:46:00,18.636,N,92.834,W
10/6/2008,6:48:00,18.637,N,92.839,W
10/6/2008,6:50:00,18.639,N,92.845,W
10/6/2008,6:52:00,18.64,N,92.851,W
10/6/2008,6:54:00,18.642,N,92.857,W
10/6/2008,6:56:00,18.643,N,92.863,W
10/6/2008,6:58:00,18.645,N,92.868,W
10/6/2008,7:00:00,18.647,N,92.874,W
10/6/2008,7:01:59,18.648,N,92.88,W
10/6/2008,7:03:59,18.65,N,92.886,W
10/6/2008,7:05:59,18.651,N,92.891,W
10/6/2008,7:07:59,18.653,N,92.897,W
10/6/2008,7:09:59,18.654,N,92.903,W
10/6/2008,7:11:59,18.656,N,92.909,W
10/6/2008,7:13:59,18.657,N,92.915,W
10/6/2008,7:16:00,18.659,N,92.92,W
10/6/2008,7:18:00,18.661,N,92.926,W
10/6/2008,7:20:00,18.662,N,92.932,W
10/6/2008,7:22:00,18.664,N,92.938,W
10/6/2008,7:24:00,18.665,N,92.944,W
10/6/2008,7:26:00,18.667,N,92.949,W
10/6/2008,7:28:00,18.668,N,92.955,W
10/6/2008,7:30:00,18.67,N,92.961,W
10/6/2008,7:31:59,18.672,N,92.967,W
10/6/2008,7:33:59,18.673,N,92.972,W
10/6/2008,7:35:59,18.675,N,92.978,W
10/6/2008,7:37:59,18.676,N,92.984,W
10/6/2008,7:39:59,18.678,N,92.99,W
10/6/2008,7:41:59,18.679,N,92.995,W
10/6/2008,7:43:59,18.681,N,93.001,W
10/6/2008,7:46:00,18.683,N,93.007,W
10/6/2008,7:48:00,18.684,N,93.013,W
10/6/2008,7:50:00,18.686,N,93.018,W
10/6/2008,7:52:00,18.687,N,93.024,W
10/6/2008,7:54:00,18.689,N,93.03,W
10/6/2008,7:56:00,18.69,N,93.036,W
10/6/2008,7:58:00,18.692,N,93.041,W
10/6/2008,8:00:00,18.694,N,93.047,W
10/6/2008,8:02:00,18.695,N,93.053,W
10/6/2008,8:03:59,18.697,N,93.058,W
10/6/2008,8:06:00,18.698,N,93.064,W
10/6/2008,8:07:59,18.7,N,93.07,W
10/6/2008,8:10:00,18.702,N,93.076,W
10/6/2008,8:11:59,18.703,N,93.081,W
10/6/2008,8:14:00,18.705,N,93.087,W
10/6/2008,8:15:59,18.706,N,93.093,W
10/6/2008,8:18:00,18.708,N,93.098,W
10/6/2008,8:19:59,18.71,N,93.104,W
10/6/2008,8:22:00,18.711,N,93.11,W
10/6/2008,8:23:59,18.713,N,93.115,W
10/6/2008,8:26:00,18.714,N,93.121,W
10/6/2008,8:27:59,18.716,N,93.127,W
10/6/2008,8:30:00,18.718,N,93.133,W
10/6/2008,8:32:00,18.719,N,93.138,W
10/6/2008,8:33:59,18.721,N,93.144,W
10/6/2008,8:36:00,18.722,N,93.15,W
10/6/2008,8:37:59,18.724,N,93.155,W
10/6/2008,8:40:00,18.726,N,93.161,W
10/6/2008,8:41:59,18.727,N,93.167,W
10/6/2008,8:44:00,18.729,N,93.172,W
10/6/2008,8:45:59,18.731,N,93.178,W
10/6/2008,8:48:00,18.732,N,93.183,W
10/6/2008,8:49:59,18.734,N,93.189,W
10/6/2008,8:52:00,18.735,N,93.195,W
10/6/2008,8:53:59,18.737,N,93.2,W
10/6/2008,8:56:00,18.739,N,93.206,W
10/6/2008,8:57:59,18.74,N,93.212,W
10/6/2008,9:00:00,18.742,N,93.217,W
10/6/2008,9:02:00,18.744,N,93.223,W
10/6/2008,9:03:59,18.745,N,93.229,W
10/6/2008,9:06:00,18.747,N,93.234,W
10/6/2008,9:07:59,18.749,N,93.24,W
