Track,for,Paloma,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
11/5/2008,17:53:59,13.681,N,81.689,W
11/5/2008,17:55:59,13.687,N,81.692,W
11/5/2008,17:58:00,13.694,N,81.696,W
11/5/2008,18:00:00,13.7,N,81.7,W
11/5/2008,18:01:59,13.706,N,81.704,W
11/5/2008,18:04:00,13.713,N,81.708,W
11/5/2008,18:06:00,13.719,N,81.711,W
11/5/2008,18:07:59,13.725,N,81.715,W
11/5/2008,18:09:59,13.731,N,81.719,W
11/5/2008,18:12:00,13.738,N,81.723,W
11/5/2008,18:14:00,13.744,N,81.726,W
11/5/2008,18:15:59,13.75,N,81.73,W
11/5/2008,18:17:59,13.756,N,81.734,W
11/5/2008,18:20:00,13.762,N,81.738,W
11/5/2008,18:22:00,13.769,N,81.741,W
11/5/2008,18:23:59,13.775,N,81.745,W
11/5/2008,18:25:59,13.781,N,81.749,W
11/5/2008,18:28:00,13.787,N,81.752,W
11/5/2008,18:30:00,13.793,N,81.756,W
11/5/2008,18:31:59,13.799,N,81.759,W
11/5/2008,18:34:00,13.805,N,81.763,W
11/5/2008,18:36:00,13.811,N,81.766,W
11/5/2008,18:37:59,13.817,N,81.77,W
11/5/2008,18:39:59,13.823,N,81.773,W
11/5/2008,18:42:00,13.829,N,81.777,W
11/5/2008,18:44:00,13.835,N,81.78,W
11/5/2008,18:45:59,13.841,N,81.783,W
11/5/2008,18:47:59,13.847,N,81.787,W
11/5/2008,18:50:00,13.852,N,81.79,W
11/5/2008,18:52:00,13.858,N,81.793,W
11/5/2008,18:53:59,13.864,N,81.796,W
11/5/2008,18:55:59,13.869,N,81.799,W
11/5/2008,18:58:00,13.875,N,81.802,W
11/5/2008,19:00:00,13.88,N,81.805,W
11/5/2008,19:01:59,13.886,N,81.808,W
11/5/2008,19:04:00,13.891,N,81.811,W
11/5/2008,19:06:00,13.896,N,81.814,W
11/5/2008,19:07:59,13.902,N,81.816,W
11/5/2008,19:09:59,13.907,N,81.819,W
11/5/2008,19:12:00,13.912,N,81.821,W
11/5/2008,19:14:00,13.917,N,81.824,W
11/5/2008,19:15:59,13.922,N,81.826,W
11/5/2008,19:17:59,13.927,N,81.829,W
11/5/2008,19:20:00,13.932,N,81.831,W
11/5/2008,19:22:00,13.937,N,81.833,W
11/5/2008,19:23:59,13.941,N,81.835,W
11/5/2008,19:25:59,13.946,N,81.837,W
11/5/2008,19:28:00,13.951,N,81.839,W
11/5/2008,19:30:00,13.955,N,81.841,W
11/5/2008,19:31:59,13.96,N,81.843,W
11/5/2008,19:34:00,13.964,N,81.845,W
11/5/2008,19:36:00,13.968,N,81.846,W
11/5/2008,19:37:59,13.972,N,81.848,W
11/5/2008,19:39:59,13.976,N,81.849,W
11/5/2008,19:42:00,13.98,N,81.851,W
11/5/2008,19:44:00,13.984,N,81.852,W
11/5/2008,19:45:59,13.988,N,81.853,W
11/5/2008,19:47:59,13.992,N,81.854,W
11/5/2008,19:50:00,13.995,N,81.855,W
11/5/2008,19:52:00,13.999,N,81.856,W
11/5/2008,19:53:59,14.002,N,81.857,W
11/5/2008,19:55:59,14.005,N,81.857,W
11/5/2008,19:58:00,14.009,N,81.858,W
11/5/2008,20:00:00,14.012,N,81.858,W
11/5/2008,20:01:59,14.015,N,81.858,W
11/5/2008,20:04:00,14.018,N,81.858,W
11/5/2008,20:06:00,14.02,N,81.858,W
11/5/2008,20:07:59,14.023,N,81.858,W
11/5/2008,20:09:59,14.025,N,81.858,W
11/5/2008,20:12:00,14.028,N,81.858,W
11/5/2008,20:14:00,14.03,N,81.857,W
11/5/2008,20:15:59,14.032,N,81.857,W
11/5/2008,20:17:59,14.035,N,81.856,W
11/5/2008,20:20:00,14.037,N,81.855,W
11/5/2008,20:22:00,14.039,N,81.855,W
11/5/2008,20:23:59,14.04,N,81.854,W
11/5/2008,20:25:59,14.042,N,81.853,W
11/5/2008,20:28:00,14.044,N,81.852,W
11/5/2008,20:30:00,14.045,N,81.85,W
11/5/2008,20:31:59,14.047,N,81.849,W
11/5/2008,20:34:00,14.048,N,81.848,W
11/5/2008,20:36:00,14.05,N,81.846,W
11/5/2008,20:37:59,14.051,N,81.845,W
11/5/2008,20:39:59,14.052,N,81.843,W
11/5/2008,20:42:00,14.053,N,81.841,W
11/5/2008,20:44:00,14.054,N,81.839,W
11/5/2008,20:45:59,14.055,N,81.837,W
11/5/2008,20:47:59,14.056,N,81.836,W
11/5/2008,20:50:00,14.057,N,81.833,W
11/5/2008,20:52:00,14.058,N,81.831,W
11/5/2008,20:53:59,14.058,N,81.829,W
11/5/2008,20:55:59,14.059,N,81.827,W
11/5/2008,20:58:00,14.06,N,81.825,W
11/5/2008,21:00:00,14.06,N,81.822,W
11/5/2008,21:01:59,14.06,N,81.82,W
11/5/2008,21:04:00,14.061,N,81.817,W
11/5/2008,21:06:00,14.061,N,81.815,W
11/5/2008,21:07:59,14.061,N,81.812,W
