Track,for,TD16,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/14/2008,11:53:59,16.141,N,84.333,W
10/14/2008,11:56:00,16.144,N,84.334,W
10/14/2008,11:57:59,16.147,N,84.334,W
10/14/2008,12:00:00,16.15,N,84.334,W
10/14/2008,12:02:00,16.153,N,84.334,W
10/14/2008,12:03:59,16.156,N,84.334,W
10/14/2008,12:06:00,16.159,N,84.335,W
10/14/2008,12:07:59,16.162,N,84.335,W
10/14/2008,12:10:00,16.164,N,84.335,W
10/14/2008,12:11:59,16.167,N,84.335,W
10/14/2008,12:14:00,16.17,N,84.335,W
10/14/2008,12:15:59,16.173,N,84.335,W
10/14/2008,12:18:00,16.176,N,84.336,W
10/14/2008,12:19:59,16.179,N,84.336,W
10/14/2008,12:22:00,16.182,N,84.336,W
10/14/2008,12:23:59,16.184,N,84.336,W
10/14/2008,12:26:00,16.187,N,84.336,W
10/14/2008,12:27:59,16.19,N,84.336,W
10/14/2008,12:30:00,16.193,N,84.337,W
10/14/2008,12:32:00,16.196,N,84.337,W
10/14/2008,12:33:59,16.199,N,84.337,W
10/14/2008,12:36:00,16.201,N,84.337,W
10/14/2008,12:37:59,16.204,N,84.337,W
10/14/2008,12:40:00,16.207,N,84.338,W
10/14/2008,12:41:59,16.21,N,84.338,W
10/14/2008,12:44:00,16.213,N,84.338,W
10/14/2008,12:45:59,16.215,N,84.338,W
10/14/2008,12:48:00,16.218,N,84.338,W
10/14/2008,12:49:59,16.221,N,84.338,W
10/14/2008,12:52:00,16.224,N,84.339,W
10/14/2008,12:53:59,16.226,N,84.339,W
10/14/2008,12:56:00,16.229,N,84.339,W
10/14/2008,12:57:59,16.232,N,84.339,W
10/14/2008,13:00:00,16.234,N,84.339,W
10/14/2008,13:02:00,16.237,N,84.339,W
10/14/2008,13:03:59,16.24,N,84.34,W
10/14/2008,13:06:00,16.242,N,84.34,W
10/14/2008,13:07:59,16.245,N,84.34,W
10/14/2008,13:10:00,16.247,N,84.34,W
10/14/2008,13:11:59,16.25,N,84.34,W
10/14/2008,13:14:00,16.253,N,84.34,W
10/14/2008,13:15:59,16.255,N,84.341,W
10/14/2008,13:18:00,16.258,N,84.341,W
10/14/2008,13:19:59,16.26,N,84.341,W
10/14/2008,13:22:00,16.263,N,84.341,W
10/14/2008,13:23:59,16.265,N,84.341,W
10/14/2008,13:26:00,16.268,N,84.341,W
10/14/2008,13:27:59,16.27,N,84.341,W
10/14/2008,13:30:00,16.272,N,84.342,W
10/14/2008,13:32:00,16.275,N,84.342,W
10/14/2008,13:33:59,16.277,N,84.342,W
10/14/2008,13:36:00,16.279,N,84.342,W
10/14/2008,13:37:59,16.282,N,84.342,W
10/14/2008,13:40:00,16.284,N,84.342,W
10/14/2008,13:41:59,16.286,N,84.342,W
10/14/2008,13:44:00,16.289,N,84.343,W
10/14/2008,13:45:59,16.291,N,84.343,W
10/14/2008,13:48:00,16.293,N,84.343,W
10/14/2008,13:49:59,16.295,N,84.343,W
10/14/2008,13:52:00,16.297,N,84.343,W
10/14/2008,13:53:59,16.299,N,84.343,W
10/14/2008,13:56:00,16.301,N,84.343,W
10/14/2008,13:57:59,16.303,N,84.344,W
10/14/2008,14:00:00,16.305,N,84.344,W
10/14/2008,14:02:00,16.307,N,84.344,W
10/14/2008,14:03:59,16.309,N,84.344,W
10/14/2008,14:06:00,16.311,N,84.344,W
10/14/2008,14:07:59,16.313,N,84.344,W
10/14/2008,14:10:00,16.315,N,84.344,W
10/14/2008,14:11:59,16.317,N,84.344,W
10/14/2008,14:14:00,16.319,N,84.344,W
10/14/2008,14:15:59,16.321,N,84.345,W
10/14/2008,14:18:00,16.322,N,84.345,W
10/14/2008,14:19:59,16.324,N,84.345,W
10/14/2008,14:22:00,16.326,N,84.345,W
10/14/2008,14:23:59,16.327,N,84.345,W
10/14/2008,14:26:00,16.329,N,84.345,W
10/14/2008,14:27:59,16.33,N,84.345,W
10/14/2008,14:30:00,16.332,N,84.345,W
10/14/2008,14:32:00,16.333,N,84.345,W
10/14/2008,14:33:59,16.335,N,84.345,W
10/14/2008,14:36:00,16.336,N,84.346,W
10/14/2008,14:37:59,16.338,N,84.346,W
10/14/2008,14:40:00,16.339,N,84.346,W
10/14/2008,14:41:59,16.34,N,84.346,W
10/14/2008,14:44:00,16.342,N,84.346,W
10/14/2008,14:45:59,16.343,N,84.346,W
10/14/2008,14:48:00,16.344,N,84.346,W
10/14/2008,14:49:59,16.345,N,84.346,W
10/14/2008,14:52:00,16.346,N,84.346,W
10/14/2008,14:53:59,16.347,N,84.346,W
10/14/2008,14:56:00,16.348,N,84.346,W
10/14/2008,14:57:59,16.349,N,84.346,W
10/14/2008,15:00:00,16.35,N,84.346,W
10/14/2008,15:02:00,16.351,N,84.346,W
10/14/2008,15:03:59,16.352,N,84.346,W
10/14/2008,15:06:00,16.353,N,84.347,W
10/14/2008,15:07:59,16.354,N,84.347,W
