Track,for,Claudette,2009,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/16/2009,11:53:59,28.081,N,84.084,W
8/16/2009,11:56:00,28.087,N,84.089,W
8/16/2009,11:57:59,28.094,N,84.095,W
8/16/2009,12:00:00,28.1,N,84.1,W
8/16/2009,12:02:00,28.107,N,84.105,W
8/16/2009,12:03:59,28.113,N,84.111,W
8/16/2009,12:06:00,28.12,N,84.116,W
8/16/2009,12:07:59,28.126,N,84.121,W
8/16/2009,12:10:00,28.133,N,84.127,W
8/16/2009,12:11:59,28.139,N,84.132,W
8/16/2009,12:14:00,28.146,N,84.138,W
8/16/2009,12:15:59,28.152,N,84.143,W
8/16/2009,12:18:00,28.159,N,84.148,W
8/16/2009,12:19:59,28.165,N,84.154,W
8/16/2009,12:22:00,28.172,N,84.159,W
8/16/2009,12:23:59,28.178,N,84.164,W
8/16/2009,12:26:00,28.185,N,84.17,W
8/16/2009,12:27:59,28.191,N,84.175,W
8/16/2009,12:30:00,28.198,N,84.18,W
8/16/2009,12:32:00,28.204,N,84.186,W
8/16/2009,12:33:59,28.211,N,84.191,W
8/16/2009,12:36:00,28.217,N,84.197,W
8/16/2009,12:37:59,28.224,N,84.202,W
8/16/2009,12:40:00,28.23,N,84.207,W
8/16/2009,12:41:59,28.237,N,84.213,W
8/16/2009,12:44:00,28.243,N,84.218,W
8/16/2009,12:45:59,28.25,N,84.224,W
8/16/2009,12:48:00,28.256,N,84.229,W
8/16/2009,12:49:59,28.263,N,84.234,W
8/16/2009,12:52:00,28.269,N,84.24,W
8/16/2009,12:53:59,28.276,N,84.245,W
8/16/2009,12:56:00,28.282,N,84.251,W
8/16/2009,12:57:59,28.289,N,84.256,W
8/16/2009,13:00:00,28.296,N,84.261,W
8/16/2009,13:02:00,28.302,N,84.267,W
8/16/2009,13:03:59,28.309,N,84.272,W
8/16/2009,13:06:00,28.315,N,84.278,W
8/16/2009,13:07:59,28.322,N,84.283,W
8/16/2009,13:10:00,28.328,N,84.289,W
8/16/2009,13:11:59,28.335,N,84.294,W
8/16/2009,13:14:00,28.342,N,84.3,W
8/16/2009,13:15:59,28.348,N,84.305,W
8/16/2009,13:18:00,28.355,N,84.31,W
8/16/2009,13:19:59,28.361,N,84.316,W
8/16/2009,13:22:00,28.368,N,84.321,W
8/16/2009,13:23:59,28.375,N,84.327,W
8/16/2009,13:26:00,28.381,N,84.332,W
8/16/2009,13:27:59,28.388,N,84.338,W
8/16/2009,13:30:00,28.394,N,84.343,W
8/16/2009,13:32:00,28.401,N,84.349,W
8/16/2009,13:33:59,28.408,N,84.354,W
8/16/2009,13:36:00,28.414,N,84.36,W
8/16/2009,13:37:59,28.421,N,84.366,W
8/16/2009,13:40:00,28.428,N,84.371,W
8/16/2009,13:41:59,28.434,N,84.377,W
8/16/2009,13:44:00,28.441,N,84.382,W
8/16/2009,13:45:59,28.448,N,84.388,W
8/16/2009,13:48:00,28.454,N,84.393,W
8/16/2009,13:49:59,28.461,N,84.399,W
8/16/2009,13:52:00,28.468,N,84.404,W
8/16/2009,13:53:59,28.474,N,84.41,W
8/16/2009,13:56:00,28.481,N,84.416,W
8/16/2009,13:57:59,28.488,N,84.421,W
8/16/2009,14:00:00,28.494,N,84.427,W
8/16/2009,14:02:00,28.501,N,84.432,W
8/16/2009,14:03:59,28.508,N,84.438,W
8/16/2009,14:06:00,28.515,N,84.444,W
8/16/2009,14:07:59,28.521,N,84.449,W
8/16/2009,14:10:00,28.528,N,84.455,W
8/16/2009,14:11:59,28.535,N,84.461,W
8/16/2009,14:14:00,28.542,N,84.466,W
8/16/2009,14:15:59,28.548,N,84.472,W
8/16/2009,14:18:00,28.555,N,84.478,W
8/16/2009,14:19:59,28.562,N,84.483,W
8/16/2009,14:22:00,28.569,N,84.489,W
8/16/2009,14:23:59,28.576,N,84.495,W
8/16/2009,14:26:00,28.583,N,84.501,W
8/16/2009,14:27:59,28.589,N,84.506,W
8/16/2009,14:30:00,28.596,N,84.512,W
8/16/2009,14:32:00,28.603,N,84.518,W
8/16/2009,14:33:59,28.61,N,84.524,W
8/16/2009,14:36:00,28.617,N,84.53,W
8/16/2009,14:37:59,28.624,N,84.535,W
8/16/2009,14:40:00,28.631,N,84.541,W
8/16/2009,14:41:59,28.637,N,84.547,W
8/16/2009,14:44:00,28.644,N,84.553,W
8/16/2009,14:45:59,28.651,N,84.559,W
8/16/2009,14:48:00,28.658,N,84.565,W
8/16/2009,14:49:59,28.665,N,84.57,W
8/16/2009,14:52:00,28.672,N,84.576,W
8/16/2009,14:53:59,28.679,N,84.582,W
8/16/2009,14:56:00,28.686,N,84.588,W
8/16/2009,14:57:59,28.693,N,84.594,W
8/16/2009,15:00:00,28.7,N,84.6,W
8/16/2009,15:02:00,28.707,N,84.606,W
8/16/2009,15:03:59,28.714,N,84.612,W
8/16/2009,15:06:00,28.721,N,84.618,W
8/16/2009,15:07:59,28.728,N,84.624,W
