Track,for,Erika,2009,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/1/2009,17:41:46,16.841,N,57.118,W
9/1/2009,17:43:47,16.849,N,57.119,W
9/1/2009,17:45:47,16.856,N,57.12,W
9/1/2009,17:47:46,16.864,N,57.121,W
9/1/2009,17:49:46,16.872,N,57.122,W
9/1/2009,17:51:47,16.879,N,57.123,W
9/1/2009,17:53:47,16.887,N,57.124,W
9/1/2009,17:55:46,16.894,N,57.125,W
9/1/2009,17:57:46,16.901,N,57.126,W
9/1/2009,17:59:47,16.909,N,57.126,W
9/1/2009,18:01:46,16.916,N,57.127,W
9/1/2009,18:03:46,16.924,N,57.128,W
9/1/2009,18:05:47,16.931,N,57.129,W
9/1/2009,18:07:47,16.938,N,57.13,W
9/1/2009,18:09:46,16.945,N,57.131,W
9/1/2009,18:11:46,16.952,N,57.132,W
9/1/2009,18:13:47,16.959,N,57.133,W
9/1/2009,18:15:47,16.966,N,57.134,W
9/1/2009,18:17:46,16.973,N,57.135,W
9/1/2009,18:19:46,16.979,N,57.136,W
9/1/2009,18:21:47,16.986,N,57.137,W
9/1/2009,18:23:47,16.992,N,57.138,W
9/1/2009,18:25:46,16.998,N,57.139,W
9/1/2009,18:27:46,17.004,N,57.14,W
9/1/2009,18:29:47,17.01,N,57.141,W
9/1/2009,18:31:46,17.016,N,57.142,W
9/1/2009,18:33:46,17.022,N,57.143,W
9/1/2009,18:35:47,17.027,N,57.144,W
9/1/2009,18:37:47,17.032,N,57.145,W
9/1/2009,18:39:46,17.037,N,57.146,W
9/1/2009,18:41:46,17.042,N,57.147,W
9/1/2009,18:43:47,17.047,N,57.148,W
9/1/2009,18:45:47,17.051,N,57.149,W
9/1/2009,18:47:46,17.055,N,57.15,W
9/1/2009,18:49:46,17.059,N,57.151,W
9/1/2009,18:51:47,17.063,N,57.152,W
9/1/2009,18:53:47,17.066,N,57.153,W
9/1/2009,18:55:46,17.07,N,57.155,W
9/1/2009,18:57:46,17.073,N,57.156,W
9/1/2009,18:59:47,17.075,N,57.157,W
9/1/2009,19:01:46,17.078,N,57.158,W
9/1/2009,19:03:46,17.08,N,57.159,W
9/1/2009,19:05:47,17.082,N,57.161,W
9/1/2009,19:07:47,17.083,N,57.162,W
9/1/2009,19:09:46,17.085,N,57.163,W
9/1/2009,19:11:46,17.086,N,57.164,W
9/1/2009,19:13:47,17.086,N,57.166,W
9/1/2009,19:15:47,17.086,N,57.167,W
9/1/2009,19:17:46,17.086,N,57.168,W
9/1/2009,19:19:46,17.086,N,57.169,W
9/1/2009,19:21:47,17.085,N,57.171,W
9/1/2009,19:23:47,17.084,N,57.172,W
9/1/2009,19:25:46,17.083,N,57.174,W
9/1/2009,19:27:46,17.081,N,57.175,W
9/1/2009,19:29:47,17.079,N,57.176,W
9/1/2009,19:31:46,17.076,N,57.178,W
9/1/2009,19:33:46,17.073,N,57.179,W
9/1/2009,19:35:47,17.069,N,57.181,W
9/1/2009,19:37:47,17.066,N,57.182,W
9/1/2009,19:39:46,17.061,N,57.184,W
9/1/2009,19:41:46,17.057,N,57.186,W
9/1/2009,19:43:47,17.052,N,57.187,W
9/1/2009,19:45:47,17.046,N,57.189,W
9/1/2009,19:47:46,17.041,N,57.19,W
9/1/2009,19:48:37,17.038,N,57.191,W
9/1/2009,19:50:36,17.038,N,57.192,W
9/1/2009,19:52:36,17.038,N,57.193,W
9/1/2009,19:54:37,17.039,N,57.194,W
9/1/2009,19:56:37,17.039,N,57.194,W
9/1/2009,19:58:36,17.04,N,57.195,W
9/1/2009,20:00:37,17.041,N,57.196,W
9/1/2009,20:02:37,17.042,N,57.196,W
9/1/2009,20:04:36,17.043,N,57.197,W
9/1/2009,20:06:36,17.044,N,57.197,W
9/1/2009,20:08:37,17.046,N,57.197,W
9/1/2009,20:10:37,17.047,N,57.198,W
9/1/2009,20:12:36,17.049,N,57.198,W
9/1/2009,20:14:36,17.051,N,57.198,W
9/1/2009,20:16:37,17.053,N,57.198,W
9/1/2009,20:18:37,17.056,N,57.198,W
9/1/2009,20:20:36,17.058,N,57.198,W
9/1/2009,20:22:36,17.061,N,57.198,W
9/1/2009,20:24:37,17.064,N,57.198,W
9/1/2009,20:26:37,17.067,N,57.197,W
9/1/2009,20:28:36,17.071,N,57.197,W
9/1/2009,20:30:37,17.074,N,57.196,W
9/1/2009,20:32:37,17.078,N,57.196,W
9/1/2009,20:34:36,17.082,N,57.195,W
9/1/2009,20:36:36,17.086,N,57.195,W
9/1/2009,20:38:37,17.09,N,57.194,W
9/1/2009,20:40:37,17.095,N,57.193,W
9/1/2009,20:42:36,17.099,N,57.192,W
9/1/2009,20:44:36,17.104,N,57.191,W
9/1/2009,20:46:37,17.109,N,57.19,W
9/1/2009,20:48:37,17.114,N,57.189,W
9/1/2009,20:50:36,17.119,N,57.188,W
9/1/2009,20:52:36,17.124,N,57.187,W
9/1/2009,20:54:37,17.129,N,57.185,W
