Track,for,Gaston,2010,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/6/2010,14:38:59,17.099,N,56.977,W
9/6/2010,14:41:00,17.099,N,56.985,W
9/6/2010,14:42:59,17.1,N,56.992,W
9/6/2010,14:45:00,17.1,N,57,W
9/6/2010,14:47:00,17.1,N,57.008,W
9/6/2010,14:48:59,17.101,N,57.015,W
9/6/2010,14:51:00,17.101,N,57.023,W
9/6/2010,14:52:59,17.102,N,57.03,W
9/6/2010,14:55:00,17.102,N,57.038,W
9/6/2010,14:56:59,17.103,N,57.045,W
9/6/2010,14:59:00,17.103,N,57.053,W
9/6/2010,15:00:59,17.104,N,57.06,W
9/6/2010,15:03:00,17.104,N,57.068,W
9/6/2010,15:04:59,17.105,N,57.076,W
9/6/2010,15:07:00,17.105,N,57.083,W
9/6/2010,15:08:59,17.106,N,57.091,W
9/6/2010,15:11:00,17.106,N,57.098,W
9/6/2010,15:12:59,17.107,N,57.106,W
9/6/2010,15:15:00,17.107,N,57.113,W
9/6/2010,15:17:00,17.107,N,57.121,W
9/6/2010,15:18:59,17.108,N,57.128,W
9/6/2010,15:21:00,17.108,N,57.136,W
9/6/2010,15:22:59,17.109,N,57.143,W
9/6/2010,15:25:00,17.109,N,57.151,W
9/6/2010,15:26:59,17.109,N,57.158,W
9/6/2010,15:29:00,17.11,N,57.166,W
9/6/2010,15:30:59,17.11,N,57.174,W
9/6/2010,15:33:00,17.11,N,57.181,W
9/6/2010,15:34:59,17.111,N,57.189,W
9/6/2010,15:37:00,17.111,N,57.196,W
9/6/2010,15:38:59,17.111,N,57.204,W
9/6/2010,15:41:00,17.112,N,57.211,W
9/6/2010,15:42:59,17.112,N,57.219,W
9/6/2010,15:45:00,17.112,N,57.226,W
9/6/2010,15:47:00,17.112,N,57.234,W
9/6/2010,15:48:59,17.112,N,57.241,W
9/6/2010,15:51:00,17.113,N,57.249,W
9/6/2010,15:52:59,17.113,N,57.256,W
9/6/2010,15:55:00,17.113,N,57.264,W
9/6/2010,15:56:59,17.113,N,57.271,W
9/6/2010,15:59:00,17.113,N,57.279,W
9/6/2010,16:00:59,17.113,N,57.286,W
9/6/2010,16:02:59,17.113,N,57.294,W
9/6/2010,16:05:00,17.113,N,57.301,W
9/6/2010,16:07:00,17.113,N,57.309,W
9/6/2010,16:08:59,17.113,N,57.316,W
9/6/2010,16:10:59,17.113,N,57.323,W
9/6/2010,16:13:00,17.113,N,57.331,W
9/6/2010,16:15:00,17.113,N,57.338,W
9/6/2010,16:16:59,17.113,N,57.346,W
9/6/2010,16:19:00,17.113,N,57.353,W
9/6/2010,16:21:00,17.113,N,57.361,W
9/6/2010,16:22:59,17.112,N,57.368,W
9/6/2010,16:24:59,17.112,N,57.376,W
9/6/2010,16:27:00,17.112,N,57.383,W
9/6/2010,16:29:00,17.112,N,57.39,W
9/6/2010,16:30:59,17.111,N,57.398,W
9/6/2010,16:32:59,17.111,N,57.405,W
9/6/2010,16:35:00,17.11,N,57.413,W
9/6/2010,16:37:00,17.11,N,57.42,W
9/6/2010,16:38:59,17.11,N,57.427,W
9/6/2010,16:40:59,17.109,N,57.435,W
9/6/2010,16:43:00,17.109,N,57.442,W
9/6/2010,16:45:00,17.108,N,57.45,W
9/6/2010,16:46:59,17.107,N,57.457,W
9/6/2010,16:49:00,17.107,N,57.464,W
9/6/2010,16:51:00,17.106,N,57.472,W
9/6/2010,16:52:59,17.105,N,57.479,W
9/6/2010,16:54:59,17.105,N,57.486,W
9/6/2010,16:57:00,17.104,N,57.494,W
9/6/2010,16:59:00,17.103,N,57.501,W
9/6/2010,17:00:59,17.102,N,57.508,W
9/6/2010,17:02:59,17.101,N,57.516,W
9/6/2010,17:05:00,17.1,N,57.523,W
9/6/2010,17:07:00,17.099,N,57.53,W
9/6/2010,17:08:59,17.098,N,57.538,W
9/6/2010,17:10:59,17.097,N,57.545,W
9/6/2010,17:13:00,17.096,N,57.552,W
9/6/2010,17:15:00,17.095,N,57.56,W
9/6/2010,17:16:59,17.094,N,57.567,W
9/6/2010,17:19:00,17.092,N,57.574,W
9/6/2010,17:21:00,17.091,N,57.581,W
9/6/2010,17:22:59,17.09,N,57.589,W
9/6/2010,17:24:59,17.088,N,57.596,W
9/6/2010,17:27:00,17.087,N,57.603,W
9/6/2010,17:29:00,17.085,N,57.61,W
9/6/2010,17:30:59,17.084,N,57.617,W
9/6/2010,17:32:59,17.082,N,57.625,W
9/6/2010,17:35:00,17.081,N,57.632,W
9/6/2010,17:37:00,17.079,N,57.639,W
9/6/2010,17:38:59,17.077,N,57.646,W
9/6/2010,17:40:59,17.075,N,57.653,W
9/6/2010,17:43:00,17.074,N,57.661,W
9/6/2010,17:45:00,17.072,N,57.668,W
9/6/2010,17:46:59,17.07,N,57.675,W
9/6/2010,17:49:00,17.068,N,57.682,W
9/6/2010,17:51:00,17.066,N,57.689,W
9/6/2010,17:52:59,17.063,N,57.696,W
