Track,for,Igor,2010,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/16/2010,11:53:59,20.787,N,57.089,W
9/16/2010,11:56:00,20.792,N,57.093,W
9/16/2010,11:57:59,20.796,N,57.096,W
9/16/2010,12:00:00,20.8,N,57.1,W
9/16/2010,12:02:00,20.804,N,57.104,W
9/16/2010,12:03:59,20.808,N,57.107,W
9/16/2010,12:06:00,20.813,N,57.111,W
9/16/2010,12:07:59,20.817,N,57.115,W
9/16/2010,12:10:00,20.821,N,57.119,W
9/16/2010,12:11:59,20.825,N,57.122,W
9/16/2010,12:14:00,20.829,N,57.126,W
9/16/2010,12:15:59,20.834,N,57.13,W
9/16/2010,12:18:00,20.838,N,57.134,W
9/16/2010,12:19:59,20.842,N,57.137,W
9/16/2010,12:22:00,20.846,N,57.141,W
9/16/2010,12:23:59,20.85,N,57.145,W
9/16/2010,12:26:00,20.855,N,57.149,W
9/16/2010,12:27:59,20.859,N,57.152,W
9/16/2010,12:30:00,20.863,N,57.156,W
9/16/2010,12:32:00,20.867,N,57.16,W
9/16/2010,12:33:59,20.871,N,57.164,W
9/16/2010,12:36:00,20.876,N,57.167,W
9/16/2010,12:37:59,20.88,N,57.171,W
9/16/2010,12:40:00,20.884,N,57.175,W
9/16/2010,12:41:59,20.888,N,57.179,W
9/16/2010,12:44:00,20.892,N,57.182,W
9/16/2010,12:45:59,20.896,N,57.186,W
9/16/2010,12:48:00,20.901,N,57.19,W
9/16/2010,12:49:59,20.905,N,57.193,W
9/16/2010,12:52:00,20.909,N,57.197,W
9/16/2010,12:53:59,20.913,N,57.201,W
9/16/2010,12:56:00,20.917,N,57.205,W
9/16/2010,12:57:59,20.921,N,57.208,W
9/16/2010,13:00:00,20.926,N,57.212,W
9/16/2010,13:02:00,20.93,N,57.216,W
9/16/2010,13:03:59,20.934,N,57.22,W
9/16/2010,13:06:00,20.938,N,57.223,W
9/16/2010,13:07:59,20.942,N,57.227,W
9/16/2010,13:10:00,20.946,N,57.231,W
9/16/2010,13:11:59,20.95,N,57.235,W
9/16/2010,13:14:00,20.954,N,57.238,W
9/16/2010,13:15:59,20.959,N,57.242,W
9/16/2010,13:18:00,20.963,N,57.246,W
9/16/2010,13:19:59,20.967,N,57.25,W
9/16/2010,13:22:00,20.971,N,57.253,W
9/16/2010,13:23:59,20.975,N,57.257,W
9/16/2010,13:26:00,20.979,N,57.261,W
9/16/2010,13:27:59,20.983,N,57.265,W
9/16/2010,13:30:00,20.987,N,57.268,W
9/16/2010,13:32:00,20.991,N,57.272,W
9/16/2010,13:33:59,20.995,N,57.276,W
9/16/2010,13:36:00,20.999,N,57.28,W
9/16/2010,13:37:59,21.003,N,57.283,W
9/16/2010,13:40:00,21.007,N,57.287,W
9/16/2010,13:41:59,21.011,N,57.291,W
9/16/2010,13:44:00,21.015,N,57.295,W
9/16/2010,13:45:59,21.019,N,57.298,W
9/16/2010,13:48:00,21.023,N,57.302,W
9/16/2010,13:49:59,21.027,N,57.306,W
9/16/2010,13:52:00,21.031,N,57.309,W
9/16/2010,13:53:59,21.035,N,57.313,W
9/16/2010,13:56:00,21.039,N,57.317,W
9/16/2010,13:57:59,21.043,N,57.321,W
9/16/2010,14:00:00,21.047,N,57.324,W
9/16/2010,14:02:00,21.051,N,57.328,W
9/16/2010,14:03:59,21.055,N,57.332,W
9/16/2010,14:06:00,21.059,N,57.336,W
9/16/2010,14:07:59,21.063,N,57.339,W
9/16/2010,14:10:00,21.067,N,57.343,W
9/16/2010,14:11:59,21.071,N,57.347,W
9/16/2010,14:14:00,21.075,N,57.351,W
9/16/2010,14:15:59,21.079,N,57.354,W
9/16/2010,14:18:00,21.082,N,57.358,W
9/16/2010,14:19:59,21.086,N,57.362,W
9/16/2010,14:22:00,21.09,N,57.366,W
9/16/2010,14:23:59,21.094,N,57.369,W
9/16/2010,14:26:00,21.098,N,57.373,W
9/16/2010,14:27:59,21.102,N,57.377,W
9/16/2010,14:30:00,21.105,N,57.381,W
9/16/2010,14:32:00,21.109,N,57.384,W
9/16/2010,14:33:59,21.113,N,57.388,W
9/16/2010,14:36:00,21.117,N,57.392,W
9/16/2010,14:37:59,21.121,N,57.396,W
9/16/2010,14:40:00,21.124,N,57.399,W
9/16/2010,14:41:59,21.128,N,57.403,W
9/16/2010,14:44:00,21.132,N,57.407,W
9/16/2010,14:45:59,21.135,N,57.411,W
9/16/2010,14:48:00,21.139,N,57.414,W
9/16/2010,14:49:59,21.143,N,57.418,W
9/16/2010,14:52:00,21.147,N,57.422,W
9/16/2010,14:53:59,21.15,N,57.426,W
9/16/2010,14:56:00,21.154,N,57.429,W
9/16/2010,14:57:59,21.158,N,57.433,W
9/16/2010,15:00:00,21.161,N,57.437,W
9/16/2010,15:02:00,21.165,N,57.441,W
9/16/2010,15:03:59,21.168,N,57.444,W
9/16/2010,15:06:00,21.172,N,57.448,W
9/16/2010,15:07:59,21.176,N,57.452,W
