Track,for,Karl,2010,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/12/2010,17:53:59,15.5,N,73.015,W
9/12/2010,17:55:59,15.5,N,73.015,W
9/12/2010,17:58:00,15.5,N,73.014,W
9/12/2010,18:00:00,15.5,N,73.014,W
9/12/2010,18:01:59,15.5,N,73.014,W
9/12/2010,18:04:00,15.5,N,73.013,W
9/12/2010,18:06:00,15.5,N,73.013,W
9/12/2010,18:07:59,15.5,N,73.013,W
9/12/2010,18:09:59,15.5,N,73.012,W
9/12/2010,18:12:00,15.501,N,73.012,W
9/12/2010,18:14:00,15.501,N,73.012,W
9/12/2010,18:15:59,15.501,N,73.011,W
9/12/2010,18:17:59,15.501,N,73.011,W
9/12/2010,18:20:00,15.501,N,73.011,W
9/12/2010,18:22:00,15.501,N,73.011,W
9/12/2010,18:23:59,15.501,N,73.01,W
9/12/2010,18:25:59,15.501,N,73.01,W
9/12/2010,18:28:00,15.501,N,73.01,W
9/12/2010,18:30:00,15.501,N,73.009,W
9/12/2010,18:31:59,15.501,N,73.009,W
9/12/2010,18:34:00,15.501,N,73.009,W
9/12/2010,18:36:00,15.501,N,73.009,W
9/12/2010,18:37:59,15.502,N,73.008,W
9/12/2010,18:39:59,15.502,N,73.008,W
9/12/2010,18:42:00,15.502,N,73.008,W
9/12/2010,18:44:00,15.502,N,73.008,W
9/12/2010,18:45:59,15.502,N,73.008,W
9/12/2010,18:47:59,15.502,N,73.007,W
9/12/2010,18:50:00,15.502,N,73.007,W
9/12/2010,18:52:00,15.502,N,73.007,W
9/12/2010,18:53:59,15.502,N,73.007,W
9/12/2010,18:55:59,15.502,N,73.007,W
9/12/2010,18:58:00,15.502,N,73.007,W
9/12/2010,19:00:00,15.502,N,73.007,W
9/12/2010,19:01:59,15.502,N,73.007,W
9/12/2010,19:04:00,15.502,N,73.007,W
9/12/2010,19:06:00,15.502,N,73.007,W
9/12/2010,19:07:59,15.503,N,73.007,W
9/12/2010,19:09:59,15.503,N,73.007,W
9/12/2010,19:12:00,15.503,N,73.007,W
9/12/2010,19:14:00,15.503,N,73.007,W
9/12/2010,19:15:59,15.503,N,73.007,W
9/12/2010,19:17:59,15.503,N,73.007,W
9/12/2010,19:20:00,15.503,N,73.007,W
9/12/2010,19:22:00,15.503,N,73.007,W
9/12/2010,19:23:59,15.503,N,73.007,W
9/12/2010,19:25:59,15.503,N,73.008,W
9/12/2010,19:28:00,15.503,N,73.008,W
9/12/2010,19:30:00,15.503,N,73.008,W
9/12/2010,19:31:59,15.503,N,73.008,W
9/12/2010,19:34:00,15.503,N,73.009,W
9/12/2010,19:36:00,15.503,N,73.009,W
9/12/2010,19:37:59,15.503,N,73.009,W
9/12/2010,19:39:59,15.503,N,73.01,W
9/12/2010,19:42:00,15.503,N,73.01,W
9/12/2010,19:44:00,15.503,N,73.011,W
9/12/2010,19:45:59,15.503,N,73.011,W
9/12/2010,19:47:59,15.503,N,73.012,W
9/12/2010,19:50:00,15.503,N,73.012,W
9/12/2010,19:52:00,15.503,N,73.013,W
9/12/2010,19:53:59,15.503,N,73.013,W
9/12/2010,19:55:59,15.503,N,73.014,W
9/12/2010,19:58:00,15.503,N,73.014,W
9/12/2010,20:00:00,15.503,N,73.015,W
9/12/2010,20:01:59,15.503,N,73.016,W
9/12/2010,20:04:00,15.503,N,73.017,W
9/12/2010,20:06:00,15.503,N,73.017,W
9/12/2010,20:07:59,15.503,N,73.018,W
9/12/2010,20:09:59,15.503,N,73.019,W
9/12/2010,20:12:00,15.503,N,73.02,W
9/12/2010,20:14:00,15.503,N,73.021,W
9/12/2010,20:15:59,15.503,N,73.022,W
9/12/2010,20:17:59,15.503,N,73.023,W
9/12/2010,20:20:00,15.503,N,73.024,W
9/12/2010,20:22:00,15.503,N,73.025,W
9/12/2010,20:23:59,15.502,N,73.026,W
9/12/2010,20:25:59,15.502,N,73.028,W
9/12/2010,20:28:00,15.502,N,73.029,W
9/12/2010,20:30:00,15.502,N,73.03,W
9/12/2010,20:31:59,15.502,N,73.031,W
9/12/2010,20:34:00,15.502,N,73.033,W
9/12/2010,20:36:00,15.502,N,73.034,W
9/12/2010,20:37:59,15.502,N,73.036,W
9/12/2010,20:39:59,15.502,N,73.037,W
9/12/2010,20:42:00,15.502,N,73.039,W
9/12/2010,20:44:00,15.502,N,73.04,W
9/12/2010,20:45:59,15.501,N,73.042,W
9/12/2010,20:47:59,15.501,N,73.044,W
9/12/2010,20:50:00,15.501,N,73.045,W
9/12/2010,20:52:00,15.501,N,73.047,W
9/12/2010,20:53:59,15.501,N,73.049,W
9/12/2010,20:55:59,15.501,N,73.051,W
9/12/2010,20:58:00,15.501,N,73.053,W
9/12/2010,21:00:00,15.5,N,73.055,W
9/12/2010,21:01:59,15.5,N,73.057,W
9/12/2010,21:04:00,15.5,N,73.059,W
9/12/2010,21:06:00,15.5,N,73.061,W
9/12/2010,21:07:59,15.5,N,73.063,W
