Track,for,Matthew,2010,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/23/2010,11:53:59,13.706,N,74.762,W
9/23/2010,11:56:00,13.704,N,74.774,W
9/23/2010,11:57:59,13.702,N,74.787,W
9/23/2010,12:00:00,13.7,N,74.8,W
9/23/2010,12:02:00,13.698,N,74.813,W
9/23/2010,12:03:59,13.696,N,74.826,W
9/23/2010,12:06:00,13.694,N,74.838,W
9/23/2010,12:07:59,13.692,N,74.851,W
9/23/2010,12:10:00,13.69,N,74.864,W
9/23/2010,12:11:59,13.688,N,74.877,W
9/23/2010,12:14:00,13.686,N,74.889,W
9/23/2010,12:15:59,13.685,N,74.902,W
9/23/2010,12:18:00,13.683,N,74.915,W
9/23/2010,12:19:59,13.681,N,74.928,W
9/23/2010,12:22:00,13.679,N,74.94,W
9/23/2010,12:23:59,13.677,N,74.953,W
9/23/2010,12:26:00,13.675,N,74.966,W
9/23/2010,12:27:59,13.673,N,74.978,W
9/23/2010,12:30:00,13.671,N,74.991,W
9/23/2010,12:32:00,13.669,N,75.004,W
9/23/2010,12:33:59,13.668,N,75.016,W
9/23/2010,12:36:00,13.666,N,75.029,W
9/23/2010,12:37:59,13.664,N,75.041,W
9/23/2010,12:40:00,13.662,N,75.054,W
9/23/2010,12:41:59,13.661,N,75.066,W
9/23/2010,12:44:00,13.659,N,75.079,W
9/23/2010,12:45:59,13.657,N,75.091,W
9/23/2010,12:48:00,13.655,N,75.103,W
9/23/2010,12:49:59,13.654,N,75.116,W
9/23/2010,12:52:00,13.652,N,75.128,W
9/23/2010,12:53:59,13.65,N,75.14,W
9/23/2010,12:56:00,13.649,N,75.153,W
9/23/2010,12:57:59,13.647,N,75.165,W
9/23/2010,13:00:00,13.646,N,75.177,W
9/23/2010,13:02:00,13.644,N,75.189,W
9/23/2010,13:03:59,13.643,N,75.201,W
9/23/2010,13:06:00,13.641,N,75.213,W
9/23/2010,13:07:59,13.64,N,75.225,W
9/23/2010,13:10:00,13.638,N,75.237,W
9/23/2010,13:11:59,13.637,N,75.249,W
9/23/2010,13:14:00,13.635,N,75.261,W
9/23/2010,13:15:59,13.634,N,75.272,W
9/23/2010,13:18:00,13.633,N,75.284,W
9/23/2010,13:19:59,13.631,N,75.296,W
9/23/2010,13:22:00,13.63,N,75.307,W
9/23/2010,13:23:59,13.629,N,75.319,W
9/23/2010,13:26:00,13.628,N,75.33,W
9/23/2010,13:27:59,13.627,N,75.341,W
9/23/2010,13:30:00,13.626,N,75.353,W
9/23/2010,13:32:00,13.625,N,75.364,W
9/23/2010,13:33:59,13.624,N,75.375,W
9/23/2010,13:36:00,13.623,N,75.386,W
9/23/2010,13:37:59,13.622,N,75.397,W
9/23/2010,13:40:00,13.621,N,75.408,W
9/23/2010,13:41:59,13.62,N,75.419,W
9/23/2010,13:44:00,13.619,N,75.43,W
9/23/2010,13:45:59,13.618,N,75.441,W
9/23/2010,13:48:00,13.618,N,75.451,W
9/23/2010,13:49:59,13.617,N,75.462,W
9/23/2010,13:52:00,13.617,N,75.472,W
9/23/2010,13:53:59,13.616,N,75.483,W
9/23/2010,13:56:00,13.615,N,75.493,W
9/23/2010,13:57:59,13.615,N,75.503,W
9/23/2010,14:00:00,13.615,N,75.513,W
9/23/2010,14:02:00,13.614,N,75.524,W
9/23/2010,14:03:59,13.614,N,75.533,W
9/23/2010,14:06:00,13.614,N,75.543,W
9/23/2010,14:07:59,13.613,N,75.553,W
9/23/2010,14:10:00,13.613,N,75.563,W
9/23/2010,14:11:59,13.613,N,75.572,W
9/23/2010,14:14:00,13.613,N,75.582,W
9/23/2010,14:15:59,13.613,N,75.591,W
9/23/2010,14:18:00,13.613,N,75.601,W
9/23/2010,14:19:59,13.614,N,75.61,W
9/23/2010,14:22:00,13.614,N,75.619,W
9/23/2010,14:23:59,13.614,N,75.628,W
9/23/2010,14:26:00,13.614,N,75.637,W
9/23/2010,14:27:59,13.615,N,75.645,W
9/23/2010,14:30:00,13.615,N,75.654,W
9/23/2010,14:32:00,13.616,N,75.663,W
9/23/2010,14:33:59,13.616,N,75.671,W
9/23/2010,14:36:00,13.617,N,75.679,W
9/23/2010,14:37:59,13.618,N,75.688,W
9/23/2010,14:40:00,13.619,N,75.696,W
9/23/2010,14:41:59,13.619,N,75.704,W
9/23/2010,14:44:00,13.62,N,75.711,W
9/23/2010,14:45:59,13.621,N,75.719,W
9/23/2010,14:48:00,13.622,N,75.727,W
9/23/2010,14:49:59,13.624,N,75.734,W
9/23/2010,14:52:00,13.625,N,75.741,W
9/23/2010,14:53:59,13.626,N,75.749,W
9/23/2010,14:56:00,13.627,N,75.756,W
9/23/2010,14:57:59,13.629,N,75.763,W
9/23/2010,15:00:00,13.63,N,75.77,W
9/23/2010,15:02:00,13.632,N,75.776,W
9/23/2010,15:03:59,13.634,N,75.783,W
9/23/2010,15:06:00,13.635,N,75.79,W
9/23/2010,15:07:59,13.637,N,75.796,W
