Track,for,Emily,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/1/2011,18:05:55,15.15,N,60.693,W
8/1/2011,18:07:55,15.15,N,60.695,W
8/1/2011,18:09:54,15.15,N,60.698,W
8/1/2011,18:11:54,15.15,N,60.7,W
8/1/2011,18:13:55,15.15,N,60.702,W
8/1/2011,18:15:55,15.15,N,60.705,W
8/1/2011,18:17:54,15.15,N,60.707,W
8/1/2011,18:19:54,15.151,N,60.71,W
8/1/2011,18:21:55,15.151,N,60.712,W
8/1/2011,18:23:54,15.151,N,60.715,W
8/1/2011,18:25:54,15.151,N,60.717,W
8/1/2011,18:27:55,15.151,N,60.719,W
8/1/2011,18:29:55,15.151,N,60.722,W
8/1/2011,18:31:54,15.152,N,60.725,W
8/1/2011,18:33:54,15.152,N,60.727,W
8/1/2011,18:35:55,15.152,N,60.73,W
8/1/2011,18:37:55,15.152,N,60.732,W
8/1/2011,18:39:54,15.152,N,60.735,W
8/1/2011,18:41:54,15.152,N,60.738,W
8/1/2011,18:43:55,15.153,N,60.741,W
8/1/2011,18:45:55,15.153,N,60.743,W
8/1/2011,18:47:54,15.153,N,60.746,W
8/1/2011,18:49:54,15.153,N,60.749,W
8/1/2011,18:51:55,15.153,N,60.752,W
8/1/2011,18:53:54,15.153,N,60.755,W
8/1/2011,18:55:54,15.154,N,60.759,W
8/1/2011,18:57:55,15.154,N,60.762,W
8/1/2011,18:59:55,15.154,N,60.765,W
8/1/2011,19:01:54,15.154,N,60.768,W
8/1/2011,19:03:54,15.154,N,60.772,W
8/1/2011,19:05:55,15.155,N,60.775,W
8/1/2011,19:07:55,15.155,N,60.779,W
8/1/2011,19:09:54,15.155,N,60.783,W
8/1/2011,19:11:54,15.155,N,60.786,W
8/1/2011,19:13:55,15.156,N,60.79,W
8/1/2011,19:15:55,15.156,N,60.794,W
8/1/2011,19:17:54,15.156,N,60.798,W
8/1/2011,19:19:54,15.156,N,60.803,W
8/1/2011,19:21:55,15.157,N,60.807,W
8/1/2011,19:23:54,15.157,N,60.811,W
8/1/2011,19:25:54,15.157,N,60.816,W
8/1/2011,19:27:55,15.157,N,60.821,W
8/1/2011,19:29:55,15.158,N,60.825,W
8/1/2011,19:31:54,15.158,N,60.83,W
8/1/2011,19:33:54,15.158,N,60.835,W
8/1/2011,19:35:55,15.159,N,60.84,W
8/1/2011,19:37:55,15.159,N,60.846,W
8/1/2011,19:39:54,15.159,N,60.851,W
8/1/2011,19:41:54,15.159,N,60.857,W
8/1/2011,19:43:55,15.16,N,60.862,W
8/1/2011,19:45:55,15.16,N,60.868,W
8/1/2011,19:47:54,15.161,N,60.874,W
8/1/2011,19:49:54,15.161,N,60.881,W
8/1/2011,19:51:55,15.161,N,60.887,W
8/1/2011,19:53:54,15.162,N,60.893,W
8/1/2011,19:55:54,15.162,N,60.9,W
8/1/2011,19:57:55,15.162,N,60.907,W
8/1/2011,19:59:55,15.163,N,60.914,W
8/1/2011,20:01:54,15.163,N,60.921,W
8/1/2011,20:03:54,15.164,N,60.928,W
8/1/2011,20:05:55,15.164,N,60.936,W
8/1/2011,20:07:55,15.165,N,60.944,W
8/1/2011,20:09:54,15.165,N,60.951,W
8/1/2011,20:11:54,15.165,N,60.96,W
8/1/2011,20:13:55,15.166,N,60.968,W
8/1/2011,20:15:55,15.166,N,60.976,W
8/1/2011,20:17:54,15.167,N,60.985,W
8/1/2011,20:19:54,15.167,N,60.994,W
8/1/2011,20:21:55,15.168,N,61.003,W
8/1/2011,20:23:54,15.169,N,61.012,W
8/1/2011,20:25:54,15.169,N,61.022,W
8/1/2011,20:27:55,15.17,N,61.031,W
8/1/2011,20:29:55,15.17,N,61.041,W
8/1/2011,20:31:54,15.171,N,61.051,W
8/1/2011,20:33:54,15.171,N,61.062,W
8/1/2011,20:35:55,15.172,N,61.072,W
8/1/2011,20:37:55,15.173,N,61.083,W
8/1/2011,20:39:07,15.173,N,61.09,W
8/1/2011,20:41:08,15.173,N,61.096,W
8/1/2011,20:43:08,15.174,N,61.103,W
8/1/2011,20:45:07,15.174,N,61.109,W
8/1/2011,20:47:07,15.175,N,61.115,W
8/1/2011,20:49:08,15.175,N,61.121,W
8/1/2011,20:51:08,15.176,N,61.127,W
8/1/2011,20:53:07,15.176,N,61.133,W
8/1/2011,20:55:07,15.177,N,61.139,W
8/1/2011,20:57:08,15.177,N,61.144,W
8/1/2011,20:59:08,15.178,N,61.15,W
8/1/2011,21:01:07,15.178,N,61.155,W
8/1/2011,21:03:07,15.179,N,61.161,W
8/1/2011,21:05:08,15.179,N,61.166,W
8/1/2011,21:07:07,15.18,N,61.171,W
8/1/2011,21:09:07,15.181,N,61.176,W
8/1/2011,21:11:08,15.181,N,61.181,W
8/1/2011,21:13:08,15.182,N,61.186,W
8/1/2011,21:15:07,15.182,N,61.191,W
8/1/2011,21:17:07,15.183,N,61.195,W
8/1/2011,21:19:08,15.183,N,61.2,W
