Track,for,Lee,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/1/2011,18:20:47,25.82,N,90.712,W
9/1/2011,18:22:47,25.828,N,90.725,W
9/1/2011,18:24:48,25.836,N,90.737,W
9/1/2011,18:26:48,25.844,N,90.75,W
9/1/2011,18:28:47,25.852,N,90.763,W
9/1/2011,18:30:48,25.86,N,90.775,W
9/1/2011,18:32:48,25.868,N,90.788,W
9/1/2011,18:34:47,25.876,N,90.801,W
9/1/2011,18:36:47,25.884,N,90.814,W
9/1/2011,18:38:48,25.892,N,90.826,W
9/1/2011,18:40:48,25.9,N,90.839,W
9/1/2011,18:42:47,25.908,N,90.852,W
9/1/2011,18:44:47,25.916,N,90.864,W
9/1/2011,18:46:48,25.923,N,90.877,W
9/1/2011,18:48:48,25.931,N,90.89,W
9/1/2011,18:50:47,25.939,N,90.902,W
9/1/2011,18:52:47,25.947,N,90.915,W
9/1/2011,18:54:48,25.955,N,90.927,W
9/1/2011,18:56:48,25.963,N,90.94,W
9/1/2011,18:58:47,25.971,N,90.952,W
9/1/2011,19:00:48,25.978,N,90.964,W
9/1/2011,19:02:48,25.986,N,90.977,W
9/1/2011,19:04:47,25.994,N,90.989,W
9/1/2011,19:06:47,26.001,N,91.001,W
9/1/2011,19:08:48,26.009,N,91.013,W
9/1/2011,19:10:48,26.017,N,91.025,W
9/1/2011,19:12:47,26.024,N,91.037,W
9/1/2011,19:14:47,26.032,N,91.049,W
9/1/2011,19:16:48,26.039,N,91.061,W
9/1/2011,19:18:48,26.047,N,91.073,W
9/1/2011,19:20:47,26.054,N,91.085,W
9/1/2011,19:22:47,26.062,N,91.096,W
9/1/2011,19:24:48,26.069,N,91.108,W
9/1/2011,19:26:48,26.076,N,91.119,W
9/1/2011,19:28:47,26.084,N,91.131,W
9/1/2011,19:30:48,26.091,N,91.142,W
9/1/2011,19:32:48,26.098,N,91.153,W
9/1/2011,19:34:47,26.105,N,91.164,W
9/1/2011,19:36:47,26.112,N,91.175,W
9/1/2011,19:38:48,26.119,N,91.186,W
9/1/2011,19:40:48,26.126,N,91.197,W
9/1/2011,19:42:47,26.133,N,91.208,W
9/1/2011,19:44:47,26.14,N,91.218,W
9/1/2011,19:46:48,26.147,N,91.229,W
9/1/2011,19:48:48,26.154,N,91.239,W
9/1/2011,19:50:47,26.161,N,91.249,W
9/1/2011,19:52:47,26.167,N,91.26,W
9/1/2011,19:54:48,26.174,N,91.27,W
9/1/2011,19:56:48,26.18,N,91.279,W
9/1/2011,19:58:47,26.187,N,91.289,W
9/1/2011,20:00:48,26.193,N,91.299,W
9/1/2011,20:02:48,26.199,N,91.308,W
9/1/2011,20:04:47,26.206,N,91.318,W
9/1/2011,20:06:47,26.212,N,91.327,W
9/1/2011,20:08:48,26.218,N,91.336,W
9/1/2011,20:10:48,26.224,N,91.345,W
9/1/2011,20:12:47,26.23,N,91.353,W
9/1/2011,20:14:47,26.236,N,91.362,W
9/1/2011,20:16:48,26.242,N,91.37,W
9/1/2011,20:18:48,26.247,N,91.379,W
9/1/2011,20:20:47,26.253,N,91.387,W
9/1/2011,20:22:47,26.259,N,91.395,W
9/1/2011,20:24:48,26.264,N,91.402,W
9/1/2011,20:26:48,26.269,N,91.41,W
9/1/2011,20:28:47,26.275,N,91.417,W
9/1/2011,20:30:48,26.28,N,91.425,W
9/1/2011,20:32:48,26.285,N,91.432,W
9/1/2011,20:34:47,26.29,N,91.439,W
9/1/2011,20:36:47,26.295,N,91.445,W
9/1/2011,20:38:48,26.3,N,91.452,W
9/1/2011,20:40:48,26.304,N,91.458,W
9/1/2011,20:42:47,26.309,N,91.464,W
9/1/2011,20:44:47,26.314,N,91.47,W
9/1/2011,20:46:48,26.318,N,91.476,W
9/1/2011,20:48:48,26.322,N,91.481,W
9/1/2011,20:50:47,26.327,N,91.487,W
9/1/2011,20:52:47,26.331,N,91.492,W
9/1/2011,20:54:48,26.335,N,91.497,W
9/1/2011,20:56:48,26.339,N,91.501,W
9/1/2011,20:58:47,26.342,N,91.506,W
9/1/2011,21:00:48,26.346,N,91.51,W
9/1/2011,21:02:48,26.35,N,91.514,W
9/1/2011,21:04:47,26.353,N,91.518,W
9/1/2011,21:06:47,26.356,N,91.521,W
9/1/2011,21:08:48,26.36,N,91.525,W
9/1/2011,21:10:48,26.363,N,91.528,W
9/1/2011,21:12:47,26.366,N,91.53,W
9/1/2011,21:14:47,26.369,N,91.533,W
9/1/2011,21:16:48,26.371,N,91.535,W
9/1/2011,21:18:48,26.374,N,91.537,W
9/1/2011,21:20:47,26.376,N,91.539,W
9/1/2011,21:22:47,26.379,N,91.541,W
9/1/2011,21:24:48,26.381,N,91.542,W
9/1/2011,21:26:48,26.383,N,91.544,W
9/1/2011,21:28:47,26.385,N,91.545,W
9/1/2011,21:30:48,26.387,N,91.545,W
9/1/2011,21:32:48,26.389,N,91.546,W
9/1/2011,21:34:47,26.391,N,91.546,W
