Track,for,Debby,2012,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/23/2012,15:44:00,26.01,N,87.949,W
6/23/2012,15:45:59,26.007,N,87.947,W
6/23/2012,15:48:00,26.003,N,87.944,W
6/23/2012,15:49:59,26,N,87.942,W
6/23/2012,15:52:00,25.997,N,87.94,W
6/23/2012,15:53:59,25.993,N,87.937,W
6/23/2012,15:56:00,25.99,N,87.935,W
6/23/2012,15:57:59,25.987,N,87.933,W
6/23/2012,16:00:00,25.984,N,87.93,W
6/23/2012,16:01:59,25.98,N,87.928,W
6/23/2012,16:04:00,25.977,N,87.926,W
6/23/2012,16:06:00,25.974,N,87.924,W
6/23/2012,16:07:59,25.97,N,87.921,W
6/23/2012,16:09:59,25.967,N,87.919,W
6/23/2012,16:12:00,25.964,N,87.917,W
6/23/2012,16:14:00,25.961,N,87.915,W
6/23/2012,16:15:59,25.957,N,87.913,W
6/23/2012,16:17:59,25.954,N,87.911,W
6/23/2012,16:20:00,25.951,N,87.909,W
6/23/2012,16:22:00,25.948,N,87.907,W
6/23/2012,16:23:59,25.944,N,87.905,W
6/23/2012,16:25:59,25.941,N,87.903,W
6/23/2012,16:28:00,25.938,N,87.901,W
6/23/2012,16:30:00,25.934,N,87.9,W
6/23/2012,16:31:59,25.931,N,87.898,W
6/23/2012,16:34:00,25.928,N,87.896,W
6/23/2012,16:36:00,25.925,N,87.895,W
6/23/2012,16:37:59,25.921,N,87.893,W
6/23/2012,16:39:59,25.918,N,87.892,W
6/23/2012,16:42:00,25.915,N,87.891,W
6/23/2012,16:44:00,25.912,N,87.889,W
6/23/2012,16:45:59,25.909,N,87.888,W
6/23/2012,16:47:59,25.905,N,87.887,W
6/23/2012,16:50:00,25.902,N,87.886,W
6/23/2012,16:52:00,25.899,N,87.885,W
6/23/2012,16:53:59,25.896,N,87.885,W
6/23/2012,16:55:59,25.892,N,87.884,W
6/23/2012,16:58:00,25.889,N,87.884,W
6/23/2012,17:00:00,25.886,N,87.883,W
6/23/2012,17:01:59,25.883,N,87.883,W
6/23/2012,17:04:00,25.88,N,87.883,W
6/23/2012,17:06:00,25.877,N,87.882,W
6/23/2012,17:07:59,25.873,N,87.882,W
6/23/2012,17:09:59,25.87,N,87.883,W
6/23/2012,17:12:00,25.867,N,87.883,W
6/23/2012,17:14:00,25.864,N,87.883,W
6/23/2012,17:15:59,25.861,N,87.884,W
6/23/2012,17:17:59,25.858,N,87.885,W
6/23/2012,17:20:00,25.854,N,87.885,W
6/23/2012,17:22:00,25.851,N,87.886,W
6/23/2012,17:23:59,25.848,N,87.887,W
6/23/2012,17:25:59,25.845,N,87.889,W
6/23/2012,17:28:00,25.842,N,87.89,W
6/23/2012,17:30:00,25.839,N,87.892,W
6/23/2012,17:31:59,25.836,N,87.893,W
6/23/2012,17:34:00,25.833,N,87.895,W
6/23/2012,17:36:00,25.83,N,87.897,W
6/23/2012,17:37:59,25.827,N,87.899,W
6/23/2012,17:39:59,25.824,N,87.902,W
6/23/2012,17:42:00,25.821,N,87.904,W
6/23/2012,17:44:00,25.817,N,87.907,W
6/23/2012,17:45:59,25.814,N,87.91,W
6/23/2012,17:47:59,25.811,N,87.913,W
6/23/2012,17:50:00,25.808,N,87.916,W
6/23/2012,17:52:00,25.805,N,87.92,W
6/23/2012,17:53:59,25.802,N,87.924,W
6/23/2012,17:55:59,25.799,N,87.928,W
6/23/2012,17:58:00,25.796,N,87.932,W
6/23/2012,18:00:00,25.794,N,87.936,W
6/23/2012,18:01:59,25.791,N,87.94,W
6/23/2012,18:04:00,25.788,N,87.945,W
6/23/2012,18:06:00,25.785,N,87.95,W
6/23/2012,18:07:59,25.782,N,87.955,W
6/23/2012,18:09:59,25.779,N,87.96,W
6/23/2012,18:12:00,25.776,N,87.965,W
6/23/2012,18:14:00,25.773,N,87.971,W
6/23/2012,18:15:59,25.77,N,87.977,W
6/23/2012,18:17:59,25.767,N,87.983,W
6/23/2012,18:20:00,25.764,N,87.989,W
6/23/2012,18:22:00,25.761,N,87.995,W
6/23/2012,18:23:59,25.759,N,88.001,W
6/23/2012,18:25:59,25.756,N,88.008,W
6/23/2012,18:28:00,25.753,N,88.014,W
6/23/2012,18:30:00,25.75,N,88.021,W
6/23/2012,18:31:59,25.747,N,88.028,W
6/23/2012,18:34:00,25.744,N,88.035,W
6/23/2012,18:36:00,25.742,N,88.042,W
6/23/2012,18:37:59,25.739,N,88.05,W
6/23/2012,18:39:59,25.736,N,88.057,W
6/23/2012,18:42:00,25.733,N,88.065,W
6/23/2012,18:43:33,25.731,N,88.071,W
6/23/2012,18:45:33,25.733,N,88.077,W
6/23/2012,18:47:32,25.736,N,88.083,W
6/23/2012,18:49:33,25.738,N,88.089,W
6/23/2012,18:51:33,25.741,N,88.095,W
6/23/2012,18:53:32,25.744,N,88.101,W
6/23/2012,18:55:32,25.748,N,88.107,W
6/23/2012,18:57:33,25.751,N,88.113,W
