Track,for,Ernesto.set,2012,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/2/2012,18:04:11,12.829,N,55.47,W
8/2/2012,18:06:11,12.83,N,55.481,W
8/2/2012,18:08:10,12.831,N,55.491,W
8/2/2012,18:10:10,12.832,N,55.502,W
8/2/2012,18:12:11,12.833,N,55.513,W
8/2/2012,18:14:11,12.834,N,55.523,W
8/2/2012,18:16:10,12.835,N,55.534,W
8/2/2012,18:18:10,12.837,N,55.544,W
8/2/2012,18:20:11,12.838,N,55.555,W
8/2/2012,18:22:11,12.839,N,55.565,W
8/2/2012,18:24:10,12.84,N,55.575,W
8/2/2012,18:26:10,12.842,N,55.586,W
8/2/2012,18:28:11,12.843,N,55.596,W
8/2/2012,18:30:11,12.844,N,55.607,W
8/2/2012,18:32:10,12.846,N,55.617,W
8/2/2012,18:34:11,12.847,N,55.627,W
8/2/2012,18:36:11,12.849,N,55.638,W
8/2/2012,18:38:10,12.85,N,55.648,W
8/2/2012,18:40:10,12.852,N,55.658,W
8/2/2012,18:42:11,12.854,N,55.668,W
8/2/2012,18:44:11,12.856,N,55.678,W
8/2/2012,18:46:10,12.858,N,55.689,W
8/2/2012,18:48:10,12.86,N,55.699,W
8/2/2012,18:50:11,12.862,N,55.709,W
8/2/2012,18:52:11,12.864,N,55.718,W
8/2/2012,18:54:10,12.866,N,55.728,W
8/2/2012,18:56:10,12.869,N,55.738,W
8/2/2012,18:58:11,12.871,N,55.748,W
8/2/2012,19:00:11,12.874,N,55.757,W
8/2/2012,19:02:10,12.877,N,55.767,W
8/2/2012,19:04:11,12.88,N,55.776,W
8/2/2012,19:06:11,12.883,N,55.786,W
8/2/2012,19:08:10,12.886,N,55.795,W
8/2/2012,19:10:10,12.89,N,55.805,W
8/2/2012,19:12:11,12.893,N,55.814,W
8/2/2012,19:14:11,12.897,N,55.823,W
8/2/2012,19:16:10,12.901,N,55.832,W
8/2/2012,19:18:10,12.905,N,55.841,W
8/2/2012,19:20:11,12.909,N,55.849,W
8/2/2012,19:22:11,12.913,N,55.858,W
8/2/2012,19:24:10,12.918,N,55.867,W
8/2/2012,19:26:10,12.923,N,55.875,W
8/2/2012,19:28:11,12.928,N,55.883,W
8/2/2012,19:30:11,12.933,N,55.892,W
8/2/2012,19:32:10,12.938,N,55.9,W
8/2/2012,19:34:11,12.944,N,55.908,W
8/2/2012,19:36:11,12.95,N,55.916,W
8/2/2012,19:38:10,12.956,N,55.924,W
8/2/2012,19:40:10,12.962,N,55.931,W
8/2/2012,19:42:11,12.968,N,55.939,W
8/2/2012,19:44:11,12.975,N,55.946,W
8/2/2012,19:46:10,12.982,N,55.953,W
8/2/2012,19:48:10,12.989,N,55.96,W
8/2/2012,19:50:11,12.997,N,55.967,W
8/2/2012,19:52:11,13.004,N,55.974,W
8/2/2012,19:54:10,13.012,N,55.981,W
8/2/2012,19:56:10,13.021,N,55.987,W
8/2/2012,19:58:11,13.029,N,55.994,W
8/2/2012,20:00:11,13.038,N,56,W
8/2/2012,20:02:10,13.047,N,56.006,W
8/2/2012,20:04:11,13.056,N,56.012,W
8/2/2012,20:06:11,13.066,N,56.017,W
8/2/2012,20:08:10,13.076,N,56.023,W
8/2/2012,20:10:10,13.086,N,56.028,W
8/2/2012,20:12:11,13.097,N,56.034,W
8/2/2012,20:14:11,13.108,N,56.039,W
8/2/2012,20:16:10,13.119,N,56.043,W
8/2/2012,20:18:10,13.13,N,56.048,W
8/2/2012,20:20:11,13.142,N,56.052,W
8/2/2012,20:22:11,13.154,N,56.057,W
8/2/2012,20:24:10,13.167,N,56.061,W
8/2/2012,20:26:10,13.18,N,56.065,W
8/2/2012,20:28:11,13.193,N,56.068,W
8/2/2012,20:30:11,13.206,N,56.072,W
8/2/2012,20:32:10,13.22,N,56.075,W
8/2/2012,20:34:11,13.235,N,56.078,W
8/2/2012,20:36:11,13.249,N,56.081,W
8/2/2012,20:38:10,13.264,N,56.084,W
8/2/2012,20:40:10,13.28,N,56.086,W
8/2/2012,20:42:11,13.296,N,56.088,W
8/2/2012,20:44:11,13.312,N,56.09,W
8/2/2012,20:46:01,13.327,N,56.092,W
8/2/2012,20:48:00,13.335,N,56.099,W
8/2/2012,20:50:00,13.343,N,56.106,W
8/2/2012,20:52:01,13.351,N,56.113,W
8/2/2012,20:54:01,13.359,N,56.121,W
8/2/2012,20:56:00,13.367,N,56.128,W
8/2/2012,20:58:00,13.374,N,56.135,W
8/2/2012,21:00:01,13.382,N,56.143,W
8/2/2012,21:02:01,13.39,N,56.15,W
8/2/2012,21:04:00,13.397,N,56.158,W
8/2/2012,21:06:00,13.405,N,56.165,W
8/2/2012,21:08:01,13.413,N,56.173,W
8/2/2012,21:10:01,13.42,N,56.181,W
8/2/2012,21:12:00,13.428,N,56.188,W
8/2/2012,21:14:01,13.435,N,56.196,W
8/2/2012,21:16:01,13.442,N,56.204,W
8/2/2012,21:18:00,13.45,N,56.212,W
