Track,for,Chantal,2013,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/8/2013,17:53:59,11.386,N,52.864,W
7/8/2013,17:55:59,11.391,N,52.876,W
7/8/2013,17:58:00,11.395,N,52.888,W
7/8/2013,18:00:00,11.4,N,52.9,W
7/8/2013,18:01:59,11.405,N,52.912,W
7/8/2013,18:04:00,11.409,N,52.924,W
7/8/2013,18:06:00,11.414,N,52.936,W
7/8/2013,18:07:59,11.418,N,52.948,W
7/8/2013,18:09:59,11.423,N,52.959,W
7/8/2013,18:12:00,11.428,N,52.971,W
7/8/2013,18:14:00,11.432,N,52.983,W
7/8/2013,18:15:59,11.437,N,52.995,W
7/8/2013,18:17:59,11.441,N,53.007,W
7/8/2013,18:20:00,11.446,N,53.019,W
7/8/2013,18:22:00,11.45,N,53.031,W
7/8/2013,18:23:59,11.455,N,53.043,W
7/8/2013,18:25:59,11.459,N,53.055,W
7/8/2013,18:28:00,11.464,N,53.067,W
7/8/2013,18:30:00,11.468,N,53.078,W
7/8/2013,18:31:59,11.473,N,53.09,W
7/8/2013,18:34:00,11.477,N,53.102,W
7/8/2013,18:36:00,11.482,N,53.114,W
7/8/2013,18:37:59,11.486,N,53.126,W
7/8/2013,18:39:59,11.491,N,53.138,W
7/8/2013,18:42:00,11.495,N,53.15,W
7/8/2013,18:44:00,11.499,N,53.162,W
7/8/2013,18:45:59,11.504,N,53.174,W
7/8/2013,18:47:59,11.508,N,53.186,W
7/8/2013,18:50:00,11.512,N,53.198,W
7/8/2013,18:52:00,11.517,N,53.21,W
7/8/2013,18:53:59,11.521,N,53.222,W
7/8/2013,18:55:59,11.525,N,53.234,W
7/8/2013,18:58:00,11.529,N,53.246,W
7/8/2013,19:00:00,11.533,N,53.258,W
7/8/2013,19:01:59,11.538,N,53.27,W
7/8/2013,19:04:00,11.542,N,53.282,W
7/8/2013,19:06:00,11.546,N,53.294,W
7/8/2013,19:07:59,11.55,N,53.306,W
7/8/2013,19:09:59,11.554,N,53.318,W
7/8/2013,19:12:00,11.558,N,53.33,W
7/8/2013,19:14:00,11.562,N,53.342,W
7/8/2013,19:15:59,11.566,N,53.354,W
7/8/2013,19:17:59,11.569,N,53.366,W
7/8/2013,19:20:00,11.573,N,53.379,W
7/8/2013,19:22:00,11.577,N,53.391,W
7/8/2013,19:23:59,11.581,N,53.403,W
7/8/2013,19:25:59,11.584,N,53.415,W
7/8/2013,19:28:00,11.588,N,53.427,W
7/8/2013,19:30:00,11.592,N,53.439,W
7/8/2013,19:31:59,11.595,N,53.452,W
7/8/2013,19:34:00,11.599,N,53.464,W
7/8/2013,19:36:00,11.602,N,53.476,W
7/8/2013,19:37:59,11.606,N,53.488,W
7/8/2013,19:39:59,11.609,N,53.5,W
7/8/2013,19:42:00,11.612,N,53.513,W
7/8/2013,19:44:00,11.616,N,53.525,W
7/8/2013,19:45:59,11.619,N,53.537,W
7/8/2013,19:47:59,11.622,N,53.55,W
7/8/2013,19:50:00,11.625,N,53.562,W
7/8/2013,19:52:00,11.628,N,53.574,W
7/8/2013,19:53:59,11.631,N,53.587,W
7/8/2013,19:55:59,11.634,N,53.599,W
7/8/2013,19:58:00,11.637,N,53.611,W
7/8/2013,20:00:00,11.64,N,53.624,W
7/8/2013,20:01:59,11.643,N,53.636,W
7/8/2013,20:04:00,11.645,N,53.649,W
7/8/2013,20:06:00,11.648,N,53.661,W
7/8/2013,20:07:59,11.651,N,53.674,W
7/8/2013,20:09:59,11.653,N,53.686,W
7/8/2013,20:12:00,11.656,N,53.699,W
7/8/2013,20:14:00,11.658,N,53.711,W
7/8/2013,20:15:59,11.66,N,53.724,W
7/8/2013,20:17:59,11.663,N,53.736,W
7/8/2013,20:20:00,11.665,N,53.749,W
7/8/2013,20:22:00,11.667,N,53.762,W
7/8/2013,20:23:59,11.669,N,53.774,W
7/8/2013,20:25:59,11.671,N,53.787,W
7/8/2013,20:28:00,11.673,N,53.8,W
7/8/2013,20:30:00,11.675,N,53.812,W
7/8/2013,20:31:59,11.677,N,53.825,W
7/8/2013,20:34:00,11.678,N,53.838,W
7/8/2013,20:36:00,11.68,N,53.851,W
7/8/2013,20:37:59,11.681,N,53.863,W
7/8/2013,20:39:59,11.683,N,53.876,W
7/8/2013,20:42:00,11.684,N,53.889,W
7/8/2013,20:44:00,11.686,N,53.902,W
7/8/2013,20:45:59,11.687,N,53.915,W
7/8/2013,20:47:59,11.688,N,53.928,W
7/8/2013,20:50:00,11.689,N,53.941,W
7/8/2013,20:52:00,11.69,N,53.954,W
7/8/2013,20:53:59,11.691,N,53.967,W
7/8/2013,20:55:59,11.692,N,53.98,W
7/8/2013,20:58:00,11.692,N,53.993,W
7/8/2013,21:00:00,11.693,N,54.006,W
7/8/2013,21:01:59,11.693,N,54.019,W
7/8/2013,21:04:00,11.694,N,54.032,W
7/8/2013,21:06:00,11.694,N,54.045,W
7/8/2013,21:07:59,11.694,N,54.058,W
