Track,for,Cristobal,2014,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/21/2014,17:45:58,16.363,N,57.579,W
8/21/2014,17:47:57,16.37,N,57.592,W
8/21/2014,17:49:57,16.377,N,57.604,W
8/21/2014,17:51:58,16.384,N,57.617,W
8/21/2014,17:53:58,16.391,N,57.63,W
8/21/2014,17:55:57,16.398,N,57.642,W
8/21/2014,17:57:57,16.405,N,57.655,W
8/21/2014,17:59:58,16.412,N,57.668,W
8/21/2014,18:01:58,16.42,N,57.68,W
8/21/2014,18:03:57,16.427,N,57.693,W
8/21/2014,18:05:58,16.434,N,57.705,W
8/21/2014,18:07:58,16.441,N,57.718,W
8/21/2014,18:09:57,16.448,N,57.731,W
8/21/2014,18:11:57,16.455,N,57.743,W
8/21/2014,18:13:58,16.462,N,57.756,W
8/21/2014,18:15:58,16.47,N,57.768,W
8/21/2014,18:17:57,16.477,N,57.781,W
8/21/2014,18:19:57,16.484,N,57.793,W
8/21/2014,18:21:58,16.491,N,57.806,W
8/21/2014,18:23:58,16.498,N,57.818,W
8/21/2014,18:25:57,16.506,N,57.831,W
8/21/2014,18:27:57,16.513,N,57.843,W
8/21/2014,18:29:58,16.52,N,57.855,W
8/21/2014,18:31:58,16.527,N,57.868,W
8/21/2014,18:33:57,16.535,N,57.88,W
8/21/2014,18:35:58,16.542,N,57.892,W
8/21/2014,18:37:58,16.549,N,57.904,W
8/21/2014,18:39:57,16.557,N,57.917,W
8/21/2014,18:41:57,16.564,N,57.929,W
8/21/2014,18:43:58,16.571,N,57.941,W
8/21/2014,18:45:58,16.579,N,57.953,W
8/21/2014,18:47:57,16.586,N,57.965,W
8/21/2014,18:49:57,16.594,N,57.977,W
8/21/2014,18:51:58,16.601,N,57.989,W
8/21/2014,18:53:58,16.609,N,58.001,W
8/21/2014,18:55:57,16.616,N,58.012,W
8/21/2014,18:57:57,16.624,N,58.024,W
8/21/2014,18:59:58,16.631,N,58.036,W
8/21/2014,19:01:58,16.639,N,58.048,W
8/21/2014,19:03:57,16.647,N,58.059,W
8/21/2014,19:05:58,16.654,N,58.071,W
8/21/2014,19:07:58,16.662,N,58.082,W
8/21/2014,19:09:57,16.67,N,58.094,W
8/21/2014,19:11:57,16.678,N,58.105,W
8/21/2014,19:13:58,16.686,N,58.116,W
8/21/2014,19:15:58,16.693,N,58.127,W
8/21/2014,19:17:57,16.701,N,58.138,W
8/21/2014,19:19:57,16.709,N,58.149,W
8/21/2014,19:21:58,16.717,N,58.16,W
8/21/2014,19:23:58,16.725,N,58.171,W
8/21/2014,19:25:57,16.733,N,58.182,W
8/21/2014,19:27:57,16.742,N,58.193,W
8/21/2014,19:29:58,16.75,N,58.204,W
8/21/2014,19:31:58,16.758,N,58.214,W
8/21/2014,19:33:57,16.766,N,58.225,W
8/21/2014,19:35:58,16.774,N,58.235,W
8/21/2014,19:37:58,16.783,N,58.245,W
8/21/2014,19:39:57,16.791,N,58.256,W
8/21/2014,19:41:57,16.8,N,58.266,W
8/21/2014,19:43:58,16.808,N,58.276,W
8/21/2014,19:45:58,16.817,N,58.286,W
8/21/2014,19:47:57,16.825,N,58.296,W
8/21/2014,19:49:57,16.834,N,58.305,W
8/21/2014,19:51:58,16.843,N,58.315,W
8/21/2014,19:53:58,16.851,N,58.324,W
8/21/2014,19:55:57,16.86,N,58.334,W
8/21/2014,19:57:57,16.869,N,58.343,W
8/21/2014,19:59:58,16.878,N,58.353,W
8/21/2014,20:01:58,16.887,N,58.362,W
8/21/2014,20:03:57,16.896,N,58.371,W
8/21/2014,20:05:58,16.905,N,58.38,W
8/21/2014,20:07:58,16.914,N,58.388,W
8/21/2014,20:09:57,16.923,N,58.397,W
8/21/2014,20:11:57,16.933,N,58.406,W
8/21/2014,20:13:58,16.942,N,58.414,W
8/21/2014,20:15:58,16.951,N,58.422,W
8/21/2014,20:17:57,16.961,N,58.431,W
8/21/2014,20:19:57,16.97,N,58.439,W
8/21/2014,20:21:58,16.98,N,58.447,W
8/21/2014,20:23:58,16.99,N,58.454,W
8/21/2014,20:25:57,16.999,N,58.462,W
8/21/2014,20:27:57,17.009,N,58.47,W
8/21/2014,20:29:58,17.019,N,58.477,W
8/21/2014,20:31:58,17.029,N,58.484,W
8/21/2014,20:32:24,17.031,N,58.486,W
8/21/2014,20:34:24,17.04,N,58.495,W
8/21/2014,20:36:23,17.049,N,58.504,W
8/21/2014,20:38:23,17.058,N,58.513,W
8/21/2014,20:40:24,17.067,N,58.522,W
8/21/2014,20:42:24,17.076,N,58.531,W
8/21/2014,20:44:23,17.085,N,58.54,W
8/21/2014,20:46:23,17.094,N,58.549,W
8/21/2014,20:48:24,17.103,N,58.559,W
8/21/2014,20:50:24,17.112,N,58.568,W
8/21/2014,20:52:23,17.121,N,58.577,W
8/21/2014,20:54:23,17.13,N,58.586,W
8/21/2014,20:56:24,17.138,N,58.595,W
8/21/2014,20:58:24,17.147,N,58.604,W
