Track,for,Fay,2014,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/10/2014,11:53:59,23.483,N,63.289,W
10/10/2014,11:56:00,23.489,N,63.292,W
10/10/2014,11:57:59,23.494,N,63.296,W
10/10/2014,12:00:00,23.5,N,63.3,W
10/10/2014,12:02:00,23.506,N,63.304,W
10/10/2014,12:03:59,23.511,N,63.308,W
10/10/2014,12:06:00,23.517,N,63.311,W
10/10/2014,12:07:59,23.523,N,63.315,W
10/10/2014,12:10:00,23.528,N,63.319,W
10/10/2014,12:11:59,23.534,N,63.323,W
10/10/2014,12:14:00,23.539,N,63.326,W
10/10/2014,12:15:59,23.545,N,63.33,W
10/10/2014,12:18:00,23.551,N,63.334,W
10/10/2014,12:19:59,23.556,N,63.338,W
10/10/2014,12:22:00,23.562,N,63.341,W
10/10/2014,12:23:59,23.568,N,63.345,W
10/10/2014,12:26:00,23.573,N,63.349,W
10/10/2014,12:27:59,23.579,N,63.353,W
10/10/2014,12:30:00,23.584,N,63.357,W
10/10/2014,12:32:00,23.59,N,63.36,W
10/10/2014,12:33:59,23.596,N,63.364,W
10/10/2014,12:36:00,23.601,N,63.368,W
10/10/2014,12:37:59,23.607,N,63.372,W
10/10/2014,12:40:00,23.613,N,63.375,W
10/10/2014,12:41:59,23.618,N,63.379,W
10/10/2014,12:44:00,23.624,N,63.383,W
10/10/2014,12:45:59,23.63,N,63.387,W
10/10/2014,12:48:00,23.635,N,63.39,W
10/10/2014,12:49:59,23.641,N,63.394,W
10/10/2014,12:52:00,23.646,N,63.398,W
10/10/2014,12:53:59,23.652,N,63.402,W
10/10/2014,12:56:00,23.658,N,63.405,W
10/10/2014,12:57:59,23.663,N,63.409,W
10/10/2014,13:00:00,23.669,N,63.413,W
10/10/2014,13:02:00,23.675,N,63.417,W
10/10/2014,13:03:59,23.68,N,63.421,W
10/10/2014,13:06:00,23.686,N,63.424,W
10/10/2014,13:07:59,23.691,N,63.428,W
10/10/2014,13:10:00,23.697,N,63.432,W
10/10/2014,13:11:59,23.703,N,63.436,W
10/10/2014,13:14:00,23.708,N,63.439,W
10/10/2014,13:15:59,23.714,N,63.443,W
10/10/2014,13:18:00,23.72,N,63.447,W
10/10/2014,13:19:59,23.725,N,63.451,W
10/10/2014,13:22:00,23.731,N,63.454,W
10/10/2014,13:23:59,23.736,N,63.458,W
10/10/2014,13:26:00,23.742,N,63.462,W
10/10/2014,13:27:59,23.748,N,63.466,W
10/10/2014,13:30:00,23.753,N,63.469,W
10/10/2014,13:32:00,23.759,N,63.473,W
10/10/2014,13:33:59,23.765,N,63.477,W
10/10/2014,13:36:00,23.77,N,63.481,W
10/10/2014,13:37:59,23.776,N,63.484,W
10/10/2014,13:40:00,23.782,N,63.488,W
10/10/2014,13:41:59,23.787,N,63.492,W
10/10/2014,13:44:00,23.793,N,63.496,W
10/10/2014,13:45:59,23.798,N,63.499,W
10/10/2014,13:48:00,23.804,N,63.503,W
10/10/2014,13:49:59,23.81,N,63.507,W
10/10/2014,13:52:00,23.815,N,63.511,W
10/10/2014,13:53:59,23.821,N,63.514,W
10/10/2014,13:56:00,23.826,N,63.518,W
10/10/2014,13:57:59,23.832,N,63.522,W
10/10/2014,14:00:00,23.838,N,63.526,W
10/10/2014,14:02:00,23.843,N,63.529,W
10/10/2014,14:03:59,23.849,N,63.533,W
10/10/2014,14:06:00,23.855,N,63.537,W
10/10/2014,14:07:59,23.86,N,63.541,W
10/10/2014,14:10:00,23.866,N,63.544,W
10/10/2014,14:11:59,23.871,N,63.548,W
10/10/2014,14:14:00,23.877,N,63.552,W
10/10/2014,14:15:59,23.883,N,63.556,W
10/10/2014,14:18:00,23.888,N,63.559,W
10/10/2014,14:19:59,23.894,N,63.563,W
10/10/2014,14:22:00,23.9,N,63.567,W
10/10/2014,14:23:59,23.905,N,63.571,W
10/10/2014,14:26:00,23.911,N,63.574,W
10/10/2014,14:27:59,23.916,N,63.578,W
10/10/2014,14:30:00,23.922,N,63.582,W
10/10/2014,14:32:00,23.928,N,63.586,W
10/10/2014,14:33:59,23.933,N,63.589,W
10/10/2014,14:36:00,23.939,N,63.593,W
10/10/2014,14:37:59,23.944,N,63.597,W
10/10/2014,14:40:00,23.95,N,63.601,W
10/10/2014,14:41:59,23.956,N,63.604,W
10/10/2014,14:44:00,23.961,N,63.608,W
10/10/2014,14:45:59,23.967,N,63.612,W
10/10/2014,14:48:00,23.972,N,63.615,W
10/10/2014,14:49:59,23.978,N,63.619,W
10/10/2014,14:52:00,23.984,N,63.623,W
10/10/2014,14:53:59,23.989,N,63.627,W
10/10/2014,14:56:00,23.995,N,63.63,W
10/10/2014,14:57:59,24.001,N,63.634,W
10/10/2014,15:00:00,24.006,N,63.638,W
10/10/2014,15:02:00,24.012,N,63.642,W
10/10/2014,15:03:59,24.017,N,63.645,W
10/10/2014,15:06:00,24.023,N,63.649,W
10/10/2014,15:07:59,24.029,N,63.653,W
