Track,for,Kate,2015,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
11/9/2015,5:54:00,23.388,N,73.686,W
11/9/2015,5:56:00,23.392,N,73.691,W
11/9/2015,5:58:00,23.396,N,73.695,W
11/9/2015,6:00:00,23.4,N,73.7,W
11/9/2015,6:01:59,23.404,N,73.705,W
11/9/2015,6:03:59,23.408,N,73.709,W
11/9/2015,6:05:59,23.412,N,73.714,W
11/9/2015,6:07:59,23.416,N,73.719,W
11/9/2015,6:09:59,23.42,N,73.723,W
11/9/2015,6:11:59,23.424,N,73.728,W
11/9/2015,6:13:59,23.428,N,73.733,W
11/9/2015,6:16:00,23.432,N,73.737,W
11/9/2015,6:18:00,23.436,N,73.742,W
11/9/2015,6:20:00,23.44,N,73.747,W
11/9/2015,6:22:00,23.444,N,73.751,W
11/9/2015,6:24:00,23.448,N,73.756,W
11/9/2015,6:26:00,23.452,N,73.761,W
11/9/2015,6:28:00,23.456,N,73.765,W
11/9/2015,6:30:00,23.46,N,73.77,W
11/9/2015,6:31:59,23.464,N,73.775,W
11/9/2015,6:33:59,23.468,N,73.779,W
11/9/2015,6:35:59,23.472,N,73.784,W
11/9/2015,6:37:59,23.476,N,73.789,W
11/9/2015,6:39:59,23.48,N,73.793,W
11/9/2015,6:41:59,23.484,N,73.798,W
11/9/2015,6:43:59,23.488,N,73.803,W
11/9/2015,6:46:00,23.492,N,73.807,W
11/9/2015,6:48:00,23.496,N,73.812,W
11/9/2015,6:50:00,23.5,N,73.817,W
11/9/2015,6:52:00,23.504,N,73.821,W
11/9/2015,6:54:00,23.508,N,73.826,W
11/9/2015,6:56:00,23.512,N,73.831,W
11/9/2015,6:58:00,23.516,N,73.835,W
11/9/2015,7:00:00,23.52,N,73.84,W
11/9/2015,7:01:59,23.524,N,73.845,W
11/9/2015,7:03:59,23.528,N,73.85,W
11/9/2015,7:05:59,23.532,N,73.854,W
11/9/2015,7:07:59,23.536,N,73.859,W
11/9/2015,7:09:59,23.54,N,73.864,W
11/9/2015,7:11:59,23.544,N,73.868,W
11/9/2015,7:13:59,23.548,N,73.873,W
11/9/2015,7:16:00,23.552,N,73.878,W
11/9/2015,7:18:00,23.556,N,73.883,W
11/9/2015,7:20:00,23.56,N,73.887,W
11/9/2015,7:22:00,23.564,N,73.892,W
11/9/2015,7:24:00,23.568,N,73.897,W
11/9/2015,7:26:00,23.572,N,73.902,W
11/9/2015,7:28:00,23.576,N,73.906,W
11/9/2015,7:30:00,23.58,N,73.911,W
11/9/2015,7:31:59,23.584,N,73.916,W
11/9/2015,7:33:59,23.588,N,73.921,W
11/9/2015,7:35:59,23.592,N,73.926,W
11/9/2015,7:37:59,23.595,N,73.93,W
11/9/2015,7:39:59,23.599,N,73.935,W
11/9/2015,7:41:59,23.603,N,73.94,W
11/9/2015,7:43:59,23.607,N,73.945,W
11/9/2015,7:46:00,23.611,N,73.95,W
11/9/2015,7:48:00,23.615,N,73.954,W
11/9/2015,7:50:00,23.619,N,73.959,W
11/9/2015,7:52:00,23.623,N,73.964,W
11/9/2015,7:54:00,23.627,N,73.969,W
11/9/2015,7:56:00,23.631,N,73.974,W
11/9/2015,7:58:00,23.635,N,73.979,W
11/9/2015,8:00:00,23.639,N,73.984,W
11/9/2015,8:02:00,23.643,N,73.988,W
11/9/2015,8:03:59,23.647,N,73.993,W
11/9/2015,8:06:00,23.651,N,73.998,W
11/9/2015,8:07:59,23.655,N,74.003,W
11/9/2015,8:10:00,23.659,N,74.008,W
11/9/2015,8:11:59,23.663,N,74.013,W
11/9/2015,8:14:00,23.666,N,74.018,W
11/9/2015,8:15:59,23.67,N,74.023,W
11/9/2015,8:18:00,23.674,N,74.028,W
11/9/2015,8:19:59,23.678,N,74.033,W
11/9/2015,8:22:00,23.682,N,74.038,W
11/9/2015,8:23:59,23.686,N,74.043,W
11/9/2015,8:26:00,23.69,N,74.047,W
11/9/2015,8:27:59,23.694,N,74.052,W
11/9/2015,8:30:00,23.698,N,74.057,W
11/9/2015,8:32:00,23.702,N,74.062,W
11/9/2015,8:33:59,23.706,N,74.067,W
11/9/2015,8:36:00,23.709,N,74.072,W
11/9/2015,8:37:59,23.713,N,74.077,W
11/9/2015,8:40:00,23.717,N,74.082,W
11/9/2015,8:41:59,23.721,N,74.088,W
11/9/2015,8:44:00,23.725,N,74.093,W
11/9/2015,8:45:59,23.729,N,74.098,W
11/9/2015,8:48:00,23.733,N,74.103,W
11/9/2015,8:49:59,23.737,N,74.108,W
11/9/2015,8:52:00,23.74,N,74.113,W
11/9/2015,8:53:59,23.744,N,74.118,W
11/9/2015,8:56:00,23.748,N,74.123,W
11/9/2015,8:57:59,23.752,N,74.128,W
11/9/2015,9:00:00,23.756,N,74.133,W
11/9/2015,9:02:00,23.76,N,74.138,W
11/9/2015,9:03:59,23.764,N,74.144,W
11/9/2015,9:06:00,23.767,N,74.149,W
11/9/2015,9:07:59,23.771,N,74.154,W
