Track,for,Bonnie,2016,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
5/27/2016,11:53:59,27.683,N,73.08,W
5/27/2016,11:56:00,27.688,N,73.087,W
5/27/2016,11:57:59,27.694,N,73.093,W
5/27/2016,12:00:00,27.7,N,73.1,W
5/27/2016,12:02:00,27.706,N,73.107,W
5/27/2016,12:03:59,27.712,N,73.113,W
5/27/2016,12:06:00,27.717,N,73.12,W
5/27/2016,12:07:59,27.723,N,73.126,W
5/27/2016,12:10:00,27.729,N,73.133,W
5/27/2016,12:11:59,27.735,N,73.139,W
5/27/2016,12:14:00,27.74,N,73.146,W
5/27/2016,12:15:59,27.746,N,73.152,W
5/27/2016,12:18:00,27.752,N,73.159,W
5/27/2016,12:19:59,27.758,N,73.165,W
5/27/2016,12:22:00,27.764,N,73.172,W
5/27/2016,12:23:59,27.769,N,73.179,W
5/27/2016,12:26:00,27.775,N,73.185,W
5/27/2016,12:27:59,27.781,N,73.192,W
5/27/2016,12:30:00,27.787,N,73.198,W
5/27/2016,12:32:00,27.792,N,73.205,W
5/27/2016,12:33:59,27.798,N,73.211,W
5/27/2016,12:36:00,27.804,N,73.218,W
5/27/2016,12:37:59,27.809,N,73.224,W
5/27/2016,12:40:00,27.815,N,73.231,W
5/27/2016,12:41:59,27.821,N,73.237,W
5/27/2016,12:44:00,27.827,N,73.244,W
5/27/2016,12:45:59,27.832,N,73.25,W
5/27/2016,12:48:00,27.838,N,73.257,W
5/27/2016,12:49:59,27.844,N,73.263,W
5/27/2016,12:52:00,27.849,N,73.27,W
5/27/2016,12:53:59,27.855,N,73.276,W
5/27/2016,12:56:00,27.86,N,73.283,W
5/27/2016,12:57:59,27.866,N,73.289,W
5/27/2016,13:00:00,27.872,N,73.296,W
5/27/2016,13:02:00,27.877,N,73.302,W
5/27/2016,13:03:59,27.883,N,73.309,W
5/27/2016,13:06:00,27.888,N,73.315,W
5/27/2016,13:07:59,27.894,N,73.322,W
5/27/2016,13:10:00,27.899,N,73.328,W
5/27/2016,13:11:59,27.905,N,73.335,W
5/27/2016,13:14:00,27.91,N,73.341,W
5/27/2016,13:15:59,27.916,N,73.348,W
5/27/2016,13:18:00,27.921,N,73.354,W
5/27/2016,13:19:59,27.927,N,73.361,W
5/27/2016,13:22:00,27.932,N,73.367,W
5/27/2016,13:23:59,27.938,N,73.374,W
5/27/2016,13:26:00,27.943,N,73.38,W
5/27/2016,13:27:59,27.948,N,73.386,W
5/27/2016,13:30:00,27.954,N,73.393,W
5/27/2016,13:32:00,27.959,N,73.399,W
5/27/2016,13:33:59,27.964,N,73.406,W
5/27/2016,13:36:00,27.97,N,73.412,W
5/27/2016,13:37:59,27.975,N,73.419,W
5/27/2016,13:40:00,27.98,N,73.425,W
5/27/2016,13:41:59,27.985,N,73.431,W
5/27/2016,13:44:00,27.991,N,73.438,W
5/27/2016,13:45:59,27.996,N,73.444,W
5/27/2016,13:48:00,28.001,N,73.451,W
5/27/2016,13:49:59,28.006,N,73.457,W
5/27/2016,13:52:00,28.011,N,73.463,W
5/27/2016,13:53:59,28.016,N,73.47,W
5/27/2016,13:56:00,28.021,N,73.476,W
5/27/2016,13:57:59,28.026,N,73.482,W
5/27/2016,14:00:00,28.031,N,73.489,W
5/27/2016,14:02:00,28.036,N,73.495,W
5/27/2016,14:03:59,28.041,N,73.501,W
5/27/2016,14:06:00,28.046,N,73.508,W
5/27/2016,14:07:59,28.051,N,73.514,W
5/27/2016,14:10:00,28.056,N,73.52,W
5/27/2016,14:11:59,28.061,N,73.527,W
5/27/2016,14:14:00,28.066,N,73.533,W
5/27/2016,14:15:59,28.07,N,73.539,W
5/27/2016,14:18:00,28.075,N,73.546,W
5/27/2016,14:19:59,28.08,N,73.552,W
5/27/2016,14:22:00,28.084,N,73.558,W
5/27/2016,14:23:59,28.089,N,73.564,W
5/27/2016,14:26:00,28.094,N,73.571,W
5/27/2016,14:27:59,28.098,N,73.577,W
5/27/2016,14:30:00,28.103,N,73.583,W
5/27/2016,14:32:00,28.107,N,73.589,W
5/27/2016,14:33:59,28.112,N,73.596,W
5/27/2016,14:36:00,28.116,N,73.602,W
5/27/2016,14:37:59,28.121,N,73.608,W
5/27/2016,14:40:00,28.125,N,73.614,W
5/27/2016,14:41:59,28.13,N,73.62,W
5/27/2016,14:44:00,28.134,N,73.627,W
5/27/2016,14:45:59,28.138,N,73.633,W
5/27/2016,14:48:00,28.142,N,73.639,W
5/27/2016,14:49:59,28.147,N,73.645,W
5/27/2016,14:52:00,28.151,N,73.651,W
5/27/2016,14:53:59,28.155,N,73.657,W
5/27/2016,14:56:00,28.159,N,73.663,W
5/27/2016,14:57:59,28.163,N,73.67,W
5/27/2016,15:00:00,28.167,N,73.676,W
5/27/2016,15:02:00,28.171,N,73.682,W
5/27/2016,15:03:59,28.175,N,73.688,W
5/27/2016,15:06:00,28.179,N,73.694,W
5/27/2016,15:07:59,28.183,N,73.7,W
