Track,for,Danielle,2016,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/19/2016,11:53:59,19.898,N,94.09,W
6/19/2016,11:56:00,19.898,N,94.093,W
6/19/2016,11:57:59,19.899,N,94.097,W
6/19/2016,12:00:00,19.9,N,94.1,W
6/19/2016,12:02:00,19.901,N,94.103,W
6/19/2016,12:03:59,19.902,N,94.107,W
6/19/2016,12:06:00,19.902,N,94.11,W
6/19/2016,12:07:59,19.903,N,94.113,W
6/19/2016,12:10:00,19.904,N,94.117,W
6/19/2016,12:11:59,19.905,N,94.12,W
6/19/2016,12:14:00,19.906,N,94.124,W
6/19/2016,12:15:59,19.906,N,94.127,W
6/19/2016,12:18:00,19.907,N,94.13,W
6/19/2016,12:19:59,19.908,N,94.134,W
6/19/2016,12:22:00,19.909,N,94.137,W
6/19/2016,12:23:59,19.91,N,94.14,W
6/19/2016,12:26:00,19.91,N,94.144,W
6/19/2016,12:27:59,19.911,N,94.147,W
6/19/2016,12:30:00,19.912,N,94.15,W
6/19/2016,12:32:00,19.913,N,94.154,W
6/19/2016,12:33:59,19.913,N,94.157,W
6/19/2016,12:36:00,19.914,N,94.16,W
6/19/2016,12:37:59,19.915,N,94.164,W
6/19/2016,12:40:00,19.916,N,94.167,W
6/19/2016,12:41:59,19.917,N,94.17,W
6/19/2016,12:44:00,19.917,N,94.174,W
6/19/2016,12:45:59,19.918,N,94.177,W
6/19/2016,12:48:00,19.919,N,94.18,W
6/19/2016,12:49:59,19.92,N,94.184,W
6/19/2016,12:52:00,19.92,N,94.187,W
6/19/2016,12:53:59,19.921,N,94.19,W
6/19/2016,12:56:00,19.922,N,94.194,W
6/19/2016,12:57:59,19.923,N,94.197,W
6/19/2016,13:00:00,19.923,N,94.2,W
6/19/2016,13:02:00,19.924,N,94.204,W
6/19/2016,13:03:59,19.925,N,94.207,W
6/19/2016,13:06:00,19.925,N,94.21,W
6/19/2016,13:07:59,19.926,N,94.214,W
6/19/2016,13:10:00,19.927,N,94.217,W
6/19/2016,13:11:59,19.928,N,94.22,W
6/19/2016,13:14:00,19.928,N,94.223,W
6/19/2016,13:15:59,19.929,N,94.227,W
6/19/2016,13:18:00,19.93,N,94.23,W
6/19/2016,13:19:59,19.93,N,94.233,W
6/19/2016,13:22:00,19.931,N,94.237,W
6/19/2016,13:23:59,19.932,N,94.24,W
6/19/2016,13:26:00,19.932,N,94.243,W
6/19/2016,13:27:59,19.933,N,94.246,W
6/19/2016,13:30:00,19.934,N,94.25,W
6/19/2016,13:32:00,19.934,N,94.253,W
6/19/2016,13:33:59,19.935,N,94.256,W
6/19/2016,13:36:00,19.935,N,94.259,W
6/19/2016,13:37:59,19.936,N,94.263,W
6/19/2016,13:40:00,19.937,N,94.266,W
6/19/2016,13:41:59,19.937,N,94.269,W
6/19/2016,13:44:00,19.938,N,94.272,W
6/19/2016,13:45:59,19.938,N,94.275,W
6/19/2016,13:48:00,19.939,N,94.279,W
6/19/2016,13:49:59,19.94,N,94.282,W
6/19/2016,13:52:00,19.94,N,94.285,W
6/19/2016,13:53:59,19.941,N,94.288,W
6/19/2016,13:56:00,19.941,N,94.291,W
6/19/2016,13:57:59,19.942,N,94.294,W
6/19/2016,14:00:00,19.942,N,94.298,W
6/19/2016,14:02:00,19.943,N,94.301,W
6/19/2016,14:03:59,19.943,N,94.304,W
6/19/2016,14:06:00,19.944,N,94.307,W
6/19/2016,14:07:59,19.944,N,94.31,W
6/19/2016,14:10:00,19.945,N,94.313,W
6/19/2016,14:11:59,19.945,N,94.316,W
6/19/2016,14:14:00,19.946,N,94.319,W
6/19/2016,14:15:59,19.946,N,94.323,W
6/19/2016,14:18:00,19.947,N,94.326,W
6/19/2016,14:19:59,19.947,N,94.329,W
6/19/2016,14:22:00,19.947,N,94.332,W
6/19/2016,14:23:59,19.948,N,94.335,W
6/19/2016,14:26:00,19.948,N,94.338,W
6/19/2016,14:27:59,19.949,N,94.341,W
6/19/2016,14:30:00,19.949,N,94.344,W
6/19/2016,14:32:00,19.949,N,94.347,W
6/19/2016,14:33:59,19.95,N,94.35,W
6/19/2016,14:36:00,19.95,N,94.353,W
6/19/2016,14:37:59,19.95,N,94.356,W
6/19/2016,14:40:00,19.951,N,94.359,W
6/19/2016,14:41:59,19.951,N,94.362,W
6/19/2016,14:44:00,19.951,N,94.365,W
6/19/2016,14:45:59,19.952,N,94.368,W
6/19/2016,14:48:00,19.952,N,94.371,W
6/19/2016,14:49:59,19.952,N,94.374,W
6/19/2016,14:52:00,19.952,N,94.377,W
6/19/2016,14:53:59,19.953,N,94.38,W
6/19/2016,14:56:00,19.953,N,94.383,W
6/19/2016,14:57:59,19.953,N,94.386,W
6/19/2016,15:00:00,19.953,N,94.388,W
6/19/2016,15:02:00,19.953,N,94.391,W
6/19/2016,15:03:59,19.953,N,94.394,W
6/19/2016,15:06:00,19.954,N,94.397,W
6/19/2016,15:07:59,19.954,N,94.4,W
