Track,for,TD08,2016,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/28/2016,11:53:59,31.508,N,69.579,W
8/28/2016,11:56:00,31.505,N,69.586,W
8/28/2016,11:57:59,31.503,N,69.593,W
8/28/2016,12:00:00,31.5,N,69.6,W
8/28/2016,12:02:00,31.497,N,69.607,W
8/28/2016,12:03:59,31.495,N,69.614,W
8/28/2016,12:06:00,31.492,N,69.621,W
8/28/2016,12:07:59,31.489,N,69.629,W
8/28/2016,12:10:00,31.486,N,69.636,W
8/28/2016,12:11:59,31.484,N,69.643,W
8/28/2016,12:14:00,31.481,N,69.65,W
8/28/2016,12:15:59,31.478,N,69.657,W
8/28/2016,12:18:00,31.475,N,69.664,W
8/28/2016,12:19:59,31.473,N,69.672,W
8/28/2016,12:22:00,31.47,N,69.679,W
8/28/2016,12:23:59,31.467,N,69.686,W
8/28/2016,12:26:00,31.465,N,69.693,W
8/28/2016,12:27:59,31.462,N,69.7,W
8/28/2016,12:30:00,31.459,N,69.707,W
8/28/2016,12:32:00,31.457,N,69.714,W
8/28/2016,12:33:59,31.454,N,69.721,W
8/28/2016,12:36:00,31.451,N,69.729,W
8/28/2016,12:37:59,31.449,N,69.736,W
8/28/2016,12:40:00,31.446,N,69.743,W
8/28/2016,12:41:59,31.443,N,69.75,W
8/28/2016,12:44:00,31.441,N,69.757,W
8/28/2016,12:45:59,31.438,N,69.764,W
8/28/2016,12:48:00,31.436,N,69.771,W
8/28/2016,12:49:59,31.433,N,69.778,W
8/28/2016,12:52:00,31.43,N,69.785,W
8/28/2016,12:53:59,31.428,N,69.792,W
8/28/2016,12:56:00,31.425,N,69.799,W
8/28/2016,12:57:59,31.423,N,69.806,W
8/28/2016,13:00:00,31.42,N,69.813,W
8/28/2016,13:02:00,31.418,N,69.82,W
8/28/2016,13:03:59,31.415,N,69.827,W
8/28/2016,13:06:00,31.413,N,69.834,W
8/28/2016,13:07:59,31.41,N,69.841,W
8/28/2016,13:10:00,31.408,N,69.848,W
8/28/2016,13:11:59,31.406,N,69.855,W
8/28/2016,13:14:00,31.403,N,69.862,W
8/28/2016,13:15:59,31.401,N,69.869,W
8/28/2016,13:18:00,31.399,N,69.876,W
8/28/2016,13:19:59,31.396,N,69.883,W
8/28/2016,13:22:00,31.394,N,69.89,W
8/28/2016,13:23:59,31.392,N,69.897,W
8/28/2016,13:26:00,31.389,N,69.904,W
8/28/2016,13:27:59,31.387,N,69.911,W
8/28/2016,13:30:00,31.385,N,69.918,W
8/28/2016,13:32:00,31.383,N,69.924,W
8/28/2016,13:33:59,31.381,N,69.931,W
8/28/2016,13:36:00,31.379,N,69.938,W
8/28/2016,13:37:59,31.377,N,69.945,W
8/28/2016,13:40:00,31.374,N,69.952,W
8/28/2016,13:41:59,31.372,N,69.959,W
8/28/2016,13:44:00,31.37,N,69.965,W
8/28/2016,13:45:59,31.368,N,69.972,W
8/28/2016,13:48:00,31.366,N,69.979,W
8/28/2016,13:49:59,31.365,N,69.986,W
8/28/2016,13:52:00,31.363,N,69.992,W
8/28/2016,13:53:59,31.361,N,69.999,W
8/28/2016,13:56:00,31.359,N,70.006,W
8/28/2016,13:57:59,31.357,N,70.012,W
8/28/2016,14:00:00,31.355,N,70.019,W
8/28/2016,14:02:00,31.354,N,70.025,W
8/28/2016,14:03:59,31.352,N,70.032,W
8/28/2016,14:06:00,31.35,N,70.039,W
8/28/2016,14:07:59,31.349,N,70.045,W
8/28/2016,14:10:00,31.347,N,70.052,W
8/28/2016,14:11:59,31.345,N,70.058,W
8/28/2016,14:14:00,31.344,N,70.065,W
8/28/2016,14:15:59,31.342,N,70.071,W
8/28/2016,14:18:00,31.341,N,70.078,W
8/28/2016,14:19:59,31.34,N,70.084,W
8/28/2016,14:22:00,31.338,N,70.091,W
8/28/2016,14:23:59,31.337,N,70.097,W
8/28/2016,14:26:00,31.336,N,70.103,W
8/28/2016,14:27:59,31.334,N,70.11,W
8/28/2016,14:30:00,31.333,N,70.116,W
8/28/2016,14:32:00,31.332,N,70.122,W
8/28/2016,14:33:59,31.331,N,70.129,W
8/28/2016,14:36:00,31.33,N,70.135,W
8/28/2016,14:37:59,31.329,N,70.141,W
8/28/2016,14:40:00,31.328,N,70.147,W
8/28/2016,14:41:59,31.327,N,70.154,W
8/28/2016,14:44:00,31.326,N,70.16,W
8/28/2016,14:45:59,31.325,N,70.166,W
8/28/2016,14:48:00,31.324,N,70.172,W
8/28/2016,14:49:59,31.323,N,70.178,W
8/28/2016,14:52:00,31.322,N,70.184,W
8/28/2016,14:53:59,31.322,N,70.19,W
8/28/2016,14:56:00,31.321,N,70.196,W
8/28/2016,14:57:59,31.32,N,70.202,W
8/28/2016,15:00:00,31.32,N,70.208,W
8/28/2016,15:02:00,31.319,N,70.214,W
8/28/2016,15:03:59,31.319,N,70.22,W
8/28/2016,15:06:00,31.319,N,70.226,W
8/28/2016,15:07:59,31.318,N,70.232,W
