Track,for,Harvey,2017,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/17/2017,20:16:18,12.996,N,55.886,W
8/17/2017,20:18:18,12.995,N,55.888,W
8/17/2017,20:20:17,12.995,N,55.89,W
8/17/2017,20:22:17,12.994,N,55.892,W
8/17/2017,20:24:18,12.993,N,55.894,W
8/17/2017,20:26:18,12.993,N,55.896,W
8/17/2017,20:28:17,12.992,N,55.898,W
8/17/2017,20:30:17,12.991,N,55.9,W
8/17/2017,20:32:18,12.991,N,55.902,W
8/17/2017,20:34:18,12.99,N,55.904,W
8/17/2017,20:36:17,12.989,N,55.906,W
8/17/2017,20:38:18,12.988,N,55.908,W
8/17/2017,20:40:18,12.988,N,55.91,W
8/17/2017,20:42:17,12.987,N,55.912,W
8/17/2017,20:44:17,12.986,N,55.914,W
8/17/2017,20:46:18,12.986,N,55.916,W
8/17/2017,20:48:18,12.985,N,55.919,W
8/17/2017,20:50:17,12.984,N,55.921,W
8/17/2017,20:52:17,12.983,N,55.923,W
8/17/2017,20:54:18,12.982,N,55.925,W
8/17/2017,20:56:18,12.982,N,55.928,W
8/17/2017,20:58:17,12.981,N,55.93,W
8/17/2017,21:00:17,12.98,N,55.933,W
8/17/2017,21:02:18,12.979,N,55.935,W
8/17/2017,21:04:18,12.978,N,55.938,W
8/17/2017,21:06:17,12.977,N,55.941,W
8/17/2017,21:08:18,12.976,N,55.943,W
8/17/2017,21:10:18,12.975,N,55.946,W
8/17/2017,21:12:17,12.974,N,55.949,W
8/17/2017,21:14:17,12.973,N,55.952,W
8/17/2017,21:16:18,12.972,N,55.955,W
8/17/2017,21:18:18,12.971,N,55.958,W
8/17/2017,21:20:17,12.97,N,55.962,W
8/17/2017,21:22:17,12.969,N,55.965,W
8/17/2017,21:24:18,12.968,N,55.968,W
8/17/2017,21:26:18,12.967,N,55.972,W
8/17/2017,21:28:17,12.966,N,55.976,W
8/17/2017,21:30:17,12.965,N,55.979,W
8/17/2017,21:32:18,12.963,N,55.983,W
8/17/2017,21:34:18,12.962,N,55.987,W
8/17/2017,21:36:17,12.961,N,55.991,W
8/17/2017,21:38:18,12.959,N,55.995,W
8/17/2017,21:40:18,12.958,N,56,W
8/17/2017,21:42:17,12.957,N,56.004,W
8/17/2017,21:44:17,12.955,N,56.009,W
8/17/2017,21:46:18,12.954,N,56.013,W
8/17/2017,21:48:18,12.952,N,56.018,W
8/17/2017,21:50:17,12.951,N,56.023,W
8/17/2017,21:52:17,12.949,N,56.028,W
8/17/2017,21:54:18,12.947,N,56.034,W
8/17/2017,21:56:18,12.946,N,56.039,W
8/17/2017,21:58:17,12.944,N,56.044,W
8/17/2017,22:00:17,12.942,N,56.05,W
8/17/2017,22:02:18,12.94,N,56.056,W
8/17/2017,22:04:18,12.938,N,56.062,W
8/17/2017,22:06:17,12.937,N,56.068,W
8/17/2017,22:08:18,12.935,N,56.075,W
8/17/2017,22:10:18,12.933,N,56.081,W
8/17/2017,22:12:17,12.93,N,56.088,W
8/17/2017,22:14:17,12.928,N,56.095,W
8/17/2017,22:16:18,12.926,N,56.102,W
8/17/2017,22:18:18,12.924,N,56.109,W
8/17/2017,22:20:17,12.922,N,56.116,W
8/17/2017,22:22:17,12.919,N,56.124,W
8/17/2017,22:24:18,12.917,N,56.132,W
8/17/2017,22:26:18,12.914,N,56.139,W
8/17/2017,22:28:17,12.912,N,56.148,W
8/17/2017,22:30:17,12.909,N,56.156,W
8/17/2017,22:32:18,12.907,N,56.165,W
8/17/2017,22:34:18,12.904,N,56.173,W
8/17/2017,22:36:17,12.901,N,56.182,W
8/17/2017,22:38:18,12.899,N,56.191,W
8/17/2017,22:40:18,12.896,N,56.201,W
8/17/2017,22:42:17,12.893,N,56.211,W
8/17/2017,22:44:17,12.89,N,56.22,W
8/17/2017,22:46:18,12.887,N,56.23,W
8/17/2017,22:48:18,12.883,N,56.241,W
8/17/2017,22:50:17,12.88,N,56.251,W
8/17/2017,22:52:17,12.877,N,56.262,W
8/17/2017,22:54:18,12.874,N,56.273,W
8/17/2017,22:56:18,12.87,N,56.284,W
8/17/2017,22:58:17,12.867,N,56.296,W
8/17/2017,23:00:17,12.863,N,56.308,W
8/17/2017,23:02:18,12.86,N,56.32,W
8/17/2017,23:04:18,12.856,N,56.332,W
8/17/2017,23:06:17,12.852,N,56.344,W
8/17/2017,23:08:18,12.848,N,56.357,W
8/17/2017,23:08:54,12.847,N,56.361,W
8/17/2017,23:10:54,12.845,N,56.369,W
8/17/2017,23:12:55,12.842,N,56.377,W
8/17/2017,23:14:55,12.84,N,56.386,W
8/17/2017,23:16:54,12.838,N,56.394,W
8/17/2017,23:18:54,12.835,N,56.402,W
8/17/2017,23:20:55,12.833,N,56.41,W
8/17/2017,23:22:55,12.831,N,56.418,W
8/17/2017,23:24:54,12.829,N,56.427,W
8/17/2017,23:26:54,12.826,N,56.435,W
8/17/2017,23:28:55,12.824,N,56.443,W
