Track,for,Jose,2017,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/8/2017,11:47:39,16.095,N,56.358,W
9/8/2017,11:49:40,16.097,N,56.366,W
9/8/2017,11:51:39,16.098,N,56.375,W
9/8/2017,11:53:40,16.1,N,56.383,W
9/8/2017,11:55:40,16.102,N,56.391,W
9/8/2017,11:57:39,16.103,N,56.4,W
9/8/2017,11:59:40,16.105,N,56.408,W
9/8/2017,12:01:39,16.106,N,56.416,W
9/8/2017,12:03:40,16.108,N,56.425,W
9/8/2017,12:05:39,16.11,N,56.433,W
9/8/2017,12:07:40,16.111,N,56.441,W
9/8/2017,12:09:39,16.113,N,56.45,W
9/8/2017,12:11:40,16.114,N,56.458,W
9/8/2017,12:13:39,16.116,N,56.466,W
9/8/2017,12:15:40,16.118,N,56.475,W
9/8/2017,12:17:39,16.119,N,56.483,W
9/8/2017,12:19:40,16.121,N,56.491,W
9/8/2017,12:21:39,16.122,N,56.5,W
9/8/2017,12:23:40,16.124,N,56.508,W
9/8/2017,12:25:40,16.126,N,56.516,W
9/8/2017,12:27:39,16.127,N,56.525,W
9/8/2017,12:29:40,16.129,N,56.533,W
9/8/2017,12:31:39,16.13,N,56.541,W
9/8/2017,12:33:40,16.132,N,56.55,W
9/8/2017,12:35:39,16.134,N,56.558,W
9/8/2017,12:37:40,16.135,N,56.566,W
9/8/2017,12:39:39,16.137,N,56.575,W
9/8/2017,12:41:40,16.138,N,56.583,W
9/8/2017,12:43:39,16.14,N,56.591,W
9/8/2017,12:45:40,16.142,N,56.6,W
9/8/2017,12:47:39,16.143,N,56.608,W
9/8/2017,12:49:40,16.145,N,56.616,W
9/8/2017,12:51:39,16.147,N,56.625,W
9/8/2017,12:53:40,16.148,N,56.633,W
9/8/2017,12:55:40,16.15,N,56.641,W
9/8/2017,12:57:39,16.151,N,56.649,W
9/8/2017,12:59:40,16.153,N,56.658,W
9/8/2017,13:01:39,16.155,N,56.666,W
9/8/2017,13:03:40,16.156,N,56.674,W
9/8/2017,13:05:39,16.158,N,56.683,W
9/8/2017,13:07:40,16.159,N,56.691,W
9/8/2017,13:09:39,16.161,N,56.699,W
9/8/2017,13:11:40,16.163,N,56.707,W
9/8/2017,13:13:39,16.164,N,56.716,W
9/8/2017,13:15:40,16.166,N,56.724,W
9/8/2017,13:17:39,16.167,N,56.732,W
9/8/2017,13:19:40,16.169,N,56.74,W
9/8/2017,13:21:39,16.171,N,56.749,W
9/8/2017,13:23:40,16.172,N,56.757,W
9/8/2017,13:25:40,16.174,N,56.765,W
9/8/2017,13:27:39,16.175,N,56.773,W
9/8/2017,13:29:40,16.177,N,56.782,W
9/8/2017,13:31:39,16.179,N,56.79,W
9/8/2017,13:33:40,16.18,N,56.798,W
9/8/2017,13:35:39,16.182,N,56.806,W
9/8/2017,13:37:40,16.183,N,56.815,W
9/8/2017,13:39:39,16.185,N,56.823,W
9/8/2017,13:41:40,16.187,N,56.831,W
9/8/2017,13:43:39,16.188,N,56.839,W
9/8/2017,13:45:40,16.19,N,56.847,W
9/8/2017,13:47:39,16.191,N,56.856,W
9/8/2017,13:49:40,16.193,N,56.864,W
9/8/2017,13:51:39,16.195,N,56.872,W
9/8/2017,13:53:40,16.196,N,56.88,W
9/8/2017,13:55:40,16.198,N,56.888,W
9/8/2017,13:57:39,16.199,N,56.897,W
9/8/2017,13:59:40,16.201,N,56.905,W
9/8/2017,14:01:39,16.203,N,56.913,W
9/8/2017,14:03:40,16.204,N,56.921,W
9/8/2017,14:05:39,16.206,N,56.929,W
9/8/2017,14:07:40,16.207,N,56.937,W
9/8/2017,14:09:39,16.209,N,56.946,W
9/8/2017,14:11:40,16.211,N,56.954,W
9/8/2017,14:13:39,16.212,N,56.962,W
9/8/2017,14:15:40,16.214,N,56.97,W
9/8/2017,14:17:39,16.215,N,56.978,W
9/8/2017,14:19:40,16.217,N,56.986,W
9/8/2017,14:21:39,16.218,N,56.994,W
9/8/2017,14:23:40,16.22,N,57.002,W
9/8/2017,14:25:40,16.222,N,57.01,W
9/8/2017,14:27:39,16.223,N,57.018,W
9/8/2017,14:29:40,16.225,N,57.027,W
9/8/2017,14:31:39,16.226,N,57.035,W
9/8/2017,14:33:40,16.228,N,57.043,W
9/8/2017,14:35:39,16.23,N,57.051,W
9/8/2017,14:37:40,16.231,N,57.059,W
9/8/2017,14:39:39,16.233,N,57.067,W
9/8/2017,14:41:40,16.234,N,57.075,W
9/8/2017,14:43:39,16.236,N,57.083,W
9/8/2017,14:45:40,16.238,N,57.091,W
9/8/2017,14:47:39,16.239,N,57.099,W
9/8/2017,14:49:40,16.241,N,57.107,W
9/8/2017,14:51:39,16.242,N,57.115,W
9/8/2017,14:53:40,16.244,N,57.123,W
9/8/2017,14:55:40,16.246,N,57.131,W
9/8/2017,14:57:39,16.247,N,57.139,W
9/8/2017,14:59:40,16.249,N,57.147,W
9/8/2017,15:01:39,16.25,N,57.155,W
