Track,for,Kirk,2018,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/26/2018,14:14:51,12.023,N,54.163,W
9/26/2018,14:16:50,12.031,N,54.169,W
9/26/2018,14:18:51,12.038,N,54.176,W
9/26/2018,14:20:50,12.046,N,54.182,W
9/26/2018,14:22:51,12.054,N,54.188,W
9/26/2018,14:24:50,12.061,N,54.195,W
9/26/2018,14:26:51,12.069,N,54.201,W
9/26/2018,14:28:50,12.076,N,54.208,W
9/26/2018,14:30:51,12.084,N,54.214,W
9/26/2018,14:32:50,12.091,N,54.221,W
9/26/2018,14:34:51,12.099,N,54.227,W
9/26/2018,14:36:50,12.106,N,54.234,W
9/26/2018,14:38:51,12.113,N,54.24,W
9/26/2018,14:40:50,12.121,N,54.246,W
9/26/2018,14:42:50,12.128,N,54.253,W
9/26/2018,14:44:51,12.136,N,54.259,W
9/26/2018,14:46:50,12.143,N,54.266,W
9/26/2018,14:48:51,12.15,N,54.272,W
9/26/2018,14:50:50,12.158,N,54.279,W
9/26/2018,14:52:51,12.165,N,54.285,W
9/26/2018,14:54:50,12.172,N,54.292,W
9/26/2018,14:56:51,12.18,N,54.298,W
9/26/2018,14:58:50,12.187,N,54.305,W
9/26/2018,15:00:51,12.194,N,54.311,W
9/26/2018,15:02:50,12.201,N,54.318,W
9/26/2018,15:04:51,12.208,N,54.324,W
9/26/2018,15:06:50,12.215,N,54.331,W
9/26/2018,15:08:51,12.222,N,54.337,W
9/26/2018,15:10:50,12.229,N,54.344,W
9/26/2018,15:12:50,12.236,N,54.35,W
9/26/2018,15:14:51,12.243,N,54.357,W
9/26/2018,15:16:50,12.25,N,54.363,W
9/26/2018,15:18:51,12.257,N,54.37,W
9/26/2018,15:20:50,12.263,N,54.376,W
9/26/2018,15:22:51,12.27,N,54.383,W
9/26/2018,15:24:50,12.276,N,54.39,W
9/26/2018,15:26:51,12.283,N,54.396,W
9/26/2018,15:28:50,12.289,N,54.403,W
9/26/2018,15:30:51,12.296,N,54.409,W
9/26/2018,15:32:50,12.302,N,54.416,W
9/26/2018,15:34:51,12.308,N,54.423,W
9/26/2018,15:36:50,12.315,N,54.429,W
9/26/2018,15:38:51,12.321,N,54.436,W
9/26/2018,15:40:50,12.327,N,54.442,W
9/26/2018,15:42:50,12.333,N,54.449,W
9/26/2018,15:44:51,12.339,N,54.456,W
9/26/2018,15:46:50,12.345,N,54.462,W
9/26/2018,15:48:51,12.35,N,54.469,W
9/26/2018,15:50:50,12.356,N,54.476,W
9/26/2018,15:52:51,12.362,N,54.483,W
9/26/2018,15:54:50,12.367,N,54.489,W
9/26/2018,15:56:51,12.372,N,54.496,W
9/26/2018,15:58:50,12.378,N,54.503,W
9/26/2018,16:00:50,12.383,N,54.51,W
9/26/2018,16:02:51,12.388,N,54.516,W
9/26/2018,16:04:51,12.393,N,54.523,W
9/26/2018,16:06:50,12.398,N,54.53,W
9/26/2018,16:08:50,12.403,N,54.537,W
9/26/2018,16:10:51,12.408,N,54.544,W
9/26/2018,16:12:50,12.412,N,54.551,W
9/26/2018,16:14:50,12.417,N,54.557,W
9/26/2018,16:16:51,12.421,N,54.564,W
9/26/2018,16:18:51,12.425,N,54.571,W
9/26/2018,16:20:50,12.43,N,54.578,W
9/26/2018,16:22:50,12.434,N,54.585,W
9/26/2018,16:24:51,12.438,N,54.592,W
9/26/2018,16:26:51,12.441,N,54.599,W
9/26/2018,16:28:50,12.445,N,54.606,W
9/26/2018,16:30:50,12.449,N,54.613,W
9/26/2018,16:32:51,12.452,N,54.62,W
9/26/2018,16:34:51,12.456,N,54.627,W
9/26/2018,16:36:50,12.459,N,54.634,W
9/26/2018,16:38:50,12.462,N,54.641,W
9/26/2018,16:40:51,12.465,N,54.648,W
9/26/2018,16:42:50,12.468,N,54.655,W
9/26/2018,16:44:50,12.471,N,54.662,W
9/26/2018,16:46:51,12.473,N,54.67,W
9/26/2018,16:48:51,12.476,N,54.677,W
9/26/2018,16:50:50,12.478,N,54.684,W
9/26/2018,16:52:50,12.48,N,54.691,W
9/26/2018,16:54:51,12.482,N,54.698,W
9/26/2018,16:56:51,12.484,N,54.706,W
9/26/2018,16:58:50,12.486,N,54.713,W
9/26/2018,17:00:50,12.487,N,54.72,W
9/26/2018,17:02:51,12.489,N,54.728,W
9/26/2018,17:04:51,12.49,N,54.735,W
9/26/2018,17:06:50,12.491,N,54.742,W
9/26/2018,17:08:50,12.492,N,54.75,W
9/26/2018,17:10:51,12.493,N,54.757,W
9/26/2018,17:12:50,12.493,N,54.765,W
9/26/2018,17:14:50,12.494,N,54.772,W
9/26/2018,17:16:51,12.494,N,54.779,W
9/26/2018,17:18:51,12.494,N,54.787,W
9/26/2018,17:20:50,12.494,N,54.794,W
9/26/2018,17:22:50,12.494,N,54.802,W
9/26/2018,17:23:21,12.494,N,54.804,W
9/26/2018,17:25:21,12.496,N,54.811,W
9/26/2018,17:27:22,12.499,N,54.818,W
