Track,for,Ana,2009,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/15/2009,23:53:59,14.401,N,50.361,W
8/15/2009,23:55:59,14.401,N,50.374,W
8/15/2009,23:58:00,14.4,N,50.387,W
8/16/2009,0:00:00,14.4,N,50.4,W
8/16/2009,0:02:00,14.4,N,50.413,W
8/16/2009,0:04:00,14.399,N,50.426,W
8/16/2009,0:06:00,14.399,N,50.439,W
8/16/2009,0:08:00,14.399,N,50.452,W
8/16/2009,0:10:00,14.398,N,50.465,W
8/16/2009,0:12:00,14.398,N,50.478,W
8/16/2009,0:14:00,14.398,N,50.491,W
8/16/2009,0:16:00,14.397,N,50.504,W
8/16/2009,0:18:00,14.397,N,50.517,W
8/16/2009,0:20:00,14.397,N,50.53,W
8/16/2009,0:22:00,14.396,N,50.543,W
8/16/2009,0:24:00,14.396,N,50.556,W
8/16/2009,0:26:00,14.396,N,50.569,W
8/16/2009,0:28:00,14.395,N,50.583,W
8/16/2009,0:30:00,14.395,N,50.596,W
8/16/2009,0:32:00,14.395,N,50.609,W
8/16/2009,0:34:00,14.394,N,50.622,W
8/16/2009,0:36:00,14.394,N,50.635,W
8/16/2009,0:38:00,14.394,N,50.648,W
8/16/2009,0:40:00,14.393,N,50.661,W
8/16/2009,0:42:00,14.393,N,50.674,W
8/16/2009,0:44:00,14.393,N,50.687,W
8/16/2009,0:46:00,14.392,N,50.7,W
8/16/2009,0:48:00,14.392,N,50.713,W
8/16/2009,0:50:00,14.392,N,50.726,W
8/16/2009,0:52:00,14.391,N,50.739,W
8/16/2009,0:54:00,14.391,N,50.752,W
8/16/2009,0:56:00,14.391,N,50.765,W
8/16/2009,0:58:00,14.39,N,50.778,W
8/16/2009,1:00:00,14.39,N,50.791,W
8/16/2009,1:01:59,14.39,N,50.804,W
8/16/2009,1:04:00,14.389,N,50.817,W
8/16/2009,1:06:00,14.389,N,50.83,W
8/16/2009,1:07:59,14.389,N,50.843,W
8/16/2009,1:09:59,14.388,N,50.856,W
8/16/2009,1:12:00,14.388,N,50.869,W
8/16/2009,1:14:00,14.388,N,50.882,W
8/16/2009,1:15:59,14.388,N,50.895,W
8/16/2009,1:17:59,14.387,N,50.909,W
8/16/2009,1:20:00,14.387,N,50.922,W
8/16/2009,1:22:00,14.387,N,50.935,W
8/16/2009,1:23:59,14.386,N,50.948,W
8/16/2009,1:25:59,14.386,N,50.961,W
8/16/2009,1:28:00,14.386,N,50.974,W
8/16/2009,1:30:00,14.385,N,50.987,W
8/16/2009,1:31:59,14.385,N,51,W
8/16/2009,1:34:00,14.385,N,51.013,W
8/16/2009,1:36:00,14.384,N,51.026,W
8/16/2009,1:38:00,14.384,N,51.039,W
8/16/2009,1:39:59,14.384,N,51.052,W
8/16/2009,1:42:00,14.383,N,51.065,W
8/16/2009,1:44:00,14.383,N,51.078,W
8/16/2009,1:46:00,14.383,N,51.091,W
8/16/2009,1:47:59,14.382,N,51.104,W
8/16/2009,1:50:00,14.382,N,51.117,W
8/16/2009,1:52:00,14.382,N,51.13,W
8/16/2009,1:54:00,14.381,N,51.143,W
8/16/2009,1:55:59,14.381,N,51.156,W
8/16/2009,1:58:00,14.381,N,51.169,W
8/16/2009,2:00:00,14.381,N,51.182,W
8/16/2009,2:01:59,14.38,N,51.196,W
8/16/2009,2:03:59,14.38,N,51.209,W
8/16/2009,2:05:59,14.38,N,51.222,W
8/16/2009,2:08:00,14.379,N,51.235,W
8/16/2009,2:10:00,14.379,N,51.248,W
8/16/2009,2:12:00,14.379,N,51.261,W
8/16/2009,2:14:00,14.378,N,51.274,W
8/16/2009,2:15:59,14.378,N,51.287,W
8/16/2009,2:17:59,14.378,N,51.3,W
8/16/2009,2:19:59,14.377,N,51.313,W
8/16/2009,2:21:59,14.377,N,51.326,W
8/16/2009,2:24:00,14.377,N,51.339,W
8/16/2009,2:26:00,14.377,N,51.352,W
8/16/2009,2:28:00,14.376,N,51.365,W
8/16/2009,2:30:00,14.376,N,51.378,W
8/16/2009,2:31:59,14.376,N,51.391,W
8/16/2009,2:33:59,14.375,N,51.404,W
8/16/2009,2:35:59,14.375,N,51.417,W
8/16/2009,2:38:00,14.375,N,51.43,W
8/16/2009,2:40:00,14.374,N,51.444,W
8/16/2009,2:42:00,14.374,N,51.457,W
8/16/2009,2:44:00,14.374,N,51.47,W
8/16/2009,2:46:00,14.374,N,51.483,W
8/16/2009,2:47:59,14.373,N,51.496,W
8/16/2009,2:49:59,14.373,N,51.509,W
8/16/2009,2:51:59,14.373,N,51.522,W
8/16/2009,2:54:00,14.372,N,51.535,W
8/16/2009,2:56:00,14.372,N,51.548,W
8/16/2009,2:58:00,14.372,N,51.561,W
8/16/2009,3:00:00,14.372,N,51.574,W
8/16/2009,3:01:59,14.371,N,51.587,W
8/16/2009,3:03:59,14.371,N,51.6,W
8/16/2009,3:05:59,14.371,N,51.613,W
8/16/2009,3:08:00,14.37,N,51.626,W
