Track,for,Arlene,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
6/8/2005,20:00:40,17.046,N,84.039,W,0
6/8/2005,20:02:40,17.048,N,84.036,W,0
6/8/2005,20:04:41,17.05,N,84.034,W,0
6/8/2005,20:06:41,17.052,N,84.031,W,0
6/8/2005,20:08:40,17.054,N,84.028,W,0
6/8/2005,20:10:40,17.056,N,84.026,W,0
6/8/2005,20:12:41,17.058,N,84.023,W,0
6/8/2005,20:14:41,17.06,N,84.02,W,0
6/8/2005,20:16:40,17.061,N,84.018,W,0
6/8/2005,20:18:40,17.063,N,84.015,W,0
6/8/2005,20:20:41,17.065,N,84.012,W,0
6/8/2005,20:22:41,17.067,N,84.01,W,0
6/8/2005,20:24:40,17.069,N,84.007,W,0
6/8/2005,20:26:41,17.071,N,84.005,W,0
6/8/2005,20:28:41,17.073,N,84.002,W,0
6/8/2005,20:30:40,17.075,N,84,W,0
6/8/2005,20:32:40,17.076,N,83.997,W,0
6/8/2005,20:34:41,17.078,N,83.995,W,0
6/8/2005,20:36:41,17.08,N,83.992,W,0
6/8/2005,20:38:40,17.082,N,83.99,W,0
6/8/2005,20:40:40,17.084,N,83.987,W,0
6/8/2005,20:42:41,17.086,N,83.985,W,0
6/8/2005,20:44:41,17.088,N,83.983,W,0
6/8/2005,20:46:40,17.09,N,83.98,W,0
6/8/2005,20:48:40,17.091,N,83.978,W,0
6/8/2005,20:50:41,17.093,N,83.976,W,0
6/8/2005,20:52:41,17.095,N,83.974,W,0
6/8/2005,20:54:40,17.097,N,83.972,W,0
6/8/2005,20:56:41,17.099,N,83.97,W,0
6/8/2005,20:58:41,17.101,N,83.968,W,0
6/8/2005,21:00:40,17.102,N,83.966,W,0
6/8/2005,21:02:40,17.104,N,83.964,W,0
6/8/2005,21:04:41,17.106,N,83.962,W,0
6/8/2005,21:06:41,17.108,N,83.96,W,0
6/8/2005,21:08:40,17.11,N,83.958,W,0
6/8/2005,21:10:40,17.112,N,83.957,W,0
6/8/2005,21:12:41,17.113,N,83.955,W,0
6/8/2005,21:14:41,17.115,N,83.954,W,0
6/8/2005,21:16:40,17.117,N,83.952,W,0
6/8/2005,21:18:40,17.119,N,83.951,W,0
6/8/2005,21:20:41,17.121,N,83.95,W,0
6/8/2005,21:22:41,17.122,N,83.949,W,0
6/8/2005,21:24:40,17.124,N,83.947,W,0
6/8/2005,21:26:41,17.126,N,83.946,W,0
6/8/2005,21:28:41,17.128,N,83.945,W,0
6/8/2005,21:30:40,17.129,N,83.944,W,0
6/8/2005,21:32:40,17.131,N,83.944,W,0
6/8/2005,21:34:41,17.133,N,83.943,W,0
6/8/2005,21:36:41,17.135,N,83.942,W,0
6/8/2005,21:38:40,17.136,N,83.942,W,0
6/8/2005,21:40:40,17.138,N,83.941,W,0
6/8/2005,21:42:41,17.14,N,83.941,W,0
6/8/2005,21:44:41,17.141,N,83.941,W,0
6/8/2005,21:46:40,17.143,N,83.941,W,0
6/8/2005,21:48:40,17.145,N,83.941,W,0
6/8/2005,21:50:41,17.147,N,83.941,W,0
