Track,for,Arlene,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/28/2011,23:53:59,20.996,N,93.891,W
6/28/2011,23:55:59,20.998,N,93.894,W
6/28/2011,23:58:00,20.999,N,93.897,W
6/29/2011,0:00:00,21,N,93.9,W
6/29/2011,0:02:00,21.001,N,93.903,W
6/29/2011,0:04:00,21.002,N,93.906,W
6/29/2011,0:06:00,21.004,N,93.909,W
6/29/2011,0:08:00,21.005,N,93.912,W
6/29/2011,0:10:00,21.006,N,93.916,W
6/29/2011,0:12:00,21.007,N,93.919,W
6/29/2011,0:14:00,21.008,N,93.922,W
6/29/2011,0:16:00,21.01,N,93.925,W
6/29/2011,0:18:00,21.011,N,93.928,W
6/29/2011,0:20:00,21.012,N,93.931,W
6/29/2011,0:22:00,21.013,N,93.934,W
6/29/2011,0:24:00,21.014,N,93.937,W
6/29/2011,0:26:00,21.016,N,93.941,W
6/29/2011,0:28:00,21.017,N,93.944,W
6/29/2011,0:30:00,21.018,N,93.947,W
6/29/2011,0:32:00,21.019,N,93.95,W
6/29/2011,0:34:00,21.02,N,93.953,W
6/29/2011,0:36:00,21.022,N,93.956,W
6/29/2011,0:38:00,21.023,N,93.959,W
6/29/2011,0:40:00,21.024,N,93.962,W
6/29/2011,0:42:00,21.025,N,93.966,W
6/29/2011,0:44:00,21.026,N,93.969,W
6/29/2011,0:46:00,21.028,N,93.972,W
6/29/2011,0:48:00,21.029,N,93.975,W
6/29/2011,0:50:00,21.03,N,93.978,W
6/29/2011,0:52:00,21.031,N,93.981,W
6/29/2011,0:54:00,21.033,N,93.984,W
6/29/2011,0:56:00,21.034,N,93.987,W
6/29/2011,0:58:00,21.035,N,93.991,W
6/29/2011,1:00:00,21.036,N,93.994,W
6/29/2011,1:01:59,21.037,N,93.997,W
6/29/2011,1:04:00,21.039,N,94,W
6/29/2011,1:06:00,21.04,N,94.003,W
6/29/2011,1:07:59,21.041,N,94.006,W
6/29/2011,1:09:59,21.042,N,94.009,W
6/29/2011,1:12:00,21.043,N,94.013,W
6/29/2011,1:14:00,21.044,N,94.016,W
6/29/2011,1:15:59,21.046,N,94.019,W
6/29/2011,1:17:59,21.047,N,94.022,W
6/29/2011,1:20:00,21.048,N,94.025,W
6/29/2011,1:22:00,21.049,N,94.028,W
6/29/2011,1:23:59,21.05,N,94.031,W
6/29/2011,1:25:59,21.052,N,94.035,W
6/29/2011,1:28:00,21.053,N,94.038,W
6/29/2011,1:30:00,21.054,N,94.041,W
6/29/2011,1:31:59,21.055,N,94.044,W
6/29/2011,1:34:00,21.056,N,94.047,W
6/29/2011,1:36:00,21.058,N,94.05,W
6/29/2011,1:38:00,21.059,N,94.054,W
6/29/2011,1:39:59,21.06,N,94.057,W
6/29/2011,1:42:00,21.061,N,94.06,W
6/29/2011,1:44:00,21.062,N,94.063,W
6/29/2011,1:46:00,21.063,N,94.066,W
6/29/2011,1:47:59,21.065,N,94.069,W
6/29/2011,1:50:00,21.066,N,94.073,W
6/29/2011,1:52:00,21.067,N,94.076,W
6/29/2011,1:54:00,21.068,N,94.079,W
6/29/2011,1:55:59,21.069,N,94.082,W
6/29/2011,1:58:00,21.071,N,94.085,W
6/29/2011,2:00:00,21.072,N,94.089,W
6/29/2011,2:01:59,21.073,N,94.092,W
6/29/2011,2:03:59,21.074,N,94.095,W
6/29/2011,2:05:59,21.075,N,94.098,W
6/29/2011,2:08:00,21.076,N,94.101,W
6/29/2011,2:10:00,21.078,N,94.105,W
6/29/2011,2:12:00,21.079,N,94.108,W
6/29/2011,2:14:00,21.08,N,94.111,W
6/29/2011,2:15:59,21.081,N,94.114,W
6/29/2011,2:17:59,21.082,N,94.117,W
6/29/2011,2:19:59,21.083,N,94.121,W
6/29/2011,2:21:59,21.085,N,94.124,W
6/29/2011,2:24:00,21.086,N,94.127,W
6/29/2011,2:26:00,21.087,N,94.13,W
6/29/2011,2:28:00,21.088,N,94.133,W
6/29/2011,2:30:00,21.089,N,94.137,W
6/29/2011,2:31:59,21.09,N,94.14,W
6/29/2011,2:33:59,21.092,N,94.143,W
6/29/2011,2:35:59,21.093,N,94.146,W
6/29/2011,2:38:00,21.094,N,94.15,W
6/29/2011,2:40:00,21.095,N,94.153,W
6/29/2011,2:42:00,21.096,N,94.156,W
6/29/2011,2:44:00,21.097,N,94.159,W
6/29/2011,2:46:00,21.098,N,94.163,W
6/29/2011,2:47:59,21.1,N,94.166,W
6/29/2011,2:49:59,21.101,N,94.169,W
6/29/2011,2:51:59,21.102,N,94.172,W
6/29/2011,2:54:00,21.103,N,94.176,W
6/29/2011,2:56:00,21.104,N,94.179,W
6/29/2011,2:58:00,21.105,N,94.182,W
6/29/2011,3:00:00,21.106,N,94.186,W
6/29/2011,3:01:59,21.108,N,94.189,W
6/29/2011,3:03:59,21.109,N,94.192,W
6/29/2011,3:05:59,21.11,N,94.195,W
6/29/2011,3:08:00,21.111,N,94.199,W
