Track,for,Barry,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/2/2001,18:24:34,26.363,N,84.796,W,0
8/2/2001,18:26:35,26.363,N,84.802,W,0
8/2/2001,18:28:35,26.362,N,84.809,W,0
8/2/2001,18:30:34,26.361,N,84.815,W,0
8/2/2001,18:32:35,26.36,N,84.821,W,0
8/2/2001,18:34:35,26.359,N,84.828,W,0
8/2/2001,18:36:34,26.359,N,84.834,W,0
8/2/2001,18:38:34,26.358,N,84.84,W,0
8/2/2001,18:40:35,26.357,N,84.846,W,0
8/2/2001,18:42:35,26.356,N,84.853,W,0
8/2/2001,18:44:34,26.356,N,84.859,W,0
8/2/2001,18:46:34,26.355,N,84.865,W,0
8/2/2001,18:48:35,26.354,N,84.872,W,0
8/2/2001,18:50:35,26.353,N,84.878,W,0
8/2/2001,18:52:34,26.352,N,84.884,W,0
8/2/2001,18:54:34,26.352,N,84.891,W,0
8/2/2001,18:56:35,26.351,N,84.897,W,0
8/2/2001,18:58:35,26.35,N,84.903,W,0
8/2/2001,19:00:34,26.349,N,84.91,W,0
8/2/2001,19:02:35,26.348,N,84.916,W,0
8/2/2001,19:04:35,26.348,N,84.922,W,0
8/2/2001,19:06:34,26.347,N,84.929,W,0
8/2/2001,19:08:34,26.346,N,84.935,W,0
8/2/2001,19:10:35,26.345,N,84.942,W,0
8/2/2001,19:12:35,26.344,N,84.948,W,0
8/2/2001,19:14:34,26.343,N,84.955,W,0
8/2/2001,19:16:34,26.343,N,84.961,W,0
8/2/2001,19:18:35,26.342,N,84.968,W,0
8/2/2001,19:20:35,26.341,N,84.974,W,0
8/2/2001,19:22:34,26.34,N,84.981,W,0
8/2/2001,19:24:34,26.339,N,84.987,W,0
8/2/2001,19:26:35,26.338,N,84.994,W,0
8/2/2001,19:28:35,26.337,N,85,W,0
8/2/2001,19:30:34,26.336,N,85.007,W,0
8/2/2001,19:32:35,26.335,N,85.014,W,0
8/2/2001,19:34:35,26.335,N,85.02,W,0
8/2/2001,19:36:34,26.334,N,85.027,W,0
8/2/2001,19:38:34,26.333,N,85.034,W,0
8/2/2001,19:40:35,26.332,N,85.041,W,0
8/2/2001,19:42:35,26.331,N,85.047,W,0
8/2/2001,19:44:34,26.33,N,85.054,W,0
8/2/2001,19:46:34,26.329,N,85.061,W,0
8/2/2001,19:48:35,26.328,N,85.068,W,0
8/2/2001,19:50:35,26.327,N,85.075,W,0
8/2/2001,19:52:34,26.326,N,85.082,W,0
8/2/2001,19:54:34,26.325,N,85.089,W,0
8/2/2001,19:56:35,26.323,N,85.096,W,0
8/2/2001,19:58:35,26.322,N,85.103,W,0
8/2/2001,20:00:34,26.321,N,85.11,W,0
8/2/2001,20:02:35,26.32,N,85.117,W,0
8/2/2001,20:04:35,26.319,N,85.124,W,0
8/2/2001,20:06:34,26.318,N,85.131,W,0
8/2/2001,20:08:34,26.317,N,85.139,W,0
8/2/2001,20:10:35,26.315,N,85.146,W,0
8/2/2001,20:12:35,26.314,N,85.153,W,0
8/2/2001,20:14:34,26.313,N,85.161,W,0
