Track,for,Barry,2013,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/19/2013,5:54:00,19.194,N,93.085,W
6/19/2013,5:56:00,19.196,N,93.09,W
6/19/2013,5:58:00,19.198,N,93.095,W
6/19/2013,6:00:00,19.2,N,93.1,W
6/19/2013,6:01:59,19.202,N,93.105,W
6/19/2013,6:03:59,19.204,N,93.11,W
6/19/2013,6:05:59,19.206,N,93.115,W
6/19/2013,6:07:59,19.207,N,93.119,W
6/19/2013,6:09:59,19.209,N,93.124,W
6/19/2013,6:11:59,19.211,N,93.129,W
6/19/2013,6:13:59,19.213,N,93.134,W
6/19/2013,6:16:00,19.215,N,93.139,W
6/19/2013,6:18:00,19.217,N,93.144,W
6/19/2013,6:20:00,19.219,N,93.149,W
6/19/2013,6:22:00,19.221,N,93.154,W
6/19/2013,6:24:00,19.222,N,93.158,W
6/19/2013,6:26:00,19.224,N,93.163,W
6/19/2013,6:28:00,19.226,N,93.168,W
6/19/2013,6:30:00,19.228,N,93.173,W
6/19/2013,6:31:59,19.23,N,93.178,W
6/19/2013,6:33:59,19.232,N,93.183,W
6/19/2013,6:35:59,19.234,N,93.188,W
6/19/2013,6:37:59,19.235,N,93.193,W
6/19/2013,6:39:59,19.237,N,93.197,W
6/19/2013,6:41:59,19.239,N,93.202,W
6/19/2013,6:43:59,19.241,N,93.207,W
6/19/2013,6:46:00,19.243,N,93.212,W
6/19/2013,6:48:00,19.245,N,93.217,W
6/19/2013,6:50:00,19.247,N,93.222,W
6/19/2013,6:52:00,19.248,N,93.227,W
6/19/2013,6:54:00,19.25,N,93.232,W
6/19/2013,6:56:00,19.252,N,93.236,W
6/19/2013,6:58:00,19.254,N,93.241,W
6/19/2013,7:00:00,19.256,N,93.246,W
6/19/2013,7:01:59,19.258,N,93.251,W
6/19/2013,7:03:59,19.26,N,93.256,W
6/19/2013,7:05:59,19.261,N,93.261,W
6/19/2013,7:07:59,19.263,N,93.266,W
6/19/2013,7:09:59,19.265,N,93.271,W
6/19/2013,7:11:59,19.267,N,93.275,W
6/19/2013,7:13:59,19.269,N,93.28,W
6/19/2013,7:16:00,19.271,N,93.285,W
6/19/2013,7:18:00,19.272,N,93.29,W
6/19/2013,7:20:00,19.274,N,93.295,W
6/19/2013,7:22:00,19.276,N,93.3,W
6/19/2013,7:24:00,19.278,N,93.305,W
6/19/2013,7:26:00,19.28,N,93.31,W
6/19/2013,7:28:00,19.282,N,93.315,W
6/19/2013,7:30:00,19.283,N,93.319,W
6/19/2013,7:31:59,19.285,N,93.324,W
6/19/2013,7:33:59,19.287,N,93.329,W
6/19/2013,7:35:59,19.289,N,93.334,W
6/19/2013,7:37:59,19.291,N,93.339,W
6/19/2013,7:39:59,19.293,N,93.344,W
6/19/2013,7:41:59,19.294,N,93.349,W
6/19/2013,7:43:59,19.296,N,93.354,W
6/19/2013,7:46:00,19.298,N,93.359,W
6/19/2013,7:48:00,19.3,N,93.363,W
6/19/2013,7:50:00,19.302,N,93.368,W
6/19/2013,7:52:00,19.303,N,93.373,W
6/19/2013,7:54:00,19.305,N,93.378,W
6/19/2013,7:56:00,19.307,N,93.383,W
6/19/2013,7:58:00,19.309,N,93.388,W
6/19/2013,8:00:00,19.311,N,93.393,W
6/19/2013,8:02:00,19.313,N,93.398,W
6/19/2013,8:03:59,19.314,N,93.403,W
6/19/2013,8:06:00,19.316,N,93.408,W
6/19/2013,8:07:59,19.318,N,93.413,W
6/19/2013,8:10:00,19.32,N,93.418,W
6/19/2013,8:11:59,19.321,N,93.422,W
6/19/2013,8:14:00,19.323,N,93.427,W
6/19/2013,8:15:59,19.325,N,93.432,W
6/19/2013,8:18:00,19.327,N,93.437,W
6/19/2013,8:19:59,19.329,N,93.442,W
6/19/2013,8:22:00,19.33,N,93.447,W
6/19/2013,8:23:59,19.332,N,93.452,W
6/19/2013,8:26:00,19.334,N,93.457,W
6/19/2013,8:27:59,19.336,N,93.462,W
6/19/2013,8:30:00,19.337,N,93.467,W
6/19/2013,8:32:00,19.339,N,93.472,W
6/19/2013,8:33:59,19.341,N,93.477,W
6/19/2013,8:36:00,19.343,N,93.482,W
6/19/2013,8:37:59,19.344,N,93.487,W
6/19/2013,8:40:00,19.346,N,93.491,W
6/19/2013,8:41:59,19.348,N,93.496,W
6/19/2013,8:44:00,19.35,N,93.501,W
6/19/2013,8:45:59,19.351,N,93.506,W
6/19/2013,8:48:00,19.353,N,93.511,W
6/19/2013,8:49:59,19.355,N,93.516,W
6/19/2013,8:52:00,19.357,N,93.521,W
6/19/2013,8:53:59,19.358,N,93.526,W
6/19/2013,8:56:00,19.36,N,93.531,W
6/19/2013,8:57:59,19.362,N,93.536,W
6/19/2013,9:00:00,19.364,N,93.541,W
6/19/2013,9:02:00,19.365,N,93.546,W
6/19/2013,9:03:59,19.367,N,93.551,W
6/19/2013,9:06:00,19.369,N,93.556,W
6/19/2013,9:07:59,19.37,N,93.561,W
