Track,for,Bertha,2002,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/8/2002,5:54:00,28.207,N,94.384,W,0
8/8/2002,5:56:00,28.205,N,94.39,W,0
8/8/2002,5:58:00,28.202,N,94.395,W,0
8/8/2002,6:00:00,28.2,N,94.4,W,0
8/8/2002,6:01:59,28.198,N,94.405,W,0
8/8/2002,6:03:59,28.195,N,94.41,W,0
8/8/2002,6:05:59,28.193,N,94.416,W,0
8/8/2002,6:07:59,28.19,N,94.421,W,0
8/8/2002,6:09:59,28.188,N,94.426,W,0
8/8/2002,6:11:59,28.185,N,94.431,W,0
8/8/2002,6:13:59,28.183,N,94.436,W,0
8/8/2002,6:16:00,28.18,N,94.441,W,0
8/8/2002,6:18:00,28.178,N,94.447,W,0
8/8/2002,6:20:00,28.175,N,94.452,W,0
8/8/2002,6:22:00,28.173,N,94.457,W,0
8/8/2002,6:24:00,28.17,N,94.462,W,0
8/8/2002,6:26:00,28.168,N,94.467,W,0
8/8/2002,6:28:00,28.165,N,94.472,W,0
8/8/2002,6:30:00,28.163,N,94.478,W,0
8/8/2002,6:31:59,28.161,N,94.483,W,0
8/8/2002,6:33:59,28.158,N,94.488,W,0
8/8/2002,6:35:59,28.156,N,94.493,W,0
8/8/2002,6:37:59,28.153,N,94.498,W,0
8/8/2002,6:39:59,28.151,N,94.503,W,0
8/8/2002,6:41:59,28.148,N,94.509,W,0
8/8/2002,6:43:59,28.146,N,94.514,W,0
8/8/2002,6:46:00,28.143,N,94.519,W,0
8/8/2002,6:48:00,28.141,N,94.524,W,0
8/8/2002,6:50:00,28.138,N,94.529,W,0
8/8/2002,6:52:00,28.136,N,94.534,W,0
8/8/2002,6:54:00,28.133,N,94.539,W,0
8/8/2002,6:56:00,28.131,N,94.545,W,0
8/8/2002,6:58:00,28.128,N,94.55,W,0
8/8/2002,7:00:00,28.126,N,94.555,W,0
8/8/2002,7:01:59,28.123,N,94.56,W,0
8/8/2002,7:03:59,28.121,N,94.565,W,0
8/8/2002,7:05:59,28.118,N,94.57,W,0
8/8/2002,7:07:59,28.116,N,94.576,W,0
8/8/2002,7:09:59,28.113,N,94.581,W,0
8/8/2002,7:11:59,28.111,N,94.586,W,0
8/8/2002,7:13:59,28.108,N,94.591,W,0
8/8/2002,7:16:00,28.106,N,94.596,W,0
8/8/2002,7:18:00,28.103,N,94.601,W,0
8/8/2002,7:20:00,28.101,N,94.606,W,0
8/8/2002,7:22:00,28.098,N,94.612,W,0
8/8/2002,7:24:00,28.096,N,94.617,W,0
8/8/2002,7:26:00,28.093,N,94.622,W,0
8/8/2002,7:28:00,28.091,N,94.627,W,0
8/8/2002,7:30:00,28.088,N,94.632,W,0
8/8/2002,7:31:59,28.086,N,94.637,W,0
8/8/2002,7:33:59,28.083,N,94.642,W,0
8/8/2002,7:35:59,28.081,N,94.648,W,0
8/8/2002,7:37:59,28.078,N,94.653,W,0
8/8/2002,7:39:59,28.075,N,94.658,W,0
8/8/2002,7:41:59,28.073,N,94.663,W,0
8/8/2002,7:43:59,28.07,N,94.668,W,0
