Track,for,Beryl,2006,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
7/18/2006,11:53:59,32.305,N,73.399,W,0
7/18/2006,11:56:00,32.304,N,73.4,W,0
7/18/2006,11:57:59,32.302,N,73.4,W,0
7/18/2006,12:00:00,32.3,N,73.4,W,0
7/18/2006,12:02:00,32.298,N,73.4,W,0
7/18/2006,12:03:59,32.296,N,73.4,W,0
7/18/2006,12:06:00,32.295,N,73.401,W,0
7/18/2006,12:07:59,32.293,N,73.401,W,0
7/18/2006,12:10:00,32.291,N,73.401,W,0
7/18/2006,12:11:59,32.289,N,73.401,W,0
7/18/2006,12:14:00,32.287,N,73.401,W,0
7/18/2006,12:15:59,32.286,N,73.401,W,0
7/18/2006,12:18:00,32.284,N,73.402,W,0
7/18/2006,12:19:59,32.282,N,73.402,W,0
7/18/2006,12:22:00,32.28,N,73.402,W,0
7/18/2006,12:23:59,32.279,N,73.402,W,0
7/18/2006,12:26:00,32.277,N,73.402,W,0
7/18/2006,12:27:59,32.275,N,73.403,W,0
7/18/2006,12:30:00,32.273,N,73.403,W,0
7/18/2006,12:32:00,32.272,N,73.403,W,0
7/18/2006,12:33:59,32.27,N,73.403,W,0
7/18/2006,12:36:00,32.268,N,73.403,W,0
7/18/2006,12:37:59,32.267,N,73.403,W,0
7/18/2006,12:40:00,32.265,N,73.404,W,0
7/18/2006,12:41:59,32.263,N,73.404,W,0
7/18/2006,12:44:00,32.262,N,73.404,W,0
7/18/2006,12:45:59,32.26,N,73.404,W,0
7/18/2006,12:48:00,32.259,N,73.404,W,0
7/18/2006,12:49:59,32.257,N,73.404,W,0
7/18/2006,12:52:00,32.255,N,73.405,W,0
7/18/2006,12:53:59,32.254,N,73.405,W,0
7/18/2006,12:56:00,32.252,N,73.405,W,0
7/18/2006,12:57:59,32.251,N,73.405,W,0
7/18/2006,13:00:00,32.25,N,73.405,W,0
7/18/2006,13:02:00,32.248,N,73.405,W,0
7/18/2006,13:03:59,32.247,N,73.405,W,0
7/18/2006,13:06:00,32.245,N,73.406,W,0
7/18/2006,13:07:59,32.244,N,73.406,W,0
7/18/2006,13:10:00,32.243,N,73.406,W,0
7/18/2006,13:11:59,32.242,N,73.406,W,0
7/18/2006,13:14:00,32.24,N,73.406,W,0
7/18/2006,13:15:59,32.239,N,73.406,W,0
7/18/2006,13:18:00,32.238,N,73.406,W,0
7/18/2006,13:19:59,32.237,N,73.406,W,0
7/18/2006,13:22:00,32.236,N,73.406,W,0
7/18/2006,13:23:59,32.235,N,73.407,W,0
7/18/2006,13:26:00,32.234,N,73.407,W,0
7/18/2006,13:27:59,32.233,N,73.407,W,0
7/18/2006,13:30:00,32.232,N,73.407,W,0
7/18/2006,13:32:00,32.231,N,73.407,W,0
7/18/2006,13:33:59,32.23,N,73.407,W,0
7/18/2006,13:36:00,32.229,N,73.407,W,0
7/18/2006,13:37:59,32.228,N,73.407,W,0
7/18/2006,13:40:00,32.227,N,73.407,W,0
7/18/2006,13:41:59,32.227,N,73.407,W,0
7/18/2006,13:44:00,32.226,N,73.407,W,0
