Track,for,Bill,2015,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
6/15/2015,16:00:01,26.243,N,92.835,W,0
6/15/2015,16:02:02,26.246,N,92.838,W,0
6/15/2015,16:04:02,26.248,N,92.842,W,0
6/15/2015,16:06:01,26.25,N,92.845,W,0
6/15/2015,16:08:01,26.252,N,92.848,W,0
6/15/2015,16:10:02,26.254,N,92.852,W,0
6/15/2015,16:12:02,26.257,N,92.855,W,0
6/15/2015,16:14:01,26.259,N,92.859,W,0
6/15/2015,16:16:01,26.261,N,92.862,W,0
6/15/2015,16:18:02,26.263,N,92.865,W,0
6/15/2015,16:20:02,26.265,N,92.869,W,0
6/15/2015,16:22:01,26.267,N,92.872,W,0
6/15/2015,16:24:01,26.27,N,92.875,W,0
6/15/2015,16:26:02,26.272,N,92.879,W,0
6/15/2015,16:28:01,26.274,N,92.882,W,0
6/15/2015,16:30:01,26.276,N,92.886,W,0
6/15/2015,16:32:02,26.278,N,92.889,W,0
6/15/2015,16:34:02,26.28,N,92.892,W,0
6/15/2015,16:36:01,26.283,N,92.896,W,0
6/15/2015,16:38:01,26.285,N,92.899,W,0
6/15/2015,16:40:02,26.287,N,92.903,W,0
6/15/2015,16:42:02,26.289,N,92.906,W,0
6/15/2015,16:44:01,26.291,N,92.909,W,0
6/15/2015,16:46:01,26.294,N,92.913,W,0
6/15/2015,16:48:02,26.296,N,92.916,W,0
6/15/2015,16:50:02,26.298,N,92.92,W,0
6/15/2015,16:52:01,26.3,N,92.923,W,0
6/15/2015,16:54:01,26.302,N,92.927,W,0
6/15/2015,16:56:02,26.305,N,92.93,W,0
6/15/2015,16:58:01,26.307,N,92.933,W,0
6/15/2015,17:00:01,26.309,N,92.937,W,0
6/15/2015,17:02:02,26.311,N,92.94,W,0
6/15/2015,17:04:02,26.314,N,92.944,W,0
6/15/2015,17:06:01,26.316,N,92.947,W,0
6/15/2015,17:08:01,26.318,N,92.951,W,0
6/15/2015,17:10:02,26.32,N,92.954,W,0
6/15/2015,17:12:02,26.323,N,92.958,W,0
6/15/2015,17:14:01,26.325,N,92.961,W,0
6/15/2015,17:16:01,26.327,N,92.965,W,0
6/15/2015,17:18:02,26.329,N,92.968,W,0
6/15/2015,17:20:02,26.332,N,92.972,W,0
6/15/2015,17:22:01,26.334,N,92.975,W,0
6/15/2015,17:24:01,26.336,N,92.979,W,0
6/15/2015,17:26:02,26.339,N,92.982,W,0
6/15/2015,17:28:01,26.341,N,92.986,W,0
6/15/2015,17:30:01,26.343,N,92.989,W,0
6/15/2015,17:32:02,26.346,N,92.993,W,0
6/15/2015,17:34:02,26.348,N,92.997,W,0
6/15/2015,17:36:01,26.35,N,93,W,0
6/15/2015,17:38:01,26.353,N,93.004,W,0
6/15/2015,17:40:02,26.355,N,93.007,W,0
6/15/2015,17:42:02,26.357,N,93.011,W,0
6/15/2015,17:44:01,26.36,N,93.015,W,0
6/15/2015,17:46:01,26.362,N,93.018,W,0
6/15/2015,17:48:02,26.364,N,93.022,W,0
6/15/2015,17:50:02,26.367,N,93.025,W,0
