Track,for,Bonnie,2004,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/3/2004,23:53:59,13.498,N,57.366,W
8/3/2004,23:55:59,13.499,N,57.377,W
8/3/2004,23:58:00,13.499,N,57.389,W
8/4/2004,0:00:00,13.5,N,57.4,W
8/4/2004,0:02:00,13.501,N,57.411,W
8/4/2004,0:04:00,13.501,N,57.423,W
8/4/2004,0:06:00,13.502,N,57.434,W
8/4/2004,0:08:00,13.502,N,57.445,W
8/4/2004,0:10:00,13.503,N,57.456,W
8/4/2004,0:12:00,13.504,N,57.468,W
8/4/2004,0:14:00,13.504,N,57.479,W
8/4/2004,0:16:00,13.505,N,57.49,W
8/4/2004,0:18:00,13.506,N,57.502,W
8/4/2004,0:20:00,13.506,N,57.513,W
8/4/2004,0:22:00,13.507,N,57.524,W
8/4/2004,0:24:00,13.507,N,57.535,W
8/4/2004,0:26:00,13.508,N,57.547,W
8/4/2004,0:28:00,13.509,N,57.558,W
8/4/2004,0:30:00,13.509,N,57.569,W
8/4/2004,0:32:00,13.51,N,57.581,W
8/4/2004,0:34:00,13.511,N,57.592,W
8/4/2004,0:36:00,13.511,N,57.603,W
8/4/2004,0:38:00,13.512,N,57.615,W
8/4/2004,0:40:00,13.512,N,57.626,W
8/4/2004,0:42:00,13.513,N,57.637,W
8/4/2004,0:44:00,13.514,N,57.648,W
8/4/2004,0:46:00,13.514,N,57.66,W
8/4/2004,0:48:00,13.515,N,57.671,W
8/4/2004,0:50:00,13.516,N,57.682,W
8/4/2004,0:52:00,13.516,N,57.694,W
8/4/2004,0:54:00,13.517,N,57.705,W
8/4/2004,0:56:00,13.517,N,57.716,W
8/4/2004,0:58:00,13.518,N,57.728,W
8/4/2004,1:00:00,13.519,N,57.739,W
8/4/2004,1:01:59,13.519,N,57.75,W
8/4/2004,1:04:00,13.52,N,57.762,W
8/4/2004,1:06:00,13.52,N,57.773,W
8/4/2004,1:07:59,13.521,N,57.784,W
8/4/2004,1:09:59,13.522,N,57.796,W
8/4/2004,1:12:00,13.522,N,57.807,W
8/4/2004,1:14:00,13.523,N,57.818,W
8/4/2004,1:15:59,13.524,N,57.83,W
8/4/2004,1:17:59,13.524,N,57.841,W
8/4/2004,1:20:00,13.525,N,57.852,W
8/4/2004,1:22:00,13.525,N,57.864,W
8/4/2004,1:23:59,13.526,N,57.875,W
8/4/2004,1:25:59,13.527,N,57.886,W
8/4/2004,1:28:00,13.527,N,57.898,W
8/4/2004,1:30:00,13.528,N,57.909,W
8/4/2004,1:31:59,13.528,N,57.92,W
8/4/2004,1:34:00,13.529,N,57.932,W
8/4/2004,1:36:00,13.53,N,57.943,W
8/4/2004,1:38:00,13.53,N,57.954,W
8/4/2004,1:39:59,13.531,N,57.966,W
8/4/2004,1:42:00,13.531,N,57.977,W
8/4/2004,1:44:00,13.532,N,57.989,W
8/4/2004,1:46:00,13.533,N,58,W
8/4/2004,1:47:59,13.533,N,58.011,W
8/4/2004,1:50:00,13.534,N,58.023,W
8/4/2004,1:52:00,13.534,N,58.034,W
8/4/2004,1:54:00,13.535,N,58.046,W
8/4/2004,1:55:59,13.536,N,58.057,W
8/4/2004,1:58:00,13.536,N,58.068,W
8/4/2004,2:00:00,13.537,N,58.08,W
8/4/2004,2:01:59,13.537,N,58.091,W
8/4/2004,2:03:59,13.538,N,58.103,W
8/4/2004,2:05:59,13.539,N,58.114,W
8/4/2004,2:08:00,13.539,N,58.125,W
8/4/2004,2:10:00,13.54,N,58.137,W
8/4/2004,2:12:00,13.54,N,58.148,W
8/4/2004,2:14:00,13.541,N,58.16,W
8/4/2004,2:15:59,13.542,N,58.171,W
8/4/2004,2:17:59,13.542,N,58.183,W
8/4/2004,2:19:59,13.543,N,58.194,W
8/4/2004,2:21:59,13.543,N,58.206,W
8/4/2004,2:24:00,13.544,N,58.217,W
8/4/2004,2:26:00,13.545,N,58.229,W
8/4/2004,2:28:00,13.545,N,58.24,W
8/4/2004,2:30:00,13.546,N,58.251,W
8/4/2004,2:31:59,13.546,N,58.263,W
8/4/2004,2:33:59,13.547,N,58.274,W
8/4/2004,2:35:59,13.548,N,58.286,W
8/4/2004,2:38:00,13.548,N,58.297,W
8/4/2004,2:40:00,13.549,N,58.309,W
8/4/2004,2:42:00,13.549,N,58.32,W
8/4/2004,2:44:00,13.55,N,58.332,W
8/4/2004,2:46:00,13.55,N,58.344,W
8/4/2004,2:47:59,13.551,N,58.355,W
8/4/2004,2:49:59,13.552,N,58.367,W
8/4/2004,2:51:59,13.552,N,58.378,W
8/4/2004,2:54:00,13.553,N,58.39,W
8/4/2004,2:56:00,13.553,N,58.401,W
8/4/2004,2:58:00,13.554,N,58.413,W
8/4/2004,3:00:00,13.554,N,58.424,W
8/4/2004,3:01:59,13.555,N,58.436,W
8/4/2004,3:03:59,13.556,N,58.448,W
8/4/2004,3:05:59,13.556,N,58.459,W
8/4/2004,3:08:00,13.557,N,58.471,W
