Track,for,Bret,2005,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
6/28/2005,20:28:53,19.807,N,95.61,W
6/28/2005,20:30:53,19.808,N,95.611,W
6/28/2005,20:32:54,19.808,N,95.612,W
6/28/2005,20:34:54,19.809,N,95.613,W
6/28/2005,20:36:53,19.81,N,95.614,W
6/28/2005,20:38:53,19.81,N,95.615,W
6/28/2005,20:40:54,19.811,N,95.616,W
6/28/2005,20:42:54,19.812,N,95.617,W
6/28/2005,20:44:53,19.812,N,95.619,W
6/28/2005,20:46:53,19.813,N,95.62,W
6/28/2005,20:48:54,19.814,N,95.621,W
6/28/2005,20:50:54,19.815,N,95.622,W
6/28/2005,20:52:53,19.815,N,95.623,W
6/28/2005,20:54:54,19.816,N,95.624,W
6/28/2005,20:56:54,19.817,N,95.626,W
6/28/2005,20:58:53,19.818,N,95.627,W
6/28/2005,21:00:53,19.819,N,95.628,W
6/28/2005,21:02:54,19.819,N,95.629,W
6/28/2005,21:04:54,19.82,N,95.631,W
6/28/2005,21:06:53,19.821,N,95.632,W
6/28/2005,21:08:53,19.822,N,95.633,W
6/28/2005,21:10:54,19.823,N,95.635,W
6/28/2005,21:12:54,19.824,N,95.636,W
6/28/2005,21:14:53,19.825,N,95.638,W
6/28/2005,21:16:53,19.826,N,95.639,W
6/28/2005,21:18:54,19.827,N,95.641,W
6/28/2005,21:20:54,19.829,N,95.642,W
6/28/2005,21:22:53,19.83,N,95.644,W
6/28/2005,21:24:54,19.831,N,95.646,W
6/28/2005,21:26:54,19.832,N,95.647,W
6/28/2005,21:28:53,19.833,N,95.649,W
6/28/2005,21:30:53,19.835,N,95.651,W
6/28/2005,21:32:54,19.836,N,95.653,W
6/28/2005,21:34:54,19.838,N,95.655,W
6/28/2005,21:36:53,19.839,N,95.657,W
6/28/2005,21:38:53,19.841,N,95.659,W
6/28/2005,21:40:54,19.842,N,95.661,W
6/28/2005,21:42:54,19.844,N,95.663,W
6/28/2005,21:44:53,19.846,N,95.665,W
6/28/2005,21:46:53,19.848,N,95.667,W
6/28/2005,21:48:54,19.85,N,95.669,W
6/28/2005,21:50:54,19.851,N,95.672,W
6/28/2005,21:52:53,19.853,N,95.674,W
6/28/2005,21:54:54,19.855,N,95.676,W
6/28/2005,21:56:54,19.857,N,95.679,W
6/28/2005,21:58:53,19.859,N,95.681,W
6/28/2005,22:00:53,19.861,N,95.683,W
6/28/2005,22:02:54,19.863,N,95.686,W
6/28/2005,22:04:54,19.865,N,95.688,W
6/28/2005,22:06:53,19.867,N,95.69,W
6/28/2005,22:08:53,19.869,N,95.692,W
6/28/2005,22:10:54,19.871,N,95.695,W
6/28/2005,22:12:54,19.873,N,95.697,W
6/28/2005,22:14:53,19.875,N,95.699,W
6/28/2005,22:16:53,19.877,N,95.701,W
6/28/2005,22:18:54,19.879,N,95.703,W
6/28/2005,22:20:54,19.881,N,95.705,W
6/28/2005,22:22:53,19.883,N,95.707,W
6/28/2005,22:24:54,19.885,N,95.709,W
6/28/2005,22:26:54,19.887,N,95.711,W
6/28/2005,22:28:53,19.889,N,95.712,W
6/28/2005,22:30:53,19.891,N,95.714,W
6/28/2005,22:32:54,19.893,N,95.715,W
6/28/2005,22:34:54,19.894,N,95.717,W
6/28/2005,22:36:53,19.896,N,95.718,W
6/28/2005,22:38:53,19.898,N,95.719,W
6/28/2005,22:40:54,19.899,N,95.72,W
6/28/2005,22:42:54,19.901,N,95.721,W
6/28/2005,22:44:53,19.902,N,95.721,W
6/28/2005,22:46:53,19.903,N,95.722,W
6/28/2005,22:48:54,19.905,N,95.722,W
6/28/2005,22:50:54,19.906,N,95.723,W
6/28/2005,22:52:53,19.907,N,95.723,W
6/28/2005,22:54:54,19.908,N,95.723,W
6/28/2005,22:56:54,19.909,N,95.723,W
6/28/2005,22:58:53,19.91,N,95.722,W
6/28/2005,23:00:53,19.911,N,95.722,W
6/28/2005,23:02:54,19.912,N,95.722,W
6/28/2005,23:04:54,19.913,N,95.721,W
6/28/2005,23:06:53,19.913,N,95.72,W
6/28/2005,23:08:53,19.914,N,95.72,W
6/28/2005,23:10:54,19.915,N,95.719,W
6/28/2005,23:12:54,19.915,N,95.718,W
6/28/2005,23:14:53,19.916,N,95.717,W
6/28/2005,23:16:53,19.916,N,95.716,W
6/28/2005,23:18:54,19.917,N,95.714,W
6/28/2005,23:20:54,19.917,N,95.713,W
6/28/2005,23:22:53,19.918,N,95.712,W
6/28/2005,23:24:54,19.918,N,95.711,W
6/28/2005,23:26:54,19.918,N,95.709,W
6/28/2005,23:28:53,19.919,N,95.708,W
6/28/2005,23:30:53,19.919,N,95.706,W
6/28/2005,23:32:54,19.919,N,95.704,W
6/28/2005,23:34:54,19.919,N,95.703,W
6/28/2005,23:36:53,19.92,N,95.701,W
6/28/2005,23:38:53,19.92,N,95.7,W
6/28/2005,23:40:54,19.92,N,95.698,W
6/28/2005,23:42:54,19.92,N,95.696,W
6/28/2005,23:44:53,19.921,N,95.694,W
6/28/2005,23:46:53,19.921,N,95.693,W
6/28/2005,23:48:54,19.921,N,95.691,W
6/28/2005,23:50:54,19.921,N,95.689,W
