Track,for,Bret,2011,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
7/17/2011,19:49:57,27.594,N,78.272,W,0
7/17/2011,19:51:58,27.59,N,78.262,W,0
7/17/2011,19:53:58,27.586,N,78.253,W,0
7/17/2011,19:55:57,27.582,N,78.243,W,0
7/17/2011,19:57:57,27.578,N,78.234,W,0
7/17/2011,19:59:58,27.574,N,78.224,W,0
7/17/2011,20:01:58,27.57,N,78.215,W,0
7/17/2011,20:03:57,27.566,N,78.205,W,0
7/17/2011,20:05:58,27.562,N,78.196,W,0
7/17/2011,20:07:58,27.558,N,78.187,W,0
7/17/2011,20:09:57,27.554,N,78.178,W,0
7/17/2011,20:11:57,27.55,N,78.17,W,0
7/17/2011,20:13:58,27.547,N,78.162,W,0
7/17/2011,20:15:58,27.543,N,78.154,W,0
7/17/2011,20:17:57,27.54,N,78.146,W,0
7/17/2011,20:19:57,27.536,N,78.139,W,0
7/17/2011,20:21:58,27.533,N,78.132,W,0
7/17/2011,20:23:58,27.531,N,78.125,W,0
7/17/2011,20:25:57,27.528,N,78.119,W,0
7/17/2011,20:27:57,27.526,N,78.114,W,0
7/17/2011,20:29:58,27.523,N,78.109,W,0
7/17/2011,20:31:58,27.521,N,78.105,W,0
7/17/2011,20:33:57,27.52,N,78.101,W,0
7/17/2011,20:35:58,27.518,N,78.098,W,0
7/17/2011,20:37:58,27.517,N,78.095,W,0
7/17/2011,20:39:57,27.516,N,78.094,W,0
7/17/2011,20:41:57,27.516,N,78.093,W,0
7/17/2011,20:43:58,27.516,N,78.092,W,0
7/17/2011,20:45:58,27.516,N,78.093,W,0
7/17/2011,20:47:57,27.516,N,78.094,W,0
7/17/2011,20:49:57,27.517,N,78.097,W,0
7/17/2011,20:51:58,27.518,N,78.1,W,0
7/17/2011,20:53:58,27.52,N,78.104,W,0
7/17/2011,20:53:59,27.52,N,78.104,W,0
7/17/2011,20:55:59,27.521,N,78.101,W,0
7/17/2011,20:57:58,27.521,N,78.098,W,0
7/17/2011,20:59:58,27.522,N,78.095,W,0
7/17/2011,21:01:59,27.522,N,78.092,W,0
7/17/2011,21:03:59,27.523,N,78.089,W,0
7/17/2011,21:05:58,27.524,N,78.086,W,0
7/17/2011,21:07:58,27.524,N,78.083,W,0
7/17/2011,21:09:59,27.525,N,78.079,W,0
7/17/2011,21:11:59,27.525,N,78.076,W,0
7/17/2011,21:13:58,27.526,N,78.073,W,0
7/17/2011,21:15:58,27.527,N,78.07,W,0
7/17/2011,21:17:59,27.527,N,78.067,W,0
7/17/2011,21:19:58,27.528,N,78.064,W,0
7/17/2011,21:21:58,27.528,N,78.061,W,0
7/17/2011,21:23:59,27.529,N,78.058,W,0
7/17/2011,21:25:59,27.529,N,78.055,W,0
7/17/2011,21:27:58,27.53,N,78.052,W,0
7/17/2011,21:29:58,27.531,N,78.049,W,0
7/17/2011,21:31:59,27.531,N,78.046,W,0
7/17/2011,21:33:59,27.532,N,78.043,W,0
7/17/2011,21:35:58,27.532,N,78.04,W,0
7/17/2011,21:37:58,27.533,N,78.037,W,0
