Track,for,Bret,2017,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
6/19/2017,18:09:10,8.537,N,59.283,W,0
6/19/2017,18:11:10,8.55,N,59.296,W,0
6/19/2017,18:13:09,8.564,N,59.31,W,0
6/19/2017,18:15:09,8.577,N,59.323,W,0
6/19/2017,18:17:10,8.59,N,59.336,W,0
6/19/2017,18:19:10,8.604,N,59.35,W,0
6/19/2017,18:21:09,8.617,N,59.363,W,0
6/19/2017,18:23:09,8.631,N,59.377,W,0
6/19/2017,18:25:10,8.644,N,59.39,W,0
6/19/2017,18:27:10,8.657,N,59.404,W,0
6/19/2017,18:29:09,8.671,N,59.417,W,0
6/19/2017,18:31:09,8.684,N,59.43,W,0
6/19/2017,18:33:10,8.697,N,59.444,W,0
6/19/2017,18:35:09,8.711,N,59.457,W,0
6/19/2017,18:37:09,8.724,N,59.47,W,0
6/19/2017,18:39:10,8.737,N,59.483,W,0
6/19/2017,18:41:10,8.75,N,59.496,W,0
6/19/2017,18:43:09,8.763,N,59.509,W,0
6/19/2017,18:45:09,8.776,N,59.522,W,0
6/19/2017,18:47:10,8.789,N,59.535,W,0
6/19/2017,18:49:10,8.802,N,59.548,W,0
6/19/2017,18:51:09,8.815,N,59.561,W,0
6/19/2017,18:53:09,8.828,N,59.573,W,0
6/19/2017,18:55:10,8.841,N,59.586,W,0
6/19/2017,18:57:10,8.854,N,59.598,W,0
6/19/2017,18:59:09,8.866,N,59.61,W,0
6/19/2017,19:01:09,8.879,N,59.623,W,0
6/19/2017,19:03:10,8.891,N,59.635,W,0
6/19/2017,19:05:09,8.904,N,59.647,W,0
6/19/2017,19:07:09,8.916,N,59.659,W,0
6/19/2017,19:09:10,8.929,N,59.67,W,0
6/19/2017,19:11:10,8.941,N,59.682,W,0
6/19/2017,19:13:09,8.953,N,59.694,W,0
6/19/2017,19:15:09,8.965,N,59.705,W,0
6/19/2017,19:17:10,8.977,N,59.716,W,0
6/19/2017,19:19:10,8.989,N,59.727,W,0
6/19/2017,19:21:09,9,N,59.738,W,0
6/19/2017,19:23:09,9.012,N,59.749,W,0
6/19/2017,19:25:10,9.024,N,59.759,W,0
6/19/2017,19:27:10,9.035,N,59.77,W,0
6/19/2017,19:29:09,9.046,N,59.78,W,0
6/19/2017,19:31:09,9.057,N,59.79,W,0
6/19/2017,19:33:10,9.069,N,59.8,W,0
6/19/2017,19:35:09,9.079,N,59.81,W,0
6/19/2017,19:37:09,9.09,N,59.819,W,0
6/19/2017,19:39:10,9.101,N,59.828,W,0
6/19/2017,19:41:10,9.112,N,59.837,W,0
6/19/2017,19:43:09,9.122,N,59.846,W,0
6/19/2017,19:45:09,9.132,N,59.855,W,0
6/19/2017,19:47:10,9.142,N,59.863,W,0
6/19/2017,19:49:10,9.152,N,59.872,W,0
6/19/2017,19:51:09,9.162,N,59.88,W,0
6/19/2017,19:53:09,9.172,N,59.887,W,0
6/19/2017,19:55:10,9.181,N,59.895,W,0
6/19/2017,19:57:10,9.191,N,59.902,W,0
6/19/2017,19:59:09,9.2,N,59.909,W,0
