Track,for,Chantal,2001,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/17/2001,5:54:00,13.295,N,62.77,W
8/17/2001,5:56:00,13.296,N,62.78,W
8/17/2001,5:58:00,13.298,N,62.79,W
8/17/2001,6:00:00,13.3,N,62.8,W
8/17/2001,6:01:59,13.302,N,62.81,W
8/17/2001,6:03:59,13.304,N,62.82,W
8/17/2001,6:05:59,13.305,N,62.83,W
8/17/2001,6:07:59,13.307,N,62.84,W
8/17/2001,6:09:59,13.309,N,62.85,W
8/17/2001,6:11:59,13.311,N,62.86,W
8/17/2001,6:13:59,13.313,N,62.87,W
8/17/2001,6:16:00,13.314,N,62.88,W
8/17/2001,6:18:00,13.316,N,62.89,W
8/17/2001,6:20:00,13.318,N,62.9,W
8/17/2001,6:22:00,13.32,N,62.91,W
8/17/2001,6:24:00,13.322,N,62.92,W
8/17/2001,6:26:00,13.323,N,62.93,W
8/17/2001,6:28:00,13.325,N,62.94,W
8/17/2001,6:30:00,13.327,N,62.95,W
8/17/2001,6:31:59,13.329,N,62.96,W
8/17/2001,6:33:59,13.331,N,62.969,W
8/17/2001,6:35:59,13.333,N,62.979,W
8/17/2001,6:37:59,13.334,N,62.989,W
8/17/2001,6:39:59,13.336,N,62.999,W
8/17/2001,6:41:59,13.338,N,63.009,W
8/17/2001,6:43:59,13.34,N,63.019,W
8/17/2001,6:46:00,13.342,N,63.029,W
8/17/2001,6:48:00,13.343,N,63.039,W
8/17/2001,6:50:00,13.345,N,63.049,W
8/17/2001,6:52:00,13.347,N,63.059,W
8/17/2001,6:54:00,13.349,N,63.069,W
8/17/2001,6:56:00,13.351,N,63.079,W
8/17/2001,6:58:00,13.353,N,63.089,W
8/17/2001,7:00:00,13.354,N,63.099,W
8/17/2001,7:01:59,13.356,N,63.109,W
8/17/2001,7:03:59,13.358,N,63.119,W
8/17/2001,7:05:59,13.36,N,63.129,W
8/17/2001,7:07:59,13.362,N,63.139,W
8/17/2001,7:09:59,13.364,N,63.149,W
8/17/2001,7:11:59,13.366,N,63.159,W
8/17/2001,7:13:59,13.367,N,63.169,W
8/17/2001,7:16:00,13.369,N,63.179,W
8/17/2001,7:18:00,13.371,N,63.189,W
8/17/2001,7:20:00,13.373,N,63.199,W
8/17/2001,7:22:00,13.375,N,63.209,W
8/17/2001,7:24:00,13.377,N,63.219,W
8/17/2001,7:26:00,13.379,N,63.229,W
8/17/2001,7:28:00,13.38,N,63.239,W
8/17/2001,7:30:00,13.382,N,63.249,W
8/17/2001,7:31:59,13.384,N,63.259,W
8/17/2001,7:33:59,13.386,N,63.269,W
8/17/2001,7:35:59,13.388,N,63.279,W
8/17/2001,7:37:59,13.39,N,63.289,W
8/17/2001,7:39:59,13.392,N,63.299,W
8/17/2001,7:41:59,13.394,N,63.309,W
8/17/2001,7:43:59,13.396,N,63.319,W
8/17/2001,7:46:00,13.398,N,63.328,W
8/17/2001,7:48:00,13.399,N,63.338,W
8/17/2001,7:50:00,13.401,N,63.348,W
8/17/2001,7:52:00,13.403,N,63.358,W
8/17/2001,7:54:00,13.405,N,63.368,W
8/17/2001,7:56:00,13.407,N,63.378,W
8/17/2001,7:58:00,13.409,N,63.388,W
8/17/2001,8:00:00,13.411,N,63.398,W
8/17/2001,8:02:00,13.413,N,63.408,W
8/17/2001,8:03:59,13.415,N,63.418,W
8/17/2001,8:06:00,13.417,N,63.428,W
8/17/2001,8:07:59,13.419,N,63.438,W
8/17/2001,8:10:00,13.421,N,63.448,W
8/17/2001,8:11:59,13.423,N,63.458,W
8/17/2001,8:14:00,13.425,N,63.468,W
8/17/2001,8:15:59,13.427,N,63.478,W
8/17/2001,8:18:00,13.429,N,63.488,W
8/17/2001,8:19:59,13.431,N,63.498,W
8/17/2001,8:22:00,13.433,N,63.508,W
8/17/2001,8:23:59,13.435,N,63.518,W
8/17/2001,8:26:00,13.437,N,63.528,W
8/17/2001,8:27:59,13.439,N,63.538,W
8/17/2001,8:30:00,13.441,N,63.548,W
8/17/2001,8:32:00,13.443,N,63.558,W
8/17/2001,8:33:59,13.445,N,63.568,W
8/17/2001,8:36:00,13.447,N,63.578,W
8/17/2001,8:37:59,13.449,N,63.588,W
8/17/2001,8:40:00,13.451,N,63.598,W
8/17/2001,8:41:59,13.453,N,63.608,W
8/17/2001,8:44:00,13.455,N,63.618,W
8/17/2001,8:45:59,13.457,N,63.628,W
8/17/2001,8:48:00,13.459,N,63.638,W
8/17/2001,8:49:59,13.461,N,63.648,W
8/17/2001,8:52:00,13.463,N,63.658,W
8/17/2001,8:53:59,13.465,N,63.668,W
8/17/2001,8:56:00,13.468,N,63.678,W
8/17/2001,8:57:59,13.47,N,63.688,W
8/17/2001,9:00:00,13.472,N,63.698,W
8/17/2001,9:02:00,13.474,N,63.708,W
8/17/2001,9:03:59,13.476,N,63.718,W
8/17/2001,9:06:00,13.478,N,63.728,W
8/17/2001,9:07:59,13.48,N,63.738,W
