Track,for,Cindy,2017,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
6/19/2017,19:55:05,24.422,N,88.832,W,0
6/19/2017,19:57:05,24.42,N,88.834,W,0
6/19/2017,19:59:04,24.417,N,88.835,W,0
6/19/2017,20:01:04,24.415,N,88.837,W,0
6/19/2017,20:03:05,24.413,N,88.839,W,0
6/19/2017,20:05:05,24.41,N,88.84,W,0
6/19/2017,20:07:04,24.408,N,88.842,W,0
6/19/2017,20:09:04,24.406,N,88.844,W,0
6/19/2017,20:11:05,24.403,N,88.846,W,0
6/19/2017,20:13:05,24.401,N,88.847,W,0
6/19/2017,20:15:04,24.399,N,88.849,W,0
6/19/2017,20:17:04,24.396,N,88.851,W,0
6/19/2017,20:19:05,24.394,N,88.853,W,0
6/19/2017,20:21:05,24.392,N,88.855,W,0
6/19/2017,20:23:04,24.389,N,88.856,W,0
6/19/2017,20:25:05,24.387,N,88.858,W,0
6/19/2017,20:27:05,24.384,N,88.86,W,0
6/19/2017,20:29:04,24.382,N,88.862,W,0
6/19/2017,20:31:04,24.379,N,88.864,W,0
6/19/2017,20:33:05,24.377,N,88.866,W,0
6/19/2017,20:35:05,24.374,N,88.868,W,0
6/19/2017,20:37:04,24.372,N,88.87,W,0
6/19/2017,20:39:04,24.369,N,88.872,W,0
6/19/2017,20:41:05,24.366,N,88.874,W,0
6/19/2017,20:43:05,24.364,N,88.876,W,0
6/19/2017,20:45:04,24.361,N,88.878,W,0
6/19/2017,20:47:04,24.358,N,88.88,W,0
6/19/2017,20:49:05,24.355,N,88.882,W,0
6/19/2017,20:51:05,24.353,N,88.884,W,0
6/19/2017,20:53:04,24.35,N,88.887,W,0
6/19/2017,20:55:05,24.347,N,88.889,W,0
6/19/2017,20:57:05,24.344,N,88.891,W,0
6/19/2017,20:59:04,24.341,N,88.894,W,0
6/19/2017,21:01:04,24.338,N,88.896,W,0
6/19/2017,21:03:05,24.335,N,88.898,W,0
6/19/2017,21:05:05,24.331,N,88.901,W,0
6/19/2017,21:07:04,24.328,N,88.903,W,0
6/19/2017,21:09:04,24.325,N,88.906,W,0
6/19/2017,21:11:05,24.321,N,88.909,W,0
6/19/2017,21:13:05,24.318,N,88.911,W,0
6/19/2017,21:15:04,24.314,N,88.914,W,0
6/19/2017,21:17:04,24.311,N,88.917,W,0
6/19/2017,21:19:05,24.307,N,88.92,W,0
6/19/2017,21:21:05,24.304,N,88.923,W,0
6/19/2017,21:23:04,24.3,N,88.926,W,0
6/19/2017,21:25:05,24.296,N,88.929,W,0
6/19/2017,21:27:05,24.292,N,88.932,W,0
6/19/2017,21:29:04,24.288,N,88.935,W,0
6/19/2017,21:31:04,24.284,N,88.939,W,0
6/19/2017,21:33:05,24.28,N,88.942,W,0
6/19/2017,21:35:05,24.276,N,88.945,W,0
6/19/2017,21:37:04,24.271,N,88.949,W,0
6/19/2017,21:39:04,24.267,N,88.952,W,0
6/19/2017,21:41:05,24.262,N,88.956,W,0
6/19/2017,21:43:05,24.258,N,88.96,W,0
6/19/2017,21:45:04,24.253,N,88.963,W,0
