Track,for,Claudette,2003,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
7/7/2003,23:53:59,13.695,N,61.954,W,1
7/7/2003,23:55:59,13.696,N,61.969,W,1
7/7/2003,23:58:00,13.698,N,61.985,W,1
7/8/2003,0:00:00,13.7,N,62,W,1
7/8/2003,0:02:00,13.702,N,62.015,W,1
7/8/2003,0:04:00,13.704,N,62.031,W,1
7/8/2003,0:06:00,13.705,N,62.046,W,1
7/8/2003,0:08:00,13.707,N,62.062,W,1
7/8/2003,0:10:00,13.709,N,62.077,W,1
7/8/2003,0:12:00,13.711,N,62.093,W,1
7/8/2003,0:14:00,13.713,N,62.108,W,1
7/8/2003,0:16:00,13.715,N,62.124,W,1
7/8/2003,0:18:00,13.716,N,62.139,W,1
7/8/2003,0:20:00,13.718,N,62.155,W,1
7/8/2003,0:22:00,13.72,N,62.17,W,1
7/8/2003,0:24:00,13.722,N,62.186,W,1
7/8/2003,0:26:00,13.724,N,62.201,W,1
7/8/2003,0:28:00,13.726,N,62.217,W,1
7/8/2003,0:30:00,13.727,N,62.232,W,1
7/8/2003,0:32:00,13.729,N,62.248,W,1
7/8/2003,0:34:00,13.731,N,62.263,W,1
7/8/2003,0:36:00,13.733,N,62.279,W,1
7/8/2003,0:38:00,13.735,N,62.294,W,1
7/8/2003,0:40:00,13.736,N,62.31,W,1
7/8/2003,0:42:00,13.738,N,62.325,W,1
7/8/2003,0:44:00,13.74,N,62.341,W,1
7/8/2003,0:46:00,13.742,N,62.356,W,1
7/8/2003,0:48:00,13.744,N,62.372,W,1
7/8/2003,0:50:00,13.745,N,62.387,W,1
7/8/2003,0:52:00,13.747,N,62.403,W,1
7/8/2003,0:54:00,13.749,N,62.418,W,1
7/8/2003,0:56:00,13.751,N,62.434,W,1
7/8/2003,0:58:00,13.753,N,62.449,W,1
7/8/2003,1:00:00,13.755,N,62.464,W,1
7/8/2003,1:01:59,13.756,N,62.48,W,1
7/8/2003,1:04:00,13.758,N,62.495,W,1
7/8/2003,1:06:00,13.76,N,62.511,W,1
7/8/2003,1:07:59,13.762,N,62.526,W,1
7/8/2003,1:09:59,13.764,N,62.542,W,1
7/8/2003,1:12:00,13.765,N,62.557,W,1
7/8/2003,1:14:00,13.767,N,62.573,W,1
7/8/2003,1:15:59,13.769,N,62.588,W,1
7/8/2003,1:17:59,13.771,N,62.604,W,1
7/8/2003,1:20:00,13.773,N,62.619,W,1
7/8/2003,1:22:00,13.774,N,62.635,W,1
7/8/2003,1:23:59,13.776,N,62.65,W,1
7/8/2003,1:25:59,13.778,N,62.666,W,1
7/8/2003,1:28:00,13.78,N,62.681,W,1
7/8/2003,1:30:00,13.782,N,62.697,W,1
7/8/2003,1:31:59,13.783,N,62.712,W,1
7/8/2003,1:34:00,13.785,N,62.728,W,1
7/8/2003,1:36:00,13.787,N,62.743,W,1
7/8/2003,1:38:00,13.789,N,62.759,W,1
7/8/2003,1:39:59,13.791,N,62.774,W,1
7/8/2003,1:42:00,13.792,N,62.79,W,1
7/8/2003,1:44:00,13.794,N,62.805,W,1
