Track,for,Colin,2016,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
6/5/2016,11:53:59,21.594,N,88.006,W,0
6/5/2016,11:56:00,21.596,N,88.004,W,0
6/5/2016,11:57:59,21.598,N,88.002,W,0
6/5/2016,12:00:00,21.6,N,88,W,0
6/5/2016,12:02:00,21.602,N,87.998,W,0
6/5/2016,12:03:59,21.604,N,87.996,W,0
6/5/2016,12:06:00,21.606,N,87.994,W,0
6/5/2016,12:07:59,21.608,N,87.992,W,0
6/5/2016,12:10:00,21.61,N,87.99,W,0
6/5/2016,12:11:59,21.612,N,87.988,W,0
6/5/2016,12:14:00,21.614,N,87.986,W,0
6/5/2016,12:15:59,21.616,N,87.984,W,0
6/5/2016,12:18:00,21.618,N,87.983,W,0
6/5/2016,12:19:59,21.621,N,87.981,W,0
6/5/2016,12:22:00,21.623,N,87.979,W,0
6/5/2016,12:23:59,21.625,N,87.977,W,0
6/5/2016,12:26:00,21.627,N,87.975,W,0
6/5/2016,12:27:59,21.629,N,87.973,W,0
6/5/2016,12:30:00,21.631,N,87.971,W,0
6/5/2016,12:32:00,21.633,N,87.969,W,0
6/5/2016,12:33:59,21.635,N,87.967,W,0
6/5/2016,12:36:00,21.637,N,87.965,W,0
6/5/2016,12:37:59,21.639,N,87.963,W,0
6/5/2016,12:40:00,21.641,N,87.961,W,0
6/5/2016,12:41:59,21.643,N,87.959,W,0
6/5/2016,12:44:00,21.645,N,87.957,W,0
6/5/2016,12:45:59,21.647,N,87.955,W,0
6/5/2016,12:48:00,21.649,N,87.954,W,0
6/5/2016,12:49:59,21.652,N,87.952,W,0
6/5/2016,12:52:00,21.654,N,87.95,W,0
6/5/2016,12:53:59,21.656,N,87.948,W,0
6/5/2016,12:56:00,21.658,N,87.946,W,0
6/5/2016,12:57:59,21.66,N,87.944,W,0
6/5/2016,13:00:00,21.662,N,87.942,W,0
6/5/2016,13:02:00,21.664,N,87.94,W,0
6/5/2016,13:03:59,21.666,N,87.938,W,0
6/5/2016,13:06:00,21.668,N,87.936,W,0
6/5/2016,13:07:59,21.67,N,87.934,W,0
6/5/2016,13:10:00,21.672,N,87.933,W,0
6/5/2016,13:11:59,21.675,N,87.931,W,0
6/5/2016,13:14:00,21.677,N,87.929,W,0
6/5/2016,13:15:59,21.679,N,87.927,W,0
6/5/2016,13:18:00,21.681,N,87.925,W,0
6/5/2016,13:19:59,21.683,N,87.923,W,0
6/5/2016,13:22:00,21.685,N,87.921,W,0
6/5/2016,13:23:59,21.687,N,87.919,W,0
6/5/2016,13:26:00,21.689,N,87.918,W,0
6/5/2016,13:27:59,21.692,N,87.916,W,0
6/5/2016,13:30:00,21.694,N,87.914,W,0
6/5/2016,13:32:00,21.696,N,87.912,W,0
6/5/2016,13:33:59,21.698,N,87.91,W,0
6/5/2016,13:36:00,21.7,N,87.908,W,0
6/5/2016,13:37:59,21.702,N,87.906,W,0
6/5/2016,13:40:00,21.705,N,87.905,W,0
6/5/2016,13:41:59,21.707,N,87.903,W,0
6/5/2016,13:44:00,21.709,N,87.901,W,0
