Track,for,Cristobal,2002,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/6/2002,5:54:00,31.107,N,77.007,W,0
8/6/2002,5:56:00,31.105,N,77.005,W,0
8/6/2002,5:58:00,31.102,N,77.002,W,0
8/6/2002,6:00:00,31.1,N,77,W,0
8/6/2002,6:01:59,31.098,N,76.998,W,0
8/6/2002,6:03:59,31.095,N,76.995,W,0
8/6/2002,6:05:59,31.093,N,76.993,W,0
8/6/2002,6:07:59,31.091,N,76.991,W,0
8/6/2002,6:09:59,31.088,N,76.989,W,0
8/6/2002,6:11:59,31.086,N,76.986,W,0
8/6/2002,6:13:59,31.084,N,76.984,W,0
8/6/2002,6:16:00,31.081,N,76.982,W,0
8/6/2002,6:18:00,31.079,N,76.98,W,0
8/6/2002,6:20:00,31.077,N,76.977,W,0
8/6/2002,6:22:00,31.074,N,76.975,W,0
8/6/2002,6:24:00,31.072,N,76.973,W,0
8/6/2002,6:26:00,31.07,N,76.971,W,0
8/6/2002,6:28:00,31.067,N,76.968,W,0
8/6/2002,6:30:00,31.065,N,76.966,W,0
8/6/2002,6:31:59,31.063,N,76.964,W,0
8/6/2002,6:33:59,31.06,N,76.962,W,0
8/6/2002,6:35:59,31.058,N,76.959,W,0
8/6/2002,6:37:59,31.056,N,76.957,W,0
8/6/2002,6:39:59,31.053,N,76.955,W,0
8/6/2002,6:41:59,31.051,N,76.953,W,0
8/6/2002,6:43:59,31.049,N,76.95,W,0
8/6/2002,6:46:00,31.046,N,76.948,W,0
8/6/2002,6:48:00,31.044,N,76.946,W,0
8/6/2002,6:50:00,31.042,N,76.944,W,0
8/6/2002,6:52:00,31.04,N,76.941,W,0
8/6/2002,6:54:00,31.037,N,76.939,W,0
8/6/2002,6:56:00,31.035,N,76.937,W,0
8/6/2002,6:58:00,31.033,N,76.935,W,0
8/6/2002,7:00:00,31.03,N,76.932,W,0
8/6/2002,7:01:59,31.028,N,76.93,W,0
8/6/2002,7:03:59,31.026,N,76.928,W,0
8/6/2002,7:05:59,31.023,N,76.926,W,0
8/6/2002,7:07:59,31.021,N,76.923,W,0
8/6/2002,7:09:59,31.019,N,76.921,W,0
8/6/2002,7:11:59,31.016,N,76.919,W,0
8/6/2002,7:13:59,31.014,N,76.917,W,0
8/6/2002,7:16:00,31.012,N,76.914,W,0
8/6/2002,7:18:00,31.009,N,76.912,W,0
8/6/2002,7:20:00,31.007,N,76.91,W,0
8/6/2002,7:22:00,31.005,N,76.908,W,0
8/6/2002,7:24:00,31.002,N,76.905,W,0
8/6/2002,7:26:00,31,N,76.903,W,0
8/6/2002,7:28:00,30.998,N,76.901,W,0
8/6/2002,7:30:00,30.996,N,76.899,W,0
8/6/2002,7:31:59,30.993,N,76.896,W,0
8/6/2002,7:33:59,30.991,N,76.894,W,0
8/6/2002,7:35:59,30.989,N,76.892,W,0
8/6/2002,7:37:59,30.986,N,76.89,W,0
8/6/2002,7:39:59,30.984,N,76.887,W,0
8/6/2002,7:41:59,30.982,N,76.885,W,0
8/6/2002,7:43:59,30.979,N,76.883,W,0
