Track,for,Cristobal,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/19/2008,11:53:59,32.395,N,78.804,W
7/19/2008,11:56:00,32.396,N,78.803,W
7/19/2008,11:57:59,32.398,N,78.801,W
7/19/2008,12:00:00,32.4,N,78.8,W
7/19/2008,12:02:00,32.402,N,78.799,W
7/19/2008,12:03:59,32.404,N,78.797,W
7/19/2008,12:06:00,32.405,N,78.796,W
7/19/2008,12:07:59,32.407,N,78.794,W
7/19/2008,12:10:00,32.409,N,78.793,W
7/19/2008,12:11:59,32.411,N,78.791,W
7/19/2008,12:14:00,32.412,N,78.79,W
7/19/2008,12:15:59,32.414,N,78.788,W
7/19/2008,12:18:00,32.416,N,78.787,W
7/19/2008,12:19:59,32.418,N,78.785,W
7/19/2008,12:22:00,32.42,N,78.784,W
7/19/2008,12:23:59,32.421,N,78.782,W
7/19/2008,12:26:00,32.423,N,78.781,W
7/19/2008,12:27:59,32.425,N,78.779,W
7/19/2008,12:30:00,32.427,N,78.778,W
7/19/2008,12:32:00,32.428,N,78.776,W
7/19/2008,12:33:59,32.43,N,78.775,W
7/19/2008,12:36:00,32.432,N,78.773,W
7/19/2008,12:37:59,32.434,N,78.772,W
7/19/2008,12:40:00,32.436,N,78.77,W
7/19/2008,12:41:59,32.437,N,78.769,W
7/19/2008,12:44:00,32.439,N,78.767,W
7/19/2008,12:45:59,32.441,N,78.766,W
7/19/2008,12:48:00,32.443,N,78.764,W
7/19/2008,12:49:59,32.445,N,78.762,W
7/19/2008,12:52:00,32.446,N,78.761,W
7/19/2008,12:53:59,32.448,N,78.759,W
7/19/2008,12:56:00,32.45,N,78.758,W
7/19/2008,12:57:59,32.452,N,78.756,W
7/19/2008,13:00:00,32.453,N,78.754,W
7/19/2008,13:02:00,32.455,N,78.753,W
7/19/2008,13:03:59,32.457,N,78.751,W
7/19/2008,13:06:00,32.459,N,78.749,W
7/19/2008,13:07:59,32.461,N,78.748,W
7/19/2008,13:10:00,32.463,N,78.746,W
7/19/2008,13:11:59,32.464,N,78.744,W
7/19/2008,13:14:00,32.466,N,78.743,W
7/19/2008,13:15:59,32.468,N,78.741,W
7/19/2008,13:18:00,32.47,N,78.739,W
7/19/2008,13:19:59,32.472,N,78.737,W
7/19/2008,13:22:00,32.473,N,78.735,W
7/19/2008,13:23:59,32.475,N,78.734,W
7/19/2008,13:26:00,32.477,N,78.732,W
7/19/2008,13:27:59,32.479,N,78.73,W
7/19/2008,13:30:00,32.481,N,78.728,W
7/19/2008,13:32:00,32.483,N,78.726,W
7/19/2008,13:33:59,32.484,N,78.724,W
7/19/2008,13:36:00,32.486,N,78.722,W
7/19/2008,13:37:59,32.488,N,78.72,W
7/19/2008,13:40:00,32.49,N,78.718,W
7/19/2008,13:41:59,32.492,N,78.716,W
7/19/2008,13:44:00,32.494,N,78.714,W
7/19/2008,13:45:59,32.495,N,78.712,W
7/19/2008,13:48:00,32.497,N,78.71,W
7/19/2008,13:49:59,32.499,N,78.708,W
7/19/2008,13:52:00,32.501,N,78.706,W
7/19/2008,13:53:59,32.503,N,78.704,W
7/19/2008,13:56:00,32.505,N,78.702,W
7/19/2008,13:57:59,32.507,N,78.7,W
7/19/2008,14:00:00,32.509,N,78.698,W
7/19/2008,14:02:00,32.51,N,78.695,W
7/19/2008,14:03:59,32.512,N,78.693,W
7/19/2008,14:06:00,32.514,N,78.691,W
7/19/2008,14:07:59,32.516,N,78.689,W
7/19/2008,14:10:00,32.518,N,78.686,W
7/19/2008,14:11:59,32.52,N,78.684,W
7/19/2008,14:14:00,32.522,N,78.682,W
7/19/2008,14:15:59,32.524,N,78.679,W
7/19/2008,14:18:00,32.526,N,78.677,W
7/19/2008,14:19:59,32.527,N,78.674,W
7/19/2008,14:22:00,32.529,N,78.672,W
7/19/2008,14:23:59,32.531,N,78.669,W
7/19/2008,14:26:00,32.533,N,78.667,W
7/19/2008,14:27:59,32.535,N,78.664,W
7/19/2008,14:30:00,32.537,N,78.662,W
7/19/2008,14:32:00,32.539,N,78.659,W
7/19/2008,14:33:59,32.541,N,78.656,W
7/19/2008,14:36:00,32.543,N,78.654,W
7/19/2008,14:37:59,32.545,N,78.651,W
7/19/2008,14:40:00,32.547,N,78.648,W
7/19/2008,14:41:59,32.549,N,78.645,W
7/19/2008,14:44:00,32.551,N,78.642,W
7/19/2008,14:45:59,32.553,N,78.64,W
7/19/2008,14:48:00,32.555,N,78.637,W
7/19/2008,14:49:59,32.557,N,78.634,W
7/19/2008,14:52:00,32.559,N,78.631,W
7/19/2008,14:53:59,32.561,N,78.628,W
7/19/2008,14:56:00,32.563,N,78.625,W
7/19/2008,14:57:59,32.565,N,78.622,W
7/19/2008,15:00:00,32.567,N,78.618,W
7/19/2008,15:02:00,32.569,N,78.615,W
7/19/2008,15:03:59,32.571,N,78.612,W
7/19/2008,15:06:00,32.573,N,78.609,W
7/19/2008,15:07:59,32.575,N,78.606,W
