Track,for,Danielle,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/26/2010,23:53:59,25.59,N,57.283,W,4
8/26/2010,23:55:59,25.593,N,57.289,W,4
8/26/2010,23:58:00,25.597,N,57.294,W,4
8/27/2010,0:00:00,25.6,N,57.3,W,4
8/27/2010,0:02:00,25.603,N,57.306,W,4
8/27/2010,0:04:00,25.607,N,57.311,W,4
8/27/2010,0:06:00,25.61,N,57.317,W,4
8/27/2010,0:08:00,25.614,N,57.322,W,4
8/27/2010,0:10:00,25.617,N,57.328,W,4
8/27/2010,0:12:00,25.621,N,57.334,W,4
8/27/2010,0:14:00,25.624,N,57.339,W,4
8/27/2010,0:16:00,25.628,N,57.345,W,4
8/27/2010,0:18:00,25.631,N,57.35,W,4
8/27/2010,0:20:00,25.635,N,57.356,W,4
8/27/2010,0:22:00,25.638,N,57.362,W,4
8/27/2010,0:24:00,25.642,N,57.367,W,4
8/27/2010,0:26:00,25.645,N,57.373,W,4
8/27/2010,0:28:00,25.648,N,57.379,W,4
8/27/2010,0:30:00,25.652,N,57.384,W,4
8/27/2010,0:32:00,25.655,N,57.39,W,4
8/27/2010,0:34:00,25.659,N,57.395,W,4
8/27/2010,0:36:00,25.662,N,57.401,W,4
8/27/2010,0:38:00,25.666,N,57.407,W,4
8/27/2010,0:40:00,25.669,N,57.412,W,4
8/27/2010,0:42:00,25.673,N,57.418,W,4
8/27/2010,0:44:00,25.676,N,57.423,W,4
8/27/2010,0:46:00,25.68,N,57.429,W,4
8/27/2010,0:48:00,25.683,N,57.435,W,4
8/27/2010,0:50:00,25.687,N,57.44,W,4
8/27/2010,0:52:00,25.69,N,57.446,W,4
8/27/2010,0:54:00,25.693,N,57.451,W,4
8/27/2010,0:56:00,25.697,N,57.457,W,4
8/27/2010,0:58:00,25.7,N,57.463,W,4
8/27/2010,1:00:00,25.704,N,57.468,W,4
8/27/2010,1:01:59,25.707,N,57.474,W,4
8/27/2010,1:04:00,25.711,N,57.479,W,4
8/27/2010,1:06:00,25.714,N,57.485,W,4
8/27/2010,1:07:59,25.718,N,57.491,W,4
8/27/2010,1:09:59,25.721,N,57.496,W,4
8/27/2010,1:12:00,25.725,N,57.502,W,4
8/27/2010,1:14:00,25.728,N,57.507,W,4
8/27/2010,1:15:59,25.731,N,57.513,W,4
8/27/2010,1:17:59,25.735,N,57.519,W,4
8/27/2010,1:20:00,25.738,N,57.524,W,4
8/27/2010,1:22:00,25.742,N,57.53,W,4
8/27/2010,1:23:59,25.745,N,57.535,W,4
8/27/2010,1:25:59,25.749,N,57.541,W,4
8/27/2010,1:28:00,25.752,N,57.547,W,4
8/27/2010,1:30:00,25.756,N,57.552,W,4
8/27/2010,1:31:59,25.759,N,57.558,W,4
8/27/2010,1:34:00,25.762,N,57.563,W,4
8/27/2010,1:36:00,25.766,N,57.569,W,4
8/27/2010,1:38:00,25.769,N,57.575,W,4
8/27/2010,1:39:59,25.773,N,57.58,W,4
8/27/2010,1:42:00,25.776,N,57.586,W,4
8/27/2010,1:44:00,25.78,N,57.591,W,4
