Track for,Danny,,2015,,,
Date,Time (UTC),Latitu,de,Longit,ude,Category
MM/DD/Year,HH:MM:SS,(deg),,(deg,),
8/21/2015,11:53:59,13.792,N,47.786,W,3
8/21/2015,11:56:00,13.795,N,47.791,W,3
8/21/2015,11:57:59,13.797,N,47.795,W,3
8/21/2015,12:00:00,13.8,N,47.8,W,3
8/21/2015,12:02:00,13.803,N,47.805,W,3
8/21/2015,12:03:59,13.805,N,47.809,W,3
8/21/2015,12:06:00,13.808,N,47.814,W,3
8/21/2015,12:07:59,13.81,N,47.818,W,3
8/21/2015,12:10:00,13.813,N,47.823,W,3
8/21/2015,12:11:59,13.815,N,47.827,W,3
8/21/2015,12:14:00,13.818,N,47.832,W,3
8/21/2015,12:15:59,13.82,N,47.836,W,3
8/21/2015,12:18:00,13.823,N,47.841,W,3
8/21/2015,12:19:59,13.826,N,47.845,W,3
8/21/2015,12:22:00,13.828,N,47.85,W,3
8/21/2015,12:23:59,13.831,N,47.854,W,3
8/21/2015,12:26:00,13.833,N,47.859,W,3
8/21/2015,12:27:59,13.836,N,47.863,W,3
8/21/2015,12:30:00,13.838,N,47.868,W,3
8/21/2015,12:32:00,13.841,N,47.872,W,3
8/21/2015,12:33:59,13.844,N,47.877,W,3
8/21/2015,12:36:00,13.846,N,47.881,W,3
8/21/2015,12:37:59,13.849,N,47.886,W,3
8/21/2015,12:40:00,13.851,N,47.89,W,3
8/21/2015,12:41:59,13.854,N,47.895,W,3
8/21/2015,12:44:00,13.856,N,47.899,W,3
8/21/2015,12:45:59,13.859,N,47.904,W,3
8/21/2015,12:48:00,13.862,N,47.908,W,3
8/21/2015,12:49:59,13.864,N,47.913,W,3
8/21/2015,12:52:00,13.867,N,47.917,W,3
8/21/2015,12:53:59,13.869,N,47.922,W,3
8/21/2015,12:56:00,13.872,N,47.926,W,3
8/21/2015,12:57:59,13.874,N,47.931,W,3
8/21/2015,13:00:00,13.877,N,47.935,W,3
8/21/2015,13:02:00,13.88,N,47.94,W,3
8/21/2015,13:03:59,13.882,N,47.944,W,3
8/21/2015,13:06:00,13.885,N,47.949,W,3
8/21/2015,13:07:59,13.887,N,47.953,W,3
8/21/2015,13:10:00,13.89,N,47.958,W,3
8/21/2015,13:11:59,13.892,N,47.962,W,3
8/21/2015,13:14:00,13.895,N,47.967,W,3
8/21/2015,13:15:59,13.898,N,47.971,W,3
8/21/2015,13:18:00,13.9,N,47.976,W,3
8/21/2015,13:19:59,13.903,N,47.98,W,3
8/21/2015,13:22:00,13.905,N,47.985,W,3
8/21/2015,13:23:59,13.908,N,47.989,W,3
8/21/2015,13:26:00,13.911,N,47.994,W,3
8/21/2015,13:27:59,13.913,N,47.998,W,3
8/21/2015,13:30:00,13.916,N,48.003,W,3
8/21/2015,13:32:00,13.918,N,48.007,W,3
8/21/2015,13:33:59,13.921,N,48.012,W,3
8/21/2015,13:36:00,13.924,N,48.016,W,3
8/21/2015,13:37:59,13.926,N,48.021,W,3
8/21/2015,13:40:00,13.929,N,48.025,W,3
8/21/2015,13:41:59,13.931,N,48.03,W,3
8/21/2015,13:44:00,13.934,N,48.034,W,3
