Track,for,Dean,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/21/2001,16:33:51,14.621,N,58.556,W,0
8/21/2001,16:35:50,14.634,N,58.563,W,0
8/21/2001,16:37:50,14.646,N,58.57,W,0
8/21/2001,16:39:51,14.659,N,58.577,W,0
8/21/2001,16:41:51,14.672,N,58.584,W,0
8/21/2001,16:43:50,14.684,N,58.591,W,0
8/21/2001,16:45:50,14.697,N,58.598,W,0
8/21/2001,16:47:51,14.709,N,58.605,W,0
8/21/2001,16:49:51,14.722,N,58.612,W,0
8/21/2001,16:51:50,14.734,N,58.62,W,0
8/21/2001,16:53:50,14.747,N,58.627,W,0
8/21/2001,16:55:51,14.759,N,58.634,W,0
8/21/2001,16:57:50,14.772,N,58.641,W,0
8/21/2001,16:59:50,14.784,N,58.648,W,0
8/21/2001,17:01:51,14.797,N,58.655,W,0
8/21/2001,17:03:51,14.809,N,58.662,W,0
8/21/2001,17:05:50,14.822,N,58.669,W,0
8/21/2001,17:07:50,14.834,N,58.676,W,0
8/21/2001,17:09:51,14.847,N,58.684,W,0
8/21/2001,17:11:51,14.859,N,58.691,W,0
8/21/2001,17:13:50,14.872,N,58.698,W,0
8/21/2001,17:15:50,14.884,N,58.705,W,0
8/21/2001,17:17:51,14.897,N,58.712,W,0
8/21/2001,17:19:51,14.909,N,58.719,W,0
8/21/2001,17:21:50,14.922,N,58.726,W,0
8/21/2001,17:23:50,14.934,N,58.733,W,0
8/21/2001,17:25:51,14.946,N,58.741,W,0
8/21/2001,17:27:50,14.959,N,58.748,W,0
8/21/2001,17:29:50,14.971,N,58.755,W,0
8/21/2001,17:31:51,14.984,N,58.762,W,0
8/21/2001,17:33:51,14.996,N,58.769,W,0
8/21/2001,17:35:50,15.009,N,58.776,W,0
8/21/2001,17:37:50,15.021,N,58.784,W,0
8/21/2001,17:39:51,15.033,N,58.791,W,0
8/21/2001,17:41:51,15.046,N,58.798,W,0
8/21/2001,17:43:50,15.058,N,58.805,W,0
8/21/2001,17:45:50,15.07,N,58.812,W,0
8/21/2001,17:47:51,15.083,N,58.82,W,0
8/21/2001,17:49:51,15.095,N,58.827,W,0
8/21/2001,17:51:50,15.107,N,58.834,W,0
8/21/2001,17:53:50,15.12,N,58.841,W,0
8/21/2001,17:55:51,15.132,N,58.849,W,0
8/21/2001,17:57:50,15.144,N,58.856,W,0
8/21/2001,17:59:50,15.157,N,58.863,W,0
8/21/2001,18:01:51,15.169,N,58.87,W,0
8/21/2001,18:03:51,15.181,N,58.878,W,0
8/21/2001,18:05:50,15.193,N,58.885,W,0
8/21/2001,18:07:50,15.206,N,58.892,W,0
8/21/2001,18:09:51,15.218,N,58.899,W,0
8/21/2001,18:11:51,15.23,N,58.907,W,0
8/21/2001,18:13:50,15.242,N,58.914,W,0
8/21/2001,18:15:50,15.254,N,58.921,W,0
8/21/2001,18:17:51,15.267,N,58.929,W,0
8/21/2001,18:19:51,15.279,N,58.936,W,0
8/21/2001,18:21:50,15.291,N,58.944,W,0
8/21/2001,18:23:50,15.303,N,58.951,W,0
