Track,for,Dennis,2005,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
7/5/2005,11:53:59,12.993,N,65.876,W
7/5/2005,11:56:00,12.995,N,65.884,W
7/5/2005,11:57:59,12.998,N,65.892,W
7/5/2005,12:00:00,13,N,65.9,W
7/5/2005,12:02:00,13.002,N,65.908,W
7/5/2005,12:03:59,13.005,N,65.916,W
7/5/2005,12:06:00,13.007,N,65.924,W
7/5/2005,12:07:59,13.01,N,65.932,W
7/5/2005,12:10:00,13.012,N,65.94,W
7/5/2005,12:11:59,13.014,N,65.948,W
7/5/2005,12:14:00,13.017,N,65.955,W
7/5/2005,12:15:59,13.019,N,65.963,W
7/5/2005,12:18:00,13.022,N,65.971,W
7/5/2005,12:19:59,13.024,N,65.979,W
7/5/2005,12:22:00,13.026,N,65.987,W
7/5/2005,12:23:59,13.029,N,65.995,W
7/5/2005,12:26:00,13.031,N,66.003,W
7/5/2005,12:27:59,13.034,N,66.011,W
7/5/2005,12:30:00,13.036,N,66.019,W
7/5/2005,12:32:00,13.039,N,66.027,W
7/5/2005,12:33:59,13.041,N,66.035,W
7/5/2005,12:36:00,13.043,N,66.043,W
7/5/2005,12:37:59,13.046,N,66.05,W
7/5/2005,12:40:00,13.048,N,66.058,W
7/5/2005,12:41:59,13.051,N,66.066,W
7/5/2005,12:44:00,13.053,N,66.074,W
7/5/2005,12:45:59,13.056,N,66.082,W
7/5/2005,12:48:00,13.058,N,66.09,W
7/5/2005,12:49:59,13.06,N,66.098,W
7/5/2005,12:52:00,13.063,N,66.106,W
7/5/2005,12:53:59,13.065,N,66.114,W
7/5/2005,12:56:00,13.068,N,66.122,W
7/5/2005,12:57:59,13.07,N,66.13,W
7/5/2005,13:00:00,13.073,N,66.137,W
7/5/2005,13:02:00,13.075,N,66.145,W
7/5/2005,13:03:59,13.078,N,66.153,W
7/5/2005,13:06:00,13.08,N,66.161,W
7/5/2005,13:07:59,13.083,N,66.169,W
7/5/2005,13:10:00,13.085,N,66.177,W
7/5/2005,13:11:59,13.088,N,66.185,W
7/5/2005,13:14:00,13.09,N,66.193,W
7/5/2005,13:15:59,13.093,N,66.201,W
7/5/2005,13:18:00,13.095,N,66.209,W
7/5/2005,13:19:59,13.098,N,66.217,W
7/5/2005,13:22:00,13.1,N,66.224,W
7/5/2005,13:23:59,13.103,N,66.232,W
7/5/2005,13:26:00,13.106,N,66.24,W
7/5/2005,13:27:59,13.108,N,66.248,W
7/5/2005,13:30:00,13.111,N,66.256,W
7/5/2005,13:32:00,13.113,N,66.264,W
7/5/2005,13:33:59,13.116,N,66.272,W
7/5/2005,13:36:00,13.118,N,66.28,W
7/5/2005,13:37:59,13.121,N,66.288,W
7/5/2005,13:40:00,13.124,N,66.295,W
7/5/2005,13:41:59,13.126,N,66.303,W
7/5/2005,13:44:00,13.129,N,66.311,W
7/5/2005,13:45:59,13.132,N,66.319,W
7/5/2005,13:48:00,13.134,N,66.327,W
7/5/2005,13:49:59,13.137,N,66.335,W
7/5/2005,13:52:00,13.14,N,66.343,W
7/5/2005,13:53:59,13.142,N,66.351,W
7/5/2005,13:56:00,13.145,N,66.359,W
7/5/2005,13:57:59,13.148,N,66.366,W
7/5/2005,14:00:00,13.15,N,66.374,W
7/5/2005,14:02:00,13.153,N,66.382,W
7/5/2005,14:03:59,13.156,N,66.39,W
7/5/2005,14:06:00,13.159,N,66.398,W
7/5/2005,14:07:59,13.161,N,66.406,W
7/5/2005,14:10:00,13.164,N,66.414,W
7/5/2005,14:11:59,13.167,N,66.421,W
7/5/2005,14:14:00,13.17,N,66.429,W
7/5/2005,14:15:59,13.172,N,66.437,W
7/5/2005,14:18:00,13.175,N,66.445,W
7/5/2005,14:19:59,13.178,N,66.453,W
7/5/2005,14:22:00,13.181,N,66.461,W
7/5/2005,14:23:59,13.184,N,66.469,W
7/5/2005,14:26:00,13.187,N,66.476,W
7/5/2005,14:27:59,13.189,N,66.484,W
7/5/2005,14:30:00,13.192,N,66.492,W
7/5/2005,14:32:00,13.195,N,66.5,W
7/5/2005,14:33:59,13.198,N,66.508,W
7/5/2005,14:36:00,13.201,N,66.516,W
7/5/2005,14:37:59,13.204,N,66.524,W
7/5/2005,14:40:00,13.207,N,66.531,W
7/5/2005,14:41:59,13.21,N,66.539,W
7/5/2005,14:44:00,13.213,N,66.547,W
7/5/2005,14:45:59,13.216,N,66.555,W
7/5/2005,14:48:00,13.219,N,66.563,W
7/5/2005,14:49:59,13.222,N,66.571,W
7/5/2005,14:52:00,13.225,N,66.578,W
7/5/2005,14:53:59,13.228,N,66.586,W
7/5/2005,14:56:00,13.231,N,66.594,W
7/5/2005,14:57:59,13.234,N,66.602,W
7/5/2005,15:00:00,13.237,N,66.61,W
7/5/2005,15:02:00,13.24,N,66.617,W
7/5/2005,15:03:59,13.243,N,66.625,W
7/5/2005,15:06:00,13.247,N,66.633,W
7/5/2005,15:07:59,13.25,N,66.641,W
