Track,for,Dolly,2008,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
7/19/2008,23:53:59,17.663,N,82.895,W,2
7/19/2008,23:55:59,17.664,N,82.897,W,2
7/19/2008,23:58:00,17.664,N,82.898,W,2
7/20/2008,0:00:00,17.665,N,82.9,W,2
7/20/2008,0:02:00,17.666,N,82.902,W,2
7/20/2008,0:04:00,17.666,N,82.903,W,2
7/20/2008,0:06:00,17.667,N,82.905,W,2
7/20/2008,0:08:00,17.667,N,82.907,W,2
7/20/2008,0:10:00,17.668,N,82.909,W,2
7/20/2008,0:12:00,17.669,N,82.91,W,2
7/20/2008,0:14:00,17.669,N,82.912,W,2
7/20/2008,0:16:00,17.67,N,82.914,W,2
7/20/2008,0:18:00,17.67,N,82.916,W,2
7/20/2008,0:20:00,17.671,N,82.917,W,2
7/20/2008,0:22:00,17.671,N,82.919,W,2
7/20/2008,0:24:00,17.672,N,82.921,W,2
7/20/2008,0:26:00,17.673,N,82.923,W,2
7/20/2008,0:28:00,17.673,N,82.924,W,2
7/20/2008,0:30:00,17.674,N,82.926,W,2
7/20/2008,0:32:00,17.674,N,82.928,W,2
7/20/2008,0:34:00,17.675,N,82.93,W,2
7/20/2008,0:36:00,17.676,N,82.931,W,2
7/20/2008,0:38:00,17.676,N,82.933,W,2
7/20/2008,0:40:00,17.677,N,82.935,W,2
7/20/2008,0:42:00,17.677,N,82.937,W,2
7/20/2008,0:44:00,17.678,N,82.938,W,2
7/20/2008,0:46:00,17.679,N,82.94,W,2
7/20/2008,0:48:00,17.679,N,82.942,W,2
7/20/2008,0:50:00,17.68,N,82.944,W,2
7/20/2008,0:52:00,17.68,N,82.945,W,2
7/20/2008,0:54:00,17.681,N,82.947,W,2
7/20/2008,0:56:00,17.681,N,82.949,W,2
7/20/2008,0:58:00,17.682,N,82.951,W,2
7/20/2008,1:00:00,17.683,N,82.952,W,2
7/20/2008,1:01:59,17.683,N,82.954,W,2
7/20/2008,1:04:00,17.684,N,82.956,W,2
7/20/2008,1:06:00,17.684,N,82.958,W,2
7/20/2008,1:07:59,17.685,N,82.959,W,2
7/20/2008,1:09:59,17.686,N,82.961,W,2
7/20/2008,1:12:00,17.686,N,82.963,W,2
7/20/2008,1:14:00,17.687,N,82.965,W,2
7/20/2008,1:15:59,17.687,N,82.966,W,2
7/20/2008,1:17:59,17.688,N,82.968,W,2
7/20/2008,1:20:00,17.689,N,82.97,W,2
7/20/2008,1:22:00,17.689,N,82.972,W,2
7/20/2008,1:23:59,17.69,N,82.973,W,2
7/20/2008,1:25:59,17.69,N,82.975,W,2
7/20/2008,1:28:00,17.691,N,82.977,W,2
7/20/2008,1:30:00,17.691,N,82.978,W,2
7/20/2008,1:31:59,17.692,N,82.98,W,2
7/20/2008,1:34:00,17.693,N,82.982,W,2
7/20/2008,1:36:00,17.693,N,82.984,W,2
7/20/2008,1:38:00,17.694,N,82.985,W,2
7/20/2008,1:39:59,17.694,N,82.987,W,2
7/20/2008,1:42:00,17.695,N,82.989,W,2
7/20/2008,1:44:00,17.696,N,82.991,W,2
