Track,for,Emily,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
7/13/2005,5:54:00,10.997,N,55.476,W,5
7/13/2005,5:56:00,10.998,N,55.484,W,5
7/13/2005,5:58:00,10.999,N,55.492,W,5
7/13/2005,6:00:00,11,N,55.5,W,5
7/13/2005,6:01:59,11.001,N,55.508,W,5
7/13/2005,6:03:59,11.002,N,55.516,W,5
7/13/2005,6:05:59,11.003,N,55.524,W,5
7/13/2005,6:07:59,11.004,N,55.532,W,5
7/13/2005,6:09:59,11.006,N,55.54,W,5
7/13/2005,6:11:59,11.007,N,55.548,W,5
7/13/2005,6:13:59,11.008,N,55.556,W,5
7/13/2005,6:16:00,11.009,N,55.564,W,5
7/13/2005,6:18:00,11.01,N,55.572,W,5
7/13/2005,6:20:00,11.011,N,55.58,W,5
7/13/2005,6:22:00,11.012,N,55.588,W,5
7/13/2005,6:24:00,11.013,N,55.596,W,5
7/13/2005,6:26:00,11.014,N,55.604,W,5
7/13/2005,6:28:00,11.016,N,55.613,W,5
7/13/2005,6:30:00,11.017,N,55.621,W,5
7/13/2005,6:31:59,11.018,N,55.629,W,5
7/13/2005,6:33:59,11.019,N,55.637,W,5
7/13/2005,6:35:59,11.02,N,55.645,W,5
7/13/2005,6:37:59,11.021,N,55.653,W,5
7/13/2005,6:39:59,11.022,N,55.661,W,5
7/13/2005,6:41:59,11.023,N,55.669,W,5
7/13/2005,6:43:59,11.025,N,55.678,W,5
7/13/2005,6:46:00,11.026,N,55.686,W,5
7/13/2005,6:48:00,11.027,N,55.694,W,5
7/13/2005,6:50:00,11.028,N,55.702,W,5
7/13/2005,6:52:00,11.029,N,55.71,W,5
7/13/2005,6:54:00,11.03,N,55.719,W,5
7/13/2005,6:56:00,11.031,N,55.727,W,5
7/13/2005,6:58:00,11.032,N,55.735,W,5
7/13/2005,7:00:00,11.033,N,55.743,W,5
7/13/2005,7:01:59,11.035,N,55.752,W,5
7/13/2005,7:03:59,11.036,N,55.76,W,5
7/13/2005,7:05:59,11.037,N,55.768,W,5
7/13/2005,7:07:59,11.038,N,55.777,W,5
7/13/2005,7:09:59,11.039,N,55.785,W,5
7/13/2005,7:11:59,11.04,N,55.794,W,5
7/13/2005,7:13:59,11.041,N,55.802,W,5
7/13/2005,7:16:00,11.042,N,55.811,W,5
7/13/2005,7:18:00,11.043,N,55.819,W,5
7/13/2005,7:20:00,11.045,N,55.828,W,5
7/13/2005,7:22:00,11.046,N,55.836,W,5
7/13/2005,7:24:00,11.047,N,55.845,W,5
7/13/2005,7:26:00,11.048,N,55.853,W,5
7/13/2005,7:28:00,11.049,N,55.862,W,5
7/13/2005,7:30:00,11.05,N,55.871,W,5
7/13/2005,7:31:59,11.051,N,55.879,W,5
7/13/2005,7:33:59,11.052,N,55.888,W,5
7/13/2005,7:35:59,11.053,N,55.897,W,5
7/13/2005,7:37:59,11.055,N,55.905,W,5
7/13/2005,7:39:59,11.056,N,55.914,W,5
7/13/2005,7:41:59,11.057,N,55.923,W,5
7/13/2005,7:43:59,11.058,N,55.932,W,5
